"item","time","rank"
"TP53","T1",1
"KRAS","T1",2
"EGFR","T1",3
"PIK3CA","T1",4
"PTEN","T1",5
"BRAF","T1",6
"APC","T1",7
"IDH1","T1",8
"KRAS","T2",1
"TP53","T2",2
"EGFR","T2",3
"PTEN","T2",4
"PIK3CA","T2",5
"APC","T2",6
"BRAF","T2",7
"IDH1","T2",8
"TP53","T3",1
"KRAS","T3",2
"EGFR","T3",3
"PTEN","T3",4
"APC","T3",5
"BRAF","T3",6
"PIK3CA","T3",7
"IDH1","T3",8
"TP53","T4",1
"KRAS","T4",2
"PTEN","T4",3
"EGFR","T4",4
"APC","T4",5
"PIK3CA","T4",6
"BRAF","T4",7
"IDH1","T4",8
"TP53","T5",1
"KRAS","T5",2
"EGFR","T5",3
"PTEN","T5",4
"PIK3CA","T5",5
"APC","T5",6
"BRAF","T5",7
"IDH1","T5",8
"TP53","T6",1
"EGFR","T6",2
"KRAS","T6",3
"PTEN","T6",4
"PIK3CA","T6",5
"BRAF","T6",6
"APC","T6",7
"IDH1","T6",8
