"category","group","value"
"Liver","Primary",13.23
"Liver","Metastasis",16.1
"Lung","Primary",8.62
"Lung","Metastasis",12.34
"Colon","Primary",27.25
"Colon","Metastasis",20.21
"Breast","Primary",15.84
"Breast","Metastasis",15.89
"Skin","Primary",12.16
"Skin","Metastasis",16.43
"Kidney","Primary",12.06
"Kidney","Metastasis",12.14
"Brain","Primary",14.57
"Brain","Metastasis",15.49
"Pancreas","Primary",7.17
"Pancreas","Metastasis",9.42
"Stomach","Primary",9.89
"Stomach","Metastasis",12.44
"Ovary","Primary",26.15
"Ovary","Metastasis",41.41
"Prostate","Primary",17.49
"Prostate","Metastasis",17.21
"Bladder","Primary",11.76
"Bladder","Metastasis",10.9
"Thyroid","Primary",18.92
"Thyroid","Metastasis",23.12
"Uterus","Primary",8.66
"Uterus","Metastasis",12.09
"Esophagus","Primary",13.41
"Esophagus","Metastasis",10.73
"Blood","Primary",11.52
"Blood","Metastasis",12.45
