"item","stage","value"
"Site 01","Baseline",38.8
"Site 01","Week 12",31.9
"Site 02","Baseline",44.4
"Site 02","Week 12",46.7
"Site 03","Baseline",34.4
"Site 03","Week 12",27
"Site 04","Baseline",49.9
"Site 04","Week 12",65
"Site 05","Baseline",24.1
"Site 05","Week 12",37.9
"Site 06","Baseline",35.6
"Site 06","Week 12",51.9
"Site 07","Baseline",34.4
"Site 07","Week 12",29.1
"Site 08","Baseline",26.6
"Site 08","Week 12",27.4
"Site 09","Baseline",46.4
"Site 09","Week 12",58.3
"Site 10","Baseline",59.9
"Site 10","Week 12",68.8
"Site 11","Baseline",33.8
"Site 11","Week 12",42.5
"Site 12","Baseline",42.2
"Site 12","Week 12",36.7
"Site 13","Baseline",27.8
"Site 13","Week 12",30.1
"Site 14","Baseline",52.6
"Site 14","Week 12",66.9
"Site 15","Baseline",67.3
"Site 15","Week 12",71.2
