"group","axis","value"
"Line A","Growth",75.5
"Line A","Stress",41
"Line A","Yield",73.3
"Line A","Size",68.4
"Line A","Color",49.7
"Line A","Firm",50.7
"Line B","Growth",42.7
"Line B","Stress",75.4
"Line B","Yield",37.5
"Line B","Size",54
"Line B","Color",63.2
"Line B","Firm",68.8
"Line C","Growth",62.5
"Line C","Stress",56.7
"Line C","Yield",84.1
"Line C","Size",43
"Line C","Color",39.1
"Line C","Firm",63.7
"Line D","Growth",33.9
"Line D","Stress",48.7
"Line D","Yield",55.3
"Line D","Size",80
"Line D","Color",73.2
"Line D","Firm",28.7
