"item","stage","value"
"P01","Before",18.9104059381521
"P02","Before",23.1829679919416
"P03","Before",28.695145472313
"P04","Before",36.269164046092
"P05","Before",43.5479272535068
"P06","Before",47.1134886505347
"P07","Before",51.769015091174
"P08","Before",56.2146917743797
"P09","Before",63.2096267533873
"P10","Before",70.7862070017771
"P11","Before",75.1206323070644
"P12","Before",84.0782083275024
"P01","After",30.4244224639224
"P02","After",16.2873194375292
"P03","After",23.0119356181135
"P04","After",54.269164046092
"P05","After",51.3168345554182
"P06","After",46.7143396537916
"P07","After",35.769015091174
"P08","After",58.4964876584402
"P09","After",59.3103950931099
"P10","After",63.2285950160873
"P11","After",89.1206323070644
"P12","After",82.099170436989
