"stage1","stage2","stage3","value"
"Control","LumA","CR",22.6
"Case","LumA","CR",30.4
"Treated","LumA","CR",2.2
"Control","LumB","CR",10.9
"Case","LumB","CR",47.3
"Treated","LumB","CR",6.5
"Control","HER2","CR",13.2
"Case","HER2","CR",26.6
"Treated","HER2","CR",32.3
"Control","Basal","CR",8.2
"Case","Basal","CR",18.7
"Treated","Basal","CR",14.2
"Control","LumA","PR",16.4
"Case","LumA","PR",39.5
"Treated","LumA","PR",15.7
"Control","LumB","PR",3.1
"Case","LumB","PR",13.4
"Treated","LumB","PR",18.6
"Control","HER2","PR",17.7
"Case","HER2","PR",4.8
"Treated","HER2","PR",23
"Control","Basal","PR",23.6
"Case","Basal","PR",1.1
"Treated","Basal","PR",7.3
"Control","LumA","SD",38.1
"Case","LumA","SD",17.4
"Treated","LumA","SD",4.1
"Control","LumB","SD",6.8
"Case","LumB","SD",11.3
"Treated","LumB","SD",10
"Control","HER2","SD",7.1
"Case","HER2","SD",3.4
"Treated","HER2","SD",2.1
"Control","Basal","SD",10.5
"Case","Basal","SD",11.9
"Treated","Basal","SD",9.9
"Control","LumA","PD",21.2
"Case","LumA","PD",41.8
"Treated","LumA","PD",13.3
"Control","LumB","PD",9.4
"Case","LumB","PD",12.6
"Treated","LumB","PD",3.8
"Control","HER2","PD",5.1
"Case","HER2","PD",2.1
"Treated","HER2","PD",11.8
"Control","Basal","PD",0.2
"Case","Basal","PD",6.6
"Treated","Basal","PD",1.6
"Control","LumA","NE",3.5
"Case","LumA","NE",6.5
"Treated","LumA","NE",7.9
"Control","LumB","NE",11.8
"Case","LumB","NE",13.7
"Treated","LumB","NE",4
"Control","HER2","NE",12.9
"Case","HER2","NE",10.4
"Treated","HER2","NE",0.5
"Control","Basal","NE",19
"Case","Basal","NE",30.2
"Treated","Basal","NE",7.1
