"time","part","value"
1,"CD4 T",26.08
2,"CD4 T",25.412
3,"CD4 T",24.999
4,"CD4 T",24.34
5,"CD4 T",21.847
6,"CD4 T",23.263
7,"CD4 T",24.908
8,"CD4 T",21.47
9,"CD4 T",20.135
10,"CD4 T",17.522
11,"CD4 T",15.272
12,"CD4 T",15.435
13,"CD4 T",15.063
14,"CD4 T",20.05
15,"CD4 T",21.122
16,"CD4 T",23.694
17,"CD4 T",23.782
18,"CD4 T",22.254
19,"CD4 T",20.983
20,"CD4 T",22.147
21,"CD4 T",23.491
22,"CD4 T",22.107
23,"CD4 T",19.032
24,"CD4 T",17.06
25,"CD4 T",12.705
26,"CD4 T",10.352
27,"CD4 T",10.374
28,"CD4 T",11.442
29,"CD4 T",13.905
30,"CD4 T",19.254
1,"CD8 T",19.954
2,"CD8 T",17.766
3,"CD8 T",16.989
4,"CD8 T",15.663
5,"CD8 T",12.916
6,"CD8 T",12.545
7,"CD8 T",11.769
8,"CD8 T",11.982
9,"CD8 T",11.248
10,"CD8 T",9.576
11,"CD8 T",10.562
12,"CD8 T",12.142
13,"CD8 T",16.513
14,"CD8 T",20.065
15,"CD8 T",22.173
16,"CD8 T",24.694
17,"CD8 T",21.86
18,"CD8 T",19.459
19,"CD8 T",18.999
20,"CD8 T",21.438
21,"CD8 T",18.55
22,"CD8 T",19.002
23,"CD8 T",17.869
24,"CD8 T",14.088
25,"CD8 T",11.824
26,"CD8 T",14.129
27,"CD8 T",16.853
28,"CD8 T",18.807
29,"CD8 T",20.499
30,"CD8 T",22.86
1,"B cell",23.814
2,"B cell",20.347
3,"B cell",19.293
4,"B cell",12.159
5,"B cell",13.477
6,"B cell",14.392
7,"B cell",13.377
8,"B cell",16.357
9,"B cell",16.731
10,"B cell",14.708
11,"B cell",15.669
12,"B cell",19.032
13,"B cell",21.201
14,"B cell",24.279
15,"B cell",23.596
16,"B cell",21.236
17,"B cell",18.32
18,"B cell",16.776
19,"B cell",13.897
20,"B cell",14.031
21,"B cell",14.948
22,"B cell",15.019
23,"B cell",14.574
24,"B cell",13.005
25,"B cell",13.543
26,"B cell",15.545
27,"B cell",18.47
28,"B cell",21.077
29,"B cell",21.153
30,"B cell",20.454
1,"NK",11.671
2,"NK",10.22
3,"NK",7.906
4,"NK",5.66
5,"NK",3.807
6,"NK",6.382
7,"NK",8.43
8,"NK",9.582
9,"NK",9.897
10,"NK",9.554
11,"NK",10.297
12,"NK",14.158
13,"NK",15.138
14,"NK",15.741
15,"NK",13.578
16,"NK",9.923
17,"NK",8.27
18,"NK",4.301
19,"NK",5.279
20,"NK",7.219
21,"NK",9.138
22,"NK",8.843
23,"NK",7.47
24,"NK",9.48
25,"NK",11.18
26,"NK",13.195
27,"NK",16.255
28,"NK",18.578
29,"NK",17.086
30,"NK",11.894
1,"Myeloid",24.928
2,"Myeloid",24.142
3,"Myeloid",21.397
4,"Myeloid",21.113
5,"Myeloid",23.654
6,"Myeloid",27.51
7,"Myeloid",30.612
8,"Myeloid",30.432
9,"Myeloid",30.018
10,"Myeloid",30.189
11,"Myeloid",33.523
12,"Myeloid",32.31
13,"Myeloid",32.17
14,"Myeloid",30.646
15,"Myeloid",29.019
16,"Myeloid",27.777
17,"Myeloid",24.884
18,"Myeloid",23.651
19,"Myeloid",26.038
20,"Myeloid",29.307
21,"Myeloid",33.048
22,"Myeloid",33.599
23,"Myeloid",32.835
24,"Myeloid",33.845
25,"Myeloid",32.615
26,"Myeloid",36.055
27,"Myeloid",38.602
28,"Myeloid",38.719
29,"Myeloid",35.555
30,"Myeloid",30.052
