"sample","group","part","value"
"D01","Healthy","Firmicutes",8134
"D01","Healthy","Bacteroidota",2628
"D01","Healthy","Proteobacteria",1523
"D01","Healthy","Actinobacteriota",1090
"D01","Healthy","Verrucomicrobiota",336
"D01","Healthy","Other",264
"D02","Healthy","Firmicutes",5369
"D02","Healthy","Bacteroidota",2107
"D02","Healthy","Proteobacteria",39
"D02","Healthy","Actinobacteriota",720
"D02","Healthy","Verrucomicrobiota",224
"D02","Healthy","Other",142
"D03","Healthy","Firmicutes",8524
"D03","Healthy","Bacteroidota",2167
"D03","Healthy","Proteobacteria",462
"D03","Healthy","Actinobacteriota",422
"D03","Healthy","Verrucomicrobiota",52
"D03","Healthy","Other",313
"D04","Healthy","Firmicutes",5449
"D04","Healthy","Bacteroidota",1607
"D04","Healthy","Proteobacteria",127
"D04","Healthy","Actinobacteriota",1072
"D04","Healthy","Verrucomicrobiota",240
"D04","Healthy","Other",774
"D05","Healthy","Firmicutes",9145
"D05","Healthy","Bacteroidota",1100
"D05","Healthy","Proteobacteria",725
"D05","Healthy","Actinobacteriota",1266
"D05","Healthy","Verrucomicrobiota",81
"D05","Healthy","Other",644
"D06","Healthy","Firmicutes",3272
"D06","Healthy","Bacteroidota",2576
"D06","Healthy","Proteobacteria",187
"D06","Healthy","Actinobacteriota",585
"D06","Healthy","Verrucomicrobiota",546
"D06","Healthy","Other",871
"D07","Healthy","Firmicutes",3626
"D07","Healthy","Bacteroidota",1780
"D07","Healthy","Proteobacteria",701
"D07","Healthy","Actinobacteriota",497
"D07","Healthy","Verrucomicrobiota",138
"D07","Healthy","Other",1691
"D08","IBD","Firmicutes",4817
"D08","IBD","Bacteroidota",932
"D08","IBD","Proteobacteria",6771
"D08","IBD","Actinobacteriota",51
"D08","IBD","Verrucomicrobiota",174
"D08","IBD","Other",244
"D09","IBD","Firmicutes",1875
"D09","IBD","Bacteroidota",589
"D09","IBD","Proteobacteria",5172
"D09","IBD","Actinobacteriota",234
"D09","IBD","Verrucomicrobiota",66
"D09","IBD","Other",532
"D10","IBD","Firmicutes",2885
"D10","IBD","Bacteroidota",4275
"D10","IBD","Proteobacteria",2991
"D10","IBD","Actinobacteriota",308
"D10","IBD","Verrucomicrobiota",32
"D10","IBD","Other",1499
"D11","IBD","Firmicutes",2458
"D11","IBD","Bacteroidota",4577
"D11","IBD","Proteobacteria",1158
"D11","IBD","Actinobacteriota",1502
"D11","IBD","Verrucomicrobiota",117
"D11","IBD","Other",549
"D12","IBD","Firmicutes",5559
"D12","IBD","Bacteroidota",1092
"D12","IBD","Proteobacteria",1819
"D12","IBD","Actinobacteriota",817
"D12","IBD","Verrucomicrobiota",8
"D12","IBD","Other",543
"D13","IBD","Firmicutes",2469
"D13","IBD","Bacteroidota",4315
"D13","IBD","Proteobacteria",3066
"D13","IBD","Actinobacteriota",458
"D13","IBD","Verrucomicrobiota",995
"D13","IBD","Other",546
"D14","IBD","Firmicutes",5409
"D14","IBD","Bacteroidota",572
"D14","IBD","Proteobacteria",3039
"D14","IBD","Actinobacteriota",1216
"D14","IBD","Verrucomicrobiota",103
"D14","IBD","Other",566
"D15","Treated","Firmicutes",1771
"D15","Treated","Bacteroidota",3189
"D15","Treated","Proteobacteria",880
"D15","Treated","Actinobacteriota",777
"D15","Treated","Verrucomicrobiota",1023
"D15","Treated","Other",835
"D16","Treated","Firmicutes",2870
"D16","Treated","Bacteroidota",3353
"D16","Treated","Proteobacteria",15
"D16","Treated","Actinobacteriota",2518
"D16","Treated","Verrucomicrobiota",33
"D16","Treated","Other",116
"D17","Treated","Firmicutes",4612
"D17","Treated","Bacteroidota",1171
"D17","Treated","Proteobacteria",1537
"D17","Treated","Actinobacteriota",3453
"D17","Treated","Verrucomicrobiota",244
"D17","Treated","Other",2103
"D18","Treated","Firmicutes",7572
"D18","Treated","Bacteroidota",3944
"D18","Treated","Proteobacteria",901
"D18","Treated","Actinobacteriota",742
"D18","Treated","Verrucomicrobiota",437
"D18","Treated","Other",186
"D19","Treated","Firmicutes",4663
"D19","Treated","Bacteroidota",1656
"D19","Treated","Proteobacteria",1177
"D19","Treated","Actinobacteriota",414
"D19","Treated","Verrucomicrobiota",1352
"D19","Treated","Other",1924
"D20","Treated","Firmicutes",5805
"D20","Treated","Bacteroidota",1899
"D20","Treated","Proteobacteria",2063
"D20","Treated","Actinobacteriota",714
"D20","Treated","Verrucomicrobiota",923
"D20","Treated","Other",317
