"a","b","c","group"
0.5777,0.3459,0.0764,"Cluster 1"
0.4118,0.4019,0.1863,"Cluster 1"
0.702,0.1156,0.1824,"Cluster 1"
0.7938,0.0831,0.1231,"Cluster 1"
0.5299,0.3596,0.1105,"Cluster 1"
0.7062,0.2543,0.0395,"Cluster 1"
0.4387,0.1801,0.3812,"Cluster 1"
0.568343165683432,0.260873912608739,0.170782921707829,"Cluster 1"
0.797779777977798,0.166316631663166,0.0359035903590359,"Cluster 1"
0.805419458054195,0.172982701729827,0.0215978402159784,"Cluster 1"
0.486551344865513,0.0373962603739626,0.476052394760524,"Cluster 1"
0.8834,0.0938,0.0228,"Cluster 1"
0.6128,0.2692,0.118,"Cluster 1"
0.773077307730773,0.145914591459146,0.081008100810081,"Cluster 1"
0.5411,0.2643,0.1946,"Cluster 1"
0.832583258325833,0.0913091309130913,0.0761076107610761,"Cluster 1"
0.3793,0.2721,0.3486,"Cluster 1"
0.624037596240376,0.126587341265873,0.249375062493751,"Cluster 1"
0.814318568143186,0.0641935806419358,0.121487851214879,"Cluster 1"
0.7044,0.1963,0.0993,"Cluster 1"
0.806480648064806,0.122312231223122,0.0712071207120712,"Cluster 1"
0.5219,0.224,0.2541,"Cluster 1"
0.4432,0.3702,0.1866,"Cluster 1"
0.45955404459554,0.447055294470553,0.0933906609339066,"Cluster 1"
0.856814318568143,0.131286871312869,0.0118988101189881,"Cluster 1"
0.7323,0.2308,0.0369,"Cluster 1"
0.5548,0.1528,0.2924,"Cluster 1"
0.7283,0.1783,0.0934,"Cluster 1"
0.1786,0.549,0.2724,"Cluster 2"
0.266626662666267,0.574957495749575,0.158415841584158,"Cluster 2"
0.0717,0.7251,0.2032,"Cluster 2"
0.1377,0.5053,0.357,"Cluster 2"
0.5054,0.4416,0.053,"Cluster 2"
0.1669,0.2091,0.624,"Cluster 2"
0.1995800419958,0.664533546645335,0.135886411358864,"Cluster 2"
0.284,0.5817,0.1343,"Cluster 2"
0.255025502550255,0.279427942794279,0.465546554655466,"Cluster 2"
0.0675,0.5857,0.3468,"Cluster 2"
0.0596,0.6205,0.3199,"Cluster 2"
0.1848,0.7031,0.1121,"Cluster 2"
0.247875212478752,0.454654534546545,0.297470252974703,"Cluster 2"
0.4096,0.527,0.0634,"Cluster 2"
0.2435,0.7182,0.0383,"Cluster 2"
0.072,0.5247,0.4033,"Cluster 2"
0.42975702429757,0.393960603939606,0.176282371762824,"Cluster 2"
0.1056,0.7526,0.1418,"Cluster 2"
0.3457,0.5764,0.0779,"Cluster 2"
0.123812381238124,0.762776277627763,0.113411341134113,"Cluster 2"
0.2818,0.6211,0.0971,"Cluster 2"
0.1276,0.5219,0.3505,"Cluster 2"
0.433256674332567,0.34036596340366,0.226377362263774,"Cluster 2"
0.0688,0.7784,0.1528,"Cluster 2"
0.1987,0.4344,0.3669,"Cluster 2"
0.1555,0.7041,0.1404,"Cluster 2"
0.288371162883712,0.598640135986401,0.112988701129887,"Cluster 2"
0.009,0.2534,0.7376,"Cluster 3"
0.1994,0.3462,0.4544,"Cluster 3"
0.101,0.175,0.724,"Cluster 3"
0.0799,0.0093,0.9108,"Cluster 3"
0.1172,0.2094,0.6734,"Cluster 3"
0.1853,0.0112,0.8035,"Cluster 3"
0.0999900009999,0.0835916408359164,0.816418358164184,"Cluster 3"
0.1199,0.1578,0.7223,"Cluster 3"
0.344134413441344,0.235423542354235,0.42044204420442,"Cluster 3"
0.537,0.0952,0.3678,"Cluster 3"
0.156784321567843,0.095990400959904,0.747225277472253,"Cluster 3"
0.1823,0.0999,0.7178,"Cluster 3"
0.2842,0.2039,0.5119,"Cluster 3"
0.2111,0.3654,0.4235,"Cluster 3"
0.135413541354135,0.365936593659366,0.498649864986499,"Cluster 3"
0.0995,0.2885,0.612,"Cluster 3"
0.0173,0.1237,0.859,"Cluster 3"
0.1996,0.3631,0.4373,"Cluster 3"
0.4286,0.2978,0.2736,"Cluster 3"
0.1183,0.0988,0.7829,"Cluster 3"
0.1126,0.1764,0.711,"Cluster 3"
0.3112,0.1396,0.5492,"Cluster 3"
0.2582,0.1248,0.617,"Cluster 3"
0.0294970502949705,0.445355464453555,0.525147485251475,"Cluster 3"
0.122,0.5472,0.3308,"Cluster 3"
