"element","set","present"
"E01","ATAC",1
"E02","ATAC",1
"E03","ATAC",0
"E04","ATAC",1
"E05","ATAC",1
"E06","ATAC",1
"E07","ATAC",1
"E08","ATAC",0
"E09","ATAC",0
"E10","ATAC",0
"E11","ATAC",1
"E12","ATAC",0
"E13","ATAC",1
"E14","ATAC",1
"E15","ATAC",1
"E16","ATAC",1
"E17","ATAC",0
"E18","ATAC",1
"E19","ATAC",1
"E20","ATAC",0
"E21","ATAC",1
"E22","ATAC",0
"E23","ATAC",1
"E24","ATAC",0
"E25","ATAC",0
"E26","ATAC",1
"E27","ATAC",1
"E28","ATAC",0
"E29","ATAC",0
"E30","ATAC",0
"E31","ATAC",0
"E32","ATAC",1
"E33","ATAC",1
"E34","ATAC",0
"E35","ATAC",0
"E36","ATAC",1
"E37","ATAC",1
"E38","ATAC",1
"E39","ATAC",1
"E40","ATAC",0
"E41","ATAC",0
"E42","ATAC",0
"E43","ATAC",1
"E44","ATAC",1
"E45","ATAC",0
"E46","ATAC",1
"E47","ATAC",1
"E48","ATAC",1
"E49","ATAC",1
"E50","ATAC",1
"E51","ATAC",0
"E52","ATAC",1
"E53","ATAC",0
"E54","ATAC",1
"E55","ATAC",0
"E56","ATAC",1
"E57","ATAC",0
"E58","ATAC",1
"E59","ATAC",1
"E60","ATAC",0
"E61","ATAC",1
"E62","ATAC",0
"E63","ATAC",0
"E64","ATAC",1
"E65","ATAC",1
"E66","ATAC",0
"E67","ATAC",0
"E68","ATAC",1
"E69","ATAC",1
"E70","ATAC",1
"E71","ATAC",1
"E72","ATAC",1
"E73","ATAC",1
"E74","ATAC",0
"E75","ATAC",1
"E76","ATAC",0
"E77","ATAC",0
"E78","ATAC",1
"E79","ATAC",1
"E80","ATAC",0
"E01","H3K27ac",0
"E02","H3K27ac",1
"E03","H3K27ac",1
"E04","H3K27ac",1
"E05","H3K27ac",1
"E06","H3K27ac",1
"E07","H3K27ac",1
"E08","H3K27ac",0
"E09","H3K27ac",0
"E10","H3K27ac",0
"E11","H3K27ac",0
"E12","H3K27ac",0
"E13","H3K27ac",1
"E14","H3K27ac",0
"E15","H3K27ac",1
"E16","H3K27ac",0
"E17","H3K27ac",0
"E18","H3K27ac",0
"E19","H3K27ac",0
"E20","H3K27ac",1
"E21","H3K27ac",0
"E22","H3K27ac",0
"E23","H3K27ac",1
"E24","H3K27ac",0
"E25","H3K27ac",0
"E26","H3K27ac",1
"E27","H3K27ac",0
"E28","H3K27ac",1
"E29","H3K27ac",1
"E30","H3K27ac",1
"E31","H3K27ac",1
"E32","H3K27ac",1
"E33","H3K27ac",1
"E34","H3K27ac",0
"E35","H3K27ac",0
"E36","H3K27ac",1
"E37","H3K27ac",0
"E38","H3K27ac",0
"E39","H3K27ac",1
"E40","H3K27ac",1
"E41","H3K27ac",1
"E42","H3K27ac",1
"E43","H3K27ac",0
"E44","H3K27ac",1
"E45","H3K27ac",0
"E46","H3K27ac",0
"E47","H3K27ac",1
"E48","H3K27ac",1
"E49","H3K27ac",1
"E50","H3K27ac",1
"E51","H3K27ac",1
"E52","H3K27ac",1
"E53","H3K27ac",0
"E54","H3K27ac",0
"E55","H3K27ac",1
"E56","H3K27ac",0
"E57","H3K27ac",1
"E58","H3K27ac",1
"E59","H3K27ac",0
"E60","H3K27ac",0
"E61","H3K27ac",1
"E62","H3K27ac",1
"E63","H3K27ac",1
"E64","H3K27ac",1
"E65","H3K27ac",1
"E66","H3K27ac",0
"E67","H3K27ac",1
"E68","H3K27ac",1
"E69","H3K27ac",1
"E70","H3K27ac",1
"E71","H3K27ac",1
"E72","H3K27ac",1
"E73","H3K27ac",1
"E74","H3K27ac",1
"E75","H3K27ac",1
"E76","H3K27ac",1
"E77","H3K27ac",1
"E78","H3K27ac",0
"E79","H3K27ac",0
"E80","H3K27ac",1
"E01","H3K4me3",0
"E02","H3K4me3",1
"E03","H3K4me3",0
"E04","H3K4me3",0
"E05","H3K4me3",0
"E06","H3K4me3",0
"E07","H3K4me3",1
"E08","H3K4me3",0
"E09","H3K4me3",0
"E10","H3K4me3",1
"E11","H3K4me3",1
"E12","H3K4me3",0
"E13","H3K4me3",1
"E14","H3K4me3",1
"E15","H3K4me3",0
"E16","H3K4me3",0
"E17","H3K4me3",0
"E18","H3K4me3",1
"E19","H3K4me3",1
"E20","H3K4me3",0
"E21","H3K4me3",0
"E22","H3K4me3",0
"E23","H3K4me3",0
"E24","H3K4me3",0
"E25","H3K4me3",1
"E26","H3K4me3",0
"E27","H3K4me3",0
"E28","H3K4me3",0
"E29","H3K4me3",1
"E30","H3K4me3",1
"E31","H3K4me3",1
"E32","H3K4me3",1
"E33","H3K4me3",1
"E34","H3K4me3",0
"E35","H3K4me3",1
"E36","H3K4me3",0
"E37","H3K4me3",0
"E38","H3K4me3",0
"E39","H3K4me3",0
"E40","H3K4me3",0
"E41","H3K4me3",0
"E42","H3K4me3",0
"E43","H3K4me3",1
