"set","id"
"Proteome","G01"
"ChIP","G01"
"RNA-seq","G02"
"ChIP","G02"
"RNA-seq","G03"
"Proteome","G03"
"ChIP","G03"
"RNA-seq","G04"
"Proteome","G04"
"Proteome","G05"
"RNA-seq","G06"
"ChIP","G07"
"RNA-seq","G08"
"Proteome","G08"
"ChIP","G08"
"Proteome","G09"
"ChIP","G10"
"RNA-seq","G10"
"Proteome","G11"
"RNA-seq","G11"
"Proteome","G12"
"Proteome","G13"
"RNA-seq","G14"
"ChIP","G14"
"ChIP","G15"
"RNA-seq","G15"
"Proteome","G15"
"ChIP","G16"
"Proteome","G17"
"RNA-seq","G18"
"Proteome","G18"
"RNA-seq","G19"
"ChIP","G19"
"ChIP","G20"
"Proteome","G20"
"ChIP","G21"
"RNA-seq","G21"
"Proteome","G22"
"ChIP","G22"
"ChIP","G23"
"Proteome","G23"
"RNA-seq","G23"
"RNA-seq","G24"
"RNA-seq","G25"
"RNA-seq","G26"
"Proteome","G27"
"ChIP","G28"
"Proteome","G28"
"ChIP","G29"
"Proteome","G29"
"Proteome","G30"
"ChIP","G30"
"RNA-seq","G30"
"RNA-seq","G31"
"RNA-seq","G32"
"Proteome","G33"
"ChIP","G33"
"RNA-seq","G34"
"ChIP","G34"
"Proteome","G34"
"RNA-seq","G35"
"RNA-seq","G36"
"ChIP","G37"
"RNA-seq","G38"
"RNA-seq","G39"
"Proteome","G39"
"RNA-seq","G40"
"Proteome","G40"
