"cell","part"
1,"Clone A"
2,"Clone A"
3,"Clone A"
4,"Clone A"
5,"Clone A"
6,"Clone A"
7,"Clone A"
8,"Clone A"
9,"Clone A"
10,"Clone A"
11,"Clone A"
12,"Clone A"
13,"Clone A"
14,"Clone A"
15,"Clone A"
16,"Clone A"
17,"Clone A"
18,"Clone A"
19,"Clone A"
20,"Clone A"
21,"Clone A"
22,"Clone A"
23,"Clone A"
24,"Clone A"
25,"Clone A"
26,"Clone A"
27,"Clone A"
28,"Clone A"
29,"Clone A"
30,"Clone B"
31,"Clone B"
32,"Clone B"
33,"Clone B"
34,"Clone B"
35,"Clone B"
36,"Clone B"
37,"Clone B"
38,"Clone B"
39,"Clone B"
40,"Clone B"
41,"Clone B"
42,"Clone B"
43,"Clone B"
44,"Clone B"
45,"Clone B"
46,"Clone B"
47,"Clone B"
48,"Clone B"
49,"Clone B"
50,"Clone B"
51,"Clone B"
52,"Clone B"
53,"Clone B"
54,"Clone C"
55,"Clone C"
56,"Clone C"
57,"Clone C"
58,"Clone C"
59,"Clone C"
60,"Clone C"
61,"Clone C"
62,"Clone C"
63,"Clone C"
64,"Clone C"
65,"Clone C"
66,"Clone C"
67,"Clone C"
68,"Clone C"
69,"Clone C"
70,"Clone C"
71,"Clone C"
72,"Clone C"
73,"Clone C"
74,"Clone C"
75,"Clone C"
76,"Clone D"
77,"Clone D"
78,"Clone D"
79,"Clone D"
80,"Clone D"
81,"Clone D"
82,"Clone D"
83,"Clone D"
84,"Clone D"
85,"Clone D"
86,"Clone D"
87,"Clone D"
88,"Clone D"
89,"Clone D"
90,"Clone D"
91,"Clone D"
92,"Clone D"
93,"Clone D"
94,"Other"
95,"Other"
96,"Other"
97,"Other"
98,"Other"
99,"Other"
100,"Other"
