"var_a","var_b","r","p"
"BMI","SBP",0.282135035737686,0.00705749442684544
"BMI","DBP",0.365043660374755,0.000403771062222692
"BMI","Glu",0.269713899675066,0.0101465499461301
"BMI","HbA1c",0.216278090105973,0.0406174992457135
"BMI","LDL",-0.170640747716371,0.107828817903909
"BMI","HDL",0.00824598547618202,0.93851529612947
"BMI","TG",-0.264552602070626,0.011743841185991
"BMI","Age",-0.399395463492449,9.63404251976813e-05
"BMI","CRP",-0.317747714846618,0.00227483503211915
"BMI","IL6",-0.142088368608514,0.181577005165795
"BMI","ALT",-0.598529505794156,4.65144360780348e-10
"BMI","AST",0.317184941423141,0.00231842844571008
"BMI","eGFR",-0.113445839662838,0.287039320738274
"BMI","UA",0.126558552214189,0.234580123877634
"SBP","DBP",0.459814856865053,5.13331755932698e-06
"SBP","Glu",0.164720088076022,0.120794778411171
"SBP","HbA1c",0.294252299720135,0.00487604206256064
"SBP","LDL",-0.144909279542891,0.17297132529129
"SBP","HDL",0.0546474819174015,0.608953956514606
"SBP","TG",-0.0888555187463314,0.404944407258964
"SBP","Age",0.0913949201772111,0.391597812896665
"SBP","CRP",0.0963128349830646,0.366508224965684
"SBP","IL6",-0.184202628820083,0.0822148117381059
"SBP","ALT",-0.163105379679785,0.124531101900631
"SBP","AST",0.199743098485897,0.0590918316552143
"SBP","eGFR",0.0324205553645234,0.761624049455501
"SBP","UA",0.356619220147136,0.00056044813198968
"DBP","Glu",0.160323461265061,0.131175210232323
"DBP","HbA1c",0.314494378509959,0.00253741226527455
"DBP","LDL",-0.316986759707967,0.00233395804248947
"DBP","HDL",0.0274166522692214,0.797557328939208
"DBP","TG",-0.150507792369974,0.156786309228524
"DBP","Age",-0.217886308689348,0.0391113868324478
"DBP","CRP",-0.106066176952772,0.319747632971648
"DBP","IL6",-0.210081617975805,0.0468794297723528
"DBP","ALT",-0.323208063624436,0.00188864011799683
"DBP","AST",0.265489609691808,0.0114385444899984
"DBP","eGFR",-0.0398836060236546,0.70897827297946
"DBP","UA",0.19337654272015,0.0678253732950819
"Glu","HbA1c",0.460555385769343,4.93444169183841e-06
"Glu","LDL",0.286312667048296,0.0062237396960483
"Glu","HDL",0.257934023911371,0.0141097725936087
"Glu","TG",0.156499825252243,0.140743724111515
"Glu","Age",-0.0173923328526041,0.870751480305979
"Glu","CRP",-0.106936257423173,0.315771333891292
"Glu","IL6",-0.268515828548758,0.0104993236583357
"Glu","ALT",-0.257515113909253,0.0142725323132314
"Glu","AST",0.235219210647617,0.0256345021358034
"Glu","eGFR",0.0146745829267423,0.890812108591551
"Glu","UA",0.093378246854123,0.381358694689316
"HbA1c","LDL",0.135382321278846,0.203279807288161
"HbA1c","HDL",0.103706513979486,0.330692637493498
"HbA1c","TG",0.110256863091134,0.300890688391433
"HbA1c","Age",0.182771485953355,0.0846643271507539
"HbA1c","CRP",-0.0472535921238093,0.658295451062835
"HbA1c","IL6",-0.323444109148286,0.00187336672584834
"HbA1c","ALT",-0.276011399696223,0.00845761313395314
"HbA1c","AST",0.312052989028535,0.00275201858458809
"HbA1c","eGFR",0.053409053132338,0.617105217624883
"HbA1c","UA",0.210679920834712,0.0462419317260667
"LDL","HDL",0.180171378801177,0.0892627930829237
"LDL","TG",0.297769399463307,0.00436695817772605
"LDL","Age",0.289369434373338,0.00567013459322271
"LDL","CRP",-0.0316072074604376,0.767432680337958
"LDL","IL6",-0.188236584999567,0.075613328946655
"LDL","ALT",-0.10830918360476,0.309562210955958
"LDL","AST",0.13638223154719,0.199931095819074
"LDL","eGFR",0.138896842170064,0.191685050481166
"LDL","UA",0.0673023323612911,0.528513916278423
"HDL","TG",0.0731656633721267,0.49313748087944
"HDL","Age",0.076373963375294,0.474321796747831
"HDL","CRP",-0.189747069352476,0.07325367701393
"HDL","IL6",-0.185206146656122,0.0805311482036127
"HDL","ALT",-0.0498841250552482,0.640558523655932
"HDL","AST",-0.00673554978045311,0.949761305606917
"HDL","eGFR",0.0195147996078029,0.855140819957593
"HDL","UA",0.0160113033160992,0.880935932249567
"TG","Age",0.356313572955117,0.000567059958948365
"TG","CRP",0.209181772612309,0.0478518953978541
"TG","IL6",0.026195248275558,0.806395880827548
"TG","ALT",0.0784038522943447,0.462620416295034
"TG","AST",0.0393875262641635,0.712438768195642
"TG","eGFR",0.292649344378409,0.00512508195851238
"TG","UA",0.0632659454997591,0.553584373306592
"Age","CRP",0.47630201617777,2.08307609746827e-06
"Age","IL6",-0.0461652984330791,0.665689866783575
"Age","ALT",0.354880582365212,0.000599021019100554
"Age","AST",-0.0561772655530968,0.598950603675868
"Age","eGFR",0.222149531482933,0.0353428841577483
"Age","UA",0.282764545758702,0.00692586919512502
"CRP","IL6",0.114908053033742,0.280831944552146
"CRP","ALT",0.511631018427293,2.55470189916611e-07
"CRP","AST",-0.2366256784147,0.024739914786897
"CRP","eGFR",0.20578255986691,0.0516769554357397
"CRP","UA",0.0632931595077957,0.553413446162515
"IL6","ALT",0.252385060087689,0.0164016016594885
"IL6","AST",-0.118196382077711,0.267201742884674
"IL6","eGFR",-0.00169038476849741,0.987384181943821
"IL6","UA",-0.05956998081034,0.577031183359523
"ALT","AST",-0.363861264964151,0.000423016042842967
"ALT","eGFR",0.00304303232770353,0.977291075875262
"ALT","UA",-0.018792400701449,0.860448095968665
"AST","eGFR",0.0942581047775616,0.376868546944899
"AST","UA",0.0346495663758321,0.745773676382761
"eGFR","UA",0.0192277378035756,0.857249030643419
