x,y
0.000000,0.010058
0.126582,0.115676
0.253165,0.301703
0.379747,0.379077
0.506329,0.442117
0.632911,0.620422
0.759494,0.792874
0.886076,0.850362
1.012658,0.791944
1.139241,0.807082
1.265823,0.903993
1.392405,0.987437
1.518987,0.812656
1.645570,0.979702
1.772152,0.880123
1.898734,0.888127
2.025316,0.854931
2.151899,0.810554
2.278481,0.792799
2.405063,0.755122
2.531646,0.562541
2.658228,0.574078
2.784810,0.296046
2.911392,0.256293
3.037975,0.175710
3.164557,-0.015441
3.291139,-0.208470
3.417722,-0.346371
3.544304,-0.428532
3.670886,-0.487308
3.797468,-0.690623
3.924051,-0.721759
4.050633,-0.801652
4.177215,-0.816912
4.303797,-0.900509
4.430380,-0.932068
4.556962,-1.040252
4.683544,-1.009953
4.810127,-0.932509
4.936709,-0.855471
5.063291,-1.039788
5.189873,-0.767040
5.316456,-0.715363
5.443038,-0.682237
5.569620,-0.633377
5.696203,-0.578965
5.822785,-0.327665
5.949367,-0.170832
6.075949,-0.061625
6.202532,0.024642
6.329114,0.074503
6.455696,0.074991
6.582278,0.294297
6.708861,0.465454
6.835443,0.421542
6.962025,0.659500
7.088608,0.755512
7.215190,0.858500
7.341772,0.776934
7.468354,0.873626
7.594937,0.931720
7.721519,0.897655
7.848101,1.139132
7.974684,0.953052
8.101266,0.995898
8.227848,0.910236
8.354430,1.004045
8.481013,0.915402
8.607595,0.779889
8.734177,0.460720
8.860759,0.538749
8.987342,0.478313
9.113924,0.386189
9.240506,0.133798
9.367089,0.203418
9.493671,-0.174473
9.620253,-0.247155
9.746835,-0.241715
9.873418,-0.429816
10.000000,-0.383830
