item,group,axis,value
I01,Batch-A,Biomass,2.619
I01,Batch-A,Purity,0.856
I01,Batch-A,Stability,0.742
I01,Batch-A,Cost,41.747
I01,Batch-A,Time,16.171
I01,Batch-A,Yield,67.3
I02,Batch-A,Biomass,2.331
I02,Batch-A,Purity,0.881
I02,Batch-A,Stability,0.847
I02,Batch-A,Cost,37.081
I02,Batch-A,Time,15.795
I02,Batch-A,Yield,72.734
I03,Batch-A,Biomass,2.569
I03,Batch-A,Purity,0.847
I03,Batch-A,Stability,0.8
I03,Batch-A,Cost,39.73
I03,Batch-A,Time,16.858
I03,Batch-A,Yield,71.461
I04,Batch-A,Biomass,2.298
I04,Batch-A,Purity,0.857
I04,Batch-A,Stability,0.713
I04,Batch-A,Cost,46.107
I04,Batch-A,Time,19.276
I04,Batch-A,Yield,75.475
I05,Batch-A,Biomass,2.479
I05,Batch-A,Purity,0.82
I05,Batch-A,Stability,0.723
I05,Batch-A,Cost,47.069
I05,Batch-A,Time,15.185
I05,Batch-A,Yield,69.688
I06,Batch-A,Biomass,2.507
I06,Batch-A,Purity,0.86
I06,Batch-A,Stability,0.782
I06,Batch-A,Cost,36.363
I06,Batch-A,Time,14.886
I06,Batch-A,Yield,74.649
I07,Batch-A,Biomass,2.454
I07,Batch-A,Purity,0.882
I07,Batch-A,Stability,0.824
I07,Batch-A,Cost,47.617
I07,Batch-A,Time,16.829
I07,Batch-A,Yield,70.127
I08,Batch-A,Biomass,2.28
I08,Batch-A,Purity,0.859
I08,Batch-A,Stability,0.741
I08,Batch-A,Cost,38.626
I08,Batch-A,Time,18.032
I08,Batch-A,Yield,69.772
I09,Batch-A,Biomass,2.347
I09,Batch-A,Purity,0.835
I09,Batch-A,Stability,0.805
I09,Batch-A,Cost,41.961
I09,Batch-A,Time,19.416
I09,Batch-A,Yield,70.333
I10,Batch-A,Biomass,2.456
I10,Batch-A,Purity,0.892
I10,Batch-A,Stability,0.77
I10,Batch-A,Cost,39.702
I10,Batch-A,Time,15.588
I10,Batch-A,Yield,71.85
I11,Batch-A,Biomass,2.49
I11,Batch-A,Purity,0.863
I11,Batch-A,Stability,0.83
I11,Batch-A,Cost,40.092
I11,Batch-A,Time,15.824
I11,Batch-A,Yield,68.54
I12,Batch-A,Biomass,2.437
I12,Batch-A,Purity,0.856
I12,Batch-A,Stability,0.8
I12,Batch-A,Cost,42.219
I12,Batch-A,Time,16.627
I12,Batch-A,Yield,76.101
I13,Batch-A,Biomass,2.533
I13,Batch-A,Purity,0.844
I13,Batch-A,Stability,0.781
I13,Batch-A,Cost,43.935
I13,Batch-A,Time,14.655
I13,Batch-A,Yield,74.714
I14,Batch-A,Biomass,2.42
I14,Batch-A,Purity,0.824
I14,Batch-A,Stability,0.725
I14,Batch-A,Cost,38.89
I14,Batch-A,Time,15.622
I14,Batch-A,Yield,72.561
I15,Batch-A,Biomass,2.178
I15,Batch-A,Purity,0.78
I15,Batch-A,Stability,0.843
I15,Batch-A,Cost,43.486
I15,Batch-A,Time,17.172
I15,Batch-A,Yield,72.836
I16,Batch-A,Biomass,2.485
I16,Batch-A,Purity,0.926
I16,Batch-A,Stability,0.774
I16,Batch-A,Cost,41.451
I16,Batch-A,Time,20.242
I16,Batch-A,Yield,74.185
I17,Batch-B,Biomass,1.987
I17,Batch-B,Purity,0.576
I17,Batch-B,Stability,0.931
I17,Batch-B,Cost,26.292
I17,Batch-B,Time,22.856
I17,Batch-B,Yield,53.517
I18,Batch-B,Biomass,1.852
I18,Batch-B,Purity,0.667
I18,Batch-B,Stability,0.917
I18,Batch-B,Cost,27.65
I18,Batch-B,Time,27.488
I18,Batch-B,Yield,47.362
I19,Batch-B,Biomass,1.717
I19,Batch-B,Purity,0.59
I19,Batch-B,Stability,0.947
I19,Batch-B,Cost,24.058
I19,Batch-B,Time,26.169
I19,Batch-B,Yield,55.992
I20,Batch-B,Biomass,1.802
I20,Batch-B,Purity,0.61
I20,Batch-B,Stability,0.883
I20,Batch-B,Cost,27.812
I20,Batch-B,Time,26.341
I20,Batch-B,Yield,54.954
I21,Batch-B,Biomass,1.451
I21,Batch-B,Purity,0.636
I21,Batch-B,Stability,0.912
I21,Batch-B,Cost,28.277
I21,Batch-B,Time,24.16
I21,Batch-B,Yield,54.078
I22,Batch-B,Biomass,1.728
I22,Batch-B,Purity,0.657
I22,Batch-B,Stability,0.898
I22,Batch-B,Cost,31.509
I22,Batch-B,Time,26.762
I22,Batch-B,Yield,60.151
I23,Batch-B,Biomass,1.389
I23,Batch-B,Purity,0.699
I23,Batch-B,Stability,0.859
I23,Batch-B,Cost,28.007
I23,Batch-B,Time,26.71
I23,Batch-B,Yield,51.868
I24,Batch-B,Biomass,1.381
I24,Batch-B,Purity,0.668
I24,Batch-B,Stability,0.897
I24,Batch-B,Cost,27.231
I24,Batch-B,Time,30.538
I24,Batch-B,Yield,60.367
I25,Batch-B,Biomass,1.596
I25,Batch-B,Purity,0.648
I25,Batch-B,Stability,0.933
I25,Batch-B,Cost,29.635
I25,Batch-B,Time,26.117
I25,Batch-B,Yield,50.35
I26,Batch-B,Biomass,1.755
I26,Batch-B,Purity,0.607
I26,Batch-B,Stability,0.912
I26,Batch-B,Cost,23.94
I26,Batch-B,Time,25.175
I26,Batch-B,Yield,49.472
I27,Batch-B,Biomass,1.39
I27,Batch-B,Purity,0.648
I27,Batch-B,Stability,0.997
I27,Batch-B,Cost,34.056
I27,Batch-B,Time,26.509
I27,Batch-B,Yield,57.288
I28,Batch-B,Biomass,1.47
I28,Batch-B,Purity,0.594
I28,Batch-B,Stability,0.895
I28,Batch-B,Cost,21.504
I28,Batch-B,Time,28.399
I28,Batch-B,Yield,52.609
I29,Batch-B,Biomass,1.84
I29,Batch-B,Purity,0.595
I29,Batch-B,Stability,0.934
I29,Batch-B,Cost,27.252
I29,Batch-B,Time,23.788
I29,Batch-B,Yield,55.223
I30,Batch-B,Biomass,1.292
I30,Batch-B,Purity,0.616
I30,Batch-B,Stability,0.921
I30,Batch-B,Cost,25.942
I30,Batch-B,Time,26.012
I30,Batch-B,Yield,50.24
I31,Batch-C,Biomass,3.229
I31,Batch-C,Purity,0.712
I31,Batch-C,Stability,0.544
I31,Batch-C,Cost,59.87
I31,Batch-C,Time,13.077
I31,Batch-C,Yield,82.656
I32,Batch-C,Biomass,3.17
I32,Batch-C,Purity,0.672
I32,Batch-C,Stability,0.551
I32,Batch-C,Cost,53.947
I32,Batch-C,Time,16.127
I32,Batch-C,Yield,85.405
I33,Batch-C,Biomass,3.252
I33,Batch-C,Purity,0.732
I33,Batch-C,Stability,0.545
I33,Batch-C,Cost,53.295
I33,Batch-C,Time,10.515
