gene,cluster,time,value
rise-g1,rise,0,-0.968
rise-g1,rise,6,-0.646
rise-g1,rise,12,-0.797
rise-g1,rise,24,-0.184
rise-g1,rise,48,0.384
rise-g1,rise,72,0.621
rise-g2,rise,0,-0.929
rise-g2,rise,6,-0.887
rise-g2,rise,12,-0.517
rise-g2,rise,24,-0.128
rise-g2,rise,48,0.243
rise-g2,rise,72,0.38
rise-g3,rise,0,-0.444
rise-g3,rise,6,-0.269
rise-g3,rise,12,-0.597
rise-g3,rise,24,-0.519
rise-g3,rise,48,0.232
rise-g3,rise,72,0.51
rise-g4,rise,0,-0.63
rise-g4,rise,6,-0.477
rise-g4,rise,12,-0.292
rise-g4,rise,24,-0.279
rise-g4,rise,48,0.726
rise-g4,rise,72,0.754
rise-g5,rise,0,-0.391
rise-g5,rise,6,-0.287
rise-g5,rise,12,-0.056
rise-g5,rise,24,0.277
rise-g5,rise,48,0.903
rise-g5,rise,72,1.219
rise-g6,rise,0,-0.527
rise-g6,rise,6,-0.572
rise-g6,rise,12,-0.109
rise-g6,rise,24,-0.252
rise-g6,rise,48,0.603
rise-g6,rise,72,0.847
rise-g7,rise,0,-1.41
rise-g7,rise,6,-0.769
rise-g7,rise,12,-0.586
rise-g7,rise,24,-0.385
rise-g7,rise,48,-0.439
rise-g7,rise,72,0.203
rise-g8,rise,0,-0.794
rise-g8,rise,6,-0.508
rise-g8,rise,12,-0.224
rise-g8,rise,24,-0.41
rise-g8,rise,48,-0.008
rise-g8,rise,72,0.772
fall-g1,fall,0,0.959
fall-g1,fall,6,1.095
fall-g1,fall,12,0.951
fall-g1,fall,24,0.449
fall-g1,fall,48,0.087
fall-g1,fall,72,-0.422
fall-g2,fall,0,1.034
fall-g2,fall,6,1.11
fall-g2,fall,12,0.6
fall-g2,fall,24,0.294
fall-g2,fall,48,-0.022
fall-g2,fall,72,-0.685
fall-g3,fall,0,1.084
fall-g3,fall,6,1.078
fall-g3,fall,12,0.818
fall-g3,fall,24,0.814
fall-g3,fall,48,-0.153
fall-g3,fall,72,-0.652
fall-g4,fall,0,0.909
fall-g4,fall,6,1.057
fall-g4,fall,12,0.745
fall-g4,fall,24,0.264
fall-g4,fall,48,-0.079
fall-g4,fall,72,-0.64
fall-g5,fall,0,1.333
fall-g5,fall,6,0.762
fall-g5,fall,12,0.836
fall-g5,fall,24,0.864
fall-g5,fall,48,0.214
fall-g5,fall,72,-0.206
fall-g6,fall,0,1.062
fall-g6,fall,6,1.302
fall-g6,fall,12,0.677
fall-g6,fall,24,0.113
fall-g6,fall,48,-0.195
fall-g6,fall,72,-0.386
fall-g7,fall,0,0.955
fall-g7,fall,6,0.972
fall-g7,fall,12,0.556
fall-g7,fall,24,0.613
fall-g7,fall,48,-0.103
fall-g7,fall,72,-0.494
fall-g8,fall,0,1.342
fall-g8,fall,6,0.932
fall-g8,fall,12,0.998
fall-g8,fall,24,1.018
fall-g8,fall,48,0.225
fall-g8,fall,72,-0.464
early-peak-g1,early-peak,0,-0.775
early-peak-g1,early-peak,6,-0.32
early-peak-g1,early-peak,12,0.291
early-peak-g1,early-peak,24,0.606
early-peak-g1,early-peak,48,-0.246
early-peak-g1,early-peak,72,-0.803
early-peak-g2,early-peak,0,-0.275
early-peak-g2,early-peak,6,0
early-peak-g2,early-peak,12,0.763
early-peak-g2,early-peak,24,1.004
early-peak-g2,early-peak,48,-0.404
early-peak-g2,early-peak,72,-0.516
early-peak-g3,early-peak,0,0.076
early-peak-g3,early-peak,6,0.332
early-peak-g3,early-peak,12,0.98
early-peak-g3,early-peak,24,1.285
early-peak-g3,early-peak,48,-0.025
early-peak-g3,early-peak,72,-0.19
early-peak-g4,early-peak,0,-0.224
early-peak-g4,early-peak,6,-0.033
early-peak-g4,early-peak,12,0.313
early-peak-g4,early-peak,24,0.731
early-peak-g4,early-peak,48,-0.612
early-peak-g4,early-peak,72,-0.607
early-peak-g5,early-peak,0,0.322
early-peak-g5,early-peak,6,0.54
early-peak-g5,early-peak,12,0.97
early-peak-g5,early-peak,24,1.627
early-peak-g5,early-peak,48,-0.043
early-peak-g5,early-peak,72,0.289
early-peak-g6,early-peak,0,-0.383
early-peak-g6,early-peak,6,-0.011
early-peak-g6,early-peak,12,0.867
early-peak-g6,early-peak,24,0.967
early-peak-g6,early-peak,48,-0.156
early-peak-g6,early-peak,72,-0.371
early-peak-g7,early-peak,0,-0.243
early-peak-g7,early-peak,6,-0.019
early-peak-g7,early-peak,12,0.304
early-peak-g7,early-peak,24,0.555
early-peak-g7,early-peak,48,-0.303
early-peak-g7,early-peak,72,-0.416
early-peak-g8,early-peak,0,-0.247
early-peak-g8,early-peak,6,0.188
early-peak-g8,early-peak,12,0.539
early-peak-g8,early-peak,24,1.18
early-peak-g8,early-peak,48,-0.55
early-peak-g8,early-peak,72,-0.761
late-peak-g1,late-peak,0,0.009
late-peak-g1,late-peak,6,0.036
late-peak-g1,late-peak,12,-0.111
late-peak-g1,late-peak,24,-0.08
late-peak-g1,late-peak,48,1.252
late-peak-g1,late-peak,72,0.115
late-peak-g2,late-peak,0,-0.059
late-peak-g2,late-peak,6,0.04
late-peak-g2,late-peak,12,-0.276
late-peak-g2,late-peak,24,-0.677
late-peak-g2,late-peak,48,0.868
late-peak-g2,late-peak,72,-0.242
late-peak-g3,late-peak,0,-0.111
late-peak-g3,late-peak,6,-0.121
late-peak-g3,late-peak,12,-0.307
late-peak-g3,late-peak,24,-0.383
late-peak-g3,late-peak,48,1.255
late-peak-g3,late-peak,72,-0.04
late-peak-g4,late-peak,0,-0.482
late-peak-g4,late-peak,6,-0.372
late-peak-g4,late-peak,12,-0.363
late-peak-g4,late-peak,24,-0.646
late-peak-g4,late-peak,48,1.423
late-peak-g4,late-peak,72,-0.339
late-peak-g5,late-peak,0,0.129
late-peak-g5,late-peak,6,0.041
late-peak-g5,late-peak,12,-0.11
late-peak-g5,late-peak,24,0.141
late-peak-g5,late-peak,48,1.324
late-peak-g5,late-peak,72,0.091
late-peak-g6,late-peak,0,-0.124
late-peak-g6,late-peak,6,0.023
late-peak-g6,late-peak,12,-0.015
late-peak-g6,late-peak,24,-0.294
late-peak-g6,late-peak,48,0.987
late-peak-g6,late-peak,72,-0.104
late-peak-g7,late-peak,0,-0.212
late-peak-g7,late-peak,6,-0.254
late-peak-g7,late-peak,12,-0.104
late-peak-g7,late-peak,24,-0.054
late-peak-g7,late-peak,48,1.008
late-peak-g7,late-peak,72,0.02
late-peak-g8,late-peak,0,-0.127
late-peak-g8,late-peak,6,-0.11
late-peak-g8,late-peak,12,-0.638
