gene,base_mean,log2fc,pvalue
G1,3.31,-0.267,0.808
G2,3.29,0.901,0.414
G3,6.08,0.32,0.713
G4,723.36,-0.382,0.172
G5,57.67,0.03,0.944
G6,32.77,-0.654,0.19
G7,272.99,-0.351,0.268
G8,33.15,-0.198,0.691
G9,627.54,0.446,0.116
G10,415.29,-0.169,0.571
G11,118.68,0.08,0.827
G12,4.32,1.292,0.192
G13,15.05,0.606,0.338
G14,117.94,-0.724,0.0487
G15,5.48,-1.695,0.0606
G16,1.54,1.489,0.324
G17,39.73,0.114,0.81
G18,200.75,-0.388,0.244
G19,41.78,1.062,0.0231
G20,13.58,-0.801,0.221
G21,130.94,0.116,0.747
G22,209.9,0.005,0.988
G23,313.47,0.331,0.286
G24,65.61,-0.956,0.022
G25,121.08,0.195,0.594
G26,61.74,0.192,0.65
G27,16.74,0.621,0.31
G28,9.06,0.083,0.912
G29,7.62,-0.072,0.928
G30,119.7,-0.371,0.311
G31,49.28,-0.624,0.164
G32,660.09,0.186,0.51
G33,60.74,0.067,0.875
G34,5287.39,1.681,3.75e-12
G35,158.73,-0.302,0.384
G36,150.78,-0.825,0.0185
G37,23.75,0.147,0.789
G38,18.66,-0.22,0.709
G39,172.89,0.256,0.454
G40,125.65,-1.634,6.65e-06
G41,1.55,-1.06,0.481
G42,36.06,-0.267,0.583
G43,492.29,-0.164,0.575
G44,11.3,0.796,0.253
G45,57.95,0.155,0.719
G46,527.29,0.175,0.546
G47,97.6,0.673,0.0781
G48,60.12,0.336,0.431
G49,60.05,0.482,0.258
G50,52.35,-0.827,0.0608
G51,3090.36,0.31,0.213
G52,42.34,-0.376,0.42
G53,61.9,-0.15,0.723
G54,20.45,-0.658,0.251
G55,1407.49,0.262,0.319
G56,34.14,-1.472,0.00288
G57,198.33,-0.322,0.334
G58,31.8,-0.577,0.252
G59,8.11,1.061,0.175
G60,167.51,-0.235,0.494
G61,46.76,-0.136,0.765
G62,77.13,0.12,0.765
G63,85.43,-0.012,0.976
G64,47.07,-3.399,1e-12
G65,12.13,-0.71,0.296
G66,67.09,-0.802,0.0535
G67,28.62,1.003,0.0533
G68,584.78,-0.11,0.701
G69,240.02,0.1,0.757
G70,225.79,0.068,0.835
G71,208.07,0.028,0.933
G72,371.09,-0.107,0.724
G73,50.96,-0.507,0.254
G74,8.18,0.207,0.791
G75,47.29,0.182,0.688
G76,234.9,-0.008,0.98
G77,18.48,-0.646,0.275
G78,80.11,0.492,0.217
G79,305.19,0.814,0.00899
G80,12.42,0.338,0.616
G81,220.09,0.021,0.949
G82,75.46,0.6,0.138
G83,257.83,0.657,0.0398
G84,35.5,0.351,0.472
G85,3582.7,-0.469,0.0573
G86,47.11,0.023,0.96
G87,100.79,-0.321,0.397
G88,21.64,1.025,0.0691
G89,267.53,0.073,0.818
G90,43.07,0.427,0.357
G91,43.55,0.358,0.439
G92,84.37,0.424,0.282
G93,64.33,-0.167,0.691
G94,43.08,-0.445,0.337
G95,6.89,0.632,0.446
G96,5.12,0.349,0.707
G97,345.04,-0.464,0.13
G98,58.43,-0.001,0.998
G99,30.98,-0.109,0.83
G100,3.14,1.273,0.257
G101,119.26,0.513,0.162
G102,115.36,-0.562,0.128
G103,208.95,-0.096,0.772
G104,929.83,0.002,0.994
G105,24.88,-0.333,0.538
G106,224.35,-0.109,0.739
G107,1937.68,-0.27,0.292
G108,126.62,0.225,0.534
G109,915.88,-0.515,0.0591
G110,57.59,0.617,0.152
G111,746.97,-0.038,0.891
G112,83.32,-0.02,0.96
G113,11.74,-0.11,0.873
G114,390.31,0.37,0.219
G115,4.88,-0.465,0.622
G116,35.55,0.125,0.798
G117,258.68,-0.346,0.279
G118,83.68,-0.043,0.913
G119,41.6,0.038,0.935
G120,4.74,1.718,0.072
G121,15.77,-0.315,0.613
G122,2.46,0.701,0.572
G123,14.52,-0.083,0.897
G124,9.5,2.755,0.000193
G125,40.64,-0.133,0.778
G126,20.13,-1.063,0.0653
G127,282.85,0.092,0.77
G128,59.3,-0.308,0.472
G129,515.03,0.072,0.804
G130,799.86,-0.337,0.223
G131,6.95,1.304,0.115
G132,129.32,-0.254,0.481
G133,320.2,0.133,0.667
G134,100.71,-0.797,0.0357
G135,34.18,0.667,0.177
G136,11.64,-0.942,0.172
G137,315.96,0.037,0.905
G138,8.46,1.054,0.171
G139,628.15,0.105,0.711
G140,1.78,0.137,0.923
G141,646.93,-0.078,0.783
G142,201,0.411,0.217
G143,2.52,0.033,0.979
G144,100.75,0.29,0.445
G145,3175.65,-0.049,0.844
G146,123.19,-0.686,0.0596
G147,71.76,0.291,0.477
G148,24.52,-0.547,0.314
G149,286.12,0.198,0.529
G150,31.81,-0.212,0.674
G151,221.93,-0.023,0.944
G152,11.07,1.499,0.0325
G153,47.68,0.222,0.623
G154,58.39,-0.106,0.805
G155,475.41,0.275,0.349
G156,33.92,0.858,0.0829
G157,70.71,0.141,0.731
G158,14.57,-0.658,0.303
G159,9.46,-0.319,0.666
G160,450.81,0.29,0.326
G161,18.32,0.369,0.534
G162,811.93,1.552,1.91e-08
G163,85.71,0.032,0.935
G164,225.11,0.003,0.993
G165,70.65,-0.928,0.0237
G166,3640.11,-0.222,0.368
G167,28.87,0.493,0.341
G168,167.43,0.024,0.944
G169,387.34,0.42,0.163
G170,1.62,0.526,0.722
G171,91.5,-0.339,0.381
G172,97.99,-0.039,0.919
G173,33.25,-0.033,0.947
G174,1392.36,0.467,0.0757
G175,119.4,-0.067,0.855
G176,32.79,0.242,0.628
G177,491,0.104,0.722
G178,106.24,-0.316,0.4
G179,15.78,0.704,0.258
G180,19.05,0.026,0.965
G181,157.73,-0.057,0.87
G182,297.62,0.036,0.908
G183,2.56,2.919,0.0167
G184,57.46,-0.331,0.443
G185,225.64,-0.306,0.349
G186,99.34,-0.295,0.438
G187,43.98,-0.387,0.401
G188,212.09,0.402,0.223
G189,51.69,0.329,0.457
G190,161.02,0.64,0.0644
G191,47.84,0.26,0.565
G192,160.98,-0.132,0.703
G193,8.68,0.257,0.736
G194,4.16,-0.317,0.752
G195,25.82,0.013,0.981
G196,9.46,-0.995,0.179
G197,257.75,0.16,0.617
G198,264.48,-0.204,0.522
G199,69.72,0.498,0.226
G200,5.58,1.834,0.041
G201,18.53,-0.504,0.394
G202,7.3,2.827,5e-04
G203,726.87,-0.008,0.977
G204,43.73,0.996,0.0311
G205,10.72,-0.417,0.556
G206,48.16,-0.384,0.394
G207,25.33,-0.489,0.363
G208,105.69,0.433,0.249
G209,612.01,-0.805,0.00469
G210,47.21,-0.371,0.413
G211,1.34,0.849,0.596
G212,2.01,-0.471,0.727
G213,2.43,1.848,0.138
G214,8.05,0.404,0.606
G215,518.72,-0.054,0.852
G216,1.33,-0.732,0.649
G217,1926.94,-0.515,0.0446
G218,174.92,0.081,0.812
G219,2.31,-0.59,0.643
G220,99.2,-0.023,0.952
G221,54.03,-0.163,0.71
G222,8.91,-0.081,0.915
G223,37,-0.018,0.97
G224,218.47,-0.339,0.302
G225,272.44,0.118,0.71
G226,71.61,0.001,0.998
G227,1079.66,-0.202,0.452
G228,291.6,0.358,0.254
G229,257.32,-0.079,0.805
G230,29.19,-0.677,0.19
G231,120.29,0.19,0.604
G232,59.43,0.082,0.848
G233,4.95,-0.501,0.594
G234,3.95,-0.356,0.728
G235,14.05,-1.114,0.085
G236,9.77,-1.517,0.0382
G237,46.6,-0.032,0.944
G238,25.17,1.714,0.00147
G239,12.32,0.17,0.801
G240,136.46,0.269,0.451
G241,11.8,1.56,0.0229
G242,52.15,0.04,0.928
G243,409.02,-0.684,0.0222
G244,275.57,0.081,0.798
G245,597.42,-0.071,0.804
G246,14.17,-0.034,0.958
G247,268.58,0.54,0.0891
G248,74.29,-1.472,0.000285
G249,24.3,-0.518,0.342
G250,227.89,0.263,0.42
G251,10.77,0.253,0.721
G252,528.46,-0.308,0.288
G253,15.53,1.558,0.0128
G254,18.75,-0.644,0.275
G255,182.84,0.152,0.653
G256,647.6,0.015,0.958
G257,329.98,0.434,0.159
G258,74.24,0.249,0.539
G259,24.7,-0.11,0.839
