"gene","log2_fold_change","pvalue"
"Gene0001",-0.950573853077032,0.0948213257793471
"Gene0002",0.41485123799933,0.604358697910225
"Gene0003",-0.0769143191276649,0.911034021000596
"Gene0004",-0.0198354662368029,0.982250148256542
"Gene0005",0.142297578303855,0.875081753805146
"Gene0006",-0.458300482374032,0.591818261993024
"Gene0007",-0.247341950406908,0.744172130367645
"Gene0008",0.361862084478269,0.504231697253659
"Gene0009",0.690466338606891,0.342724180150742
"Gene0010",0.240633775722662,0.757607564147835
"Gene0011",0.258384892489342,0.732476753867359
"Gene0012",-0.597894581137253,0.424345260653283
"Gene0013",0.368416926755904,0.519207737050392
"Gene0014",0.393133688134675,0.667519157327964
"Gene0015",0.992454135418399,0.0198632712196812
"Gene0016",0.0658835986622963,0.92575043873295
"Gene0017",0.323330009547858,0.602824752137613
"Gene0018",0.753445295081276,0.298359156855503
"Gene0019",-0.606644976948483,0.209165699609982
"Gene0020",0.360327877726784,0.49323803645485
"Gene0021",0.482004162411891,0.332267342692988
"Gene0022",2.26179596928017,0.000869486463491934
"Gene0023",0.102768201008711,0.77552676821808
"Gene0024",-0.0531085185556086,0.950067312020996
"Gene0025",0.0577120039067859,0.950224573703124
"Gene0026",0.304002100693996,0.738137670540727
"Gene0027",-0.377312072683721,0.678646965183021
"Gene0028",-0.427816188886104,0.601789077959869
"Gene0029",2.65893670610436,1.63427874631864e-06
"Gene0030",-0.498411083207598,0.518252981159095
"Gene0031",-0.584270544177373,0.151494382031575
"Gene0032",0.482732646325849,0.535379458737356
"Gene0033",-0.321886104184945,0.715297814907735
"Gene0034",-0.176571515329325,0.797272964279351
"Gene0035",-0.397156134450719,0.515626743581413
"Gene0036",0.179470569243632,0.746917535131615
"Gene0037",0.286754658226814,0.632018281785144
"Gene0038",0.415886563395371,0.533589058848189
"Gene0039",-0.161712725161966,0.83787364336938
"Gene0040",1.52855116901713,0.000261837295231448
"Gene0041",0.0479575431439158,0.957693242372905
"Gene0042",-0.454875833596767,0.419021845575623
"Gene0043",0.402993129880261,0.383363470493487
"Gene0044",0.529706617268216,0.505625136993987
"Gene0045",3.20616493509925,8.53669553925915e-07
"Gene0046",-0.150687929618178,0.848504641151636
"Gene0047",-0.470645329074989,0.447487842986799
"Gene0048",0.0131047245631751,0.98086669631582
"Gene0049",-0.471002626212881,0.198431380962218
"Gene0050",-0.634901510580325,0.355943826425678
"Gene0051",-1.15908960008857,0.0446781510038197
"Gene0052",-0.104656882334975,0.844094812474985
"Gene0053",-0.139611953696038,0.733726979978014
"Gene0054",-0.225161065469416,0.599228194988032
"Gene0055",0.46046176915342,0.533814012965355
"Gene0056",-2.69674655331556,8.00736624708446e-07
"Gene0057",-0.155573748709922,0.774457333498147
"Gene0058",0.198164077267697,0.582435956804105
"Gene0059",0.101613986071149,0.871046453945317
"Gene0060",0.481249139686114,0.325996732586262
"Gene0061",-0.0217027365644103,0.981503320719141
"Gene0062",0.126059040560813,0.831247076211781
"Gene0063",0.589103882001291,0.384753566213006
"Gene0064",0.0359008461222059,0.94408171233985
"Gene0065",-0.229192359695151,0.659735750948201
"Gene0066",0.415301319868171,0.538283970753913
