sample,group,pred,ortho
S01,Control,-0.473,1.019
S02,Control,-0.845,-0.27
S03,Control,-2.139,-0.87
S04,Control,-0.996,0.198
S05,Control,0.578,-0.303
S06,Control,-1.005,1.526
S07,Control,-0.392,0.191
S08,Control,-0.287,-0.908
S09,Control,-0.98,1.55
S10,Control,-1.76,1.266
S11,Control,-1.731,-0.048
S12,Control,-0.282,-0.538
S13,Control,-0.819,0.098
S14,Control,-2.164,0.962
S15,Control,-1.751,0.761
S16,Control,-1.082,0.453
S17,Control,-0.258,-1.647
S18,Control,-0.586,-0.82
S19,Control,-0.032,-0.493
S20,Control,-1.126,1.107
S21,Case,0.147,0.475
S22,Case,1.883,-1.161
S23,Case,1.745,0.237
S24,Case,2.079,3.383
S25,Case,0.687,-0.946
S26,Case,1.149,2.889
S27,Case,-0.038,-0.084
S28,Case,1.64,0.442
S29,Case,1.347,1.559
S30,Case,-0.222,-0.939
S31,Case,0.281,-0.252
S32,Case,1.423,1.272
S33,Case,0.55,-1.782
S34,Case,0.084,-0.435
S35,Case,1.903,0.745
S36,Case,2.016,2.494
S37,Case,1.973,-0.175
S38,Case,0.575,1.606
S39,Case,1.664,-0.3
S40,Case,1.16,-0.538
