perm,q2
1,0.71
2,-0.132
3,-0.091
4,-0.177
5,-0.099
6,-0.137
7,0.135
8,-0.18
9,-0.02
10,-0.139
11,-0.138
12,0.044
13,-0.292
14,0.274
15,0.095
16,-0.105
17,0.094
18,-0.151
19,-0.016
20,-0.169
21,-0.175
22,-0.015
23,0.02
24,0.083
25,-0.228
26,0.091
27,-0.129
28,-0.016
29,-0.008
30,-0.303
31,-0.33
32,0.063
33,0.037
34,0.248
35,-0.253
36,-0.196
37,0.063
38,0.055
39,-0.138
40,-0.003
41,-0.169
42,-0.097
43,0.24
44,-0.443
45,-0.147
46,-0.178
47,-0.204
48,-0.288
49,-0.013
50,0.05
51,-0.075
52,-0.11
53,-0.041
54,0.069
55,-0.215
56,-0.348
57,-0.177
58,0.087
59,0.01
60,-0.142
61,-0.279
62,0.072
63,-0.29
64,0.245
65,-0.036
66,-0.261
67,-0.351
68,0.063
69,-0.111
70,-0.569
71,-0.025
72,0.295
73,-0.06
74,-0.078
75,-0.056
76,-0.045
77,-0.179
78,-0.155
79,-0.057
80,0.01
81,-0.023
82,-0.261
83,-0.015
84,-0.012
85,-0.003
86,0.193
87,-0.209
88,-0.056
89,-0.191
90,-0.3
91,-0.257
92,-0.11
93,-0.106
94,-0.314
95,0.277
96,0.244
97,0.176
98,0.003
99,0.175
100,-0.328
