sample,group,pc1,pc2
S001,Pop1,-0.933831,-0.182962
S002,Pop1,-1.144572,-0.854514
S003,Pop1,-0.370102,0.400458
S004,Pop1,-1.113898,0.270832
S005,Pop1,-0.901576,-0.193838
S006,Pop1,-0.657851,-0.108695
S007,Pop1,-1.115088,-0.277251
S008,Pop1,-0.840765,-0.034719
S009,Pop1,-0.809149,-0.212515
S010,Pop1,-0.955610,-0.312296
S011,Pop1,-0.705487,0.065812
S012,Pop1,-0.884300,0.143676
S013,Pop1,-1.353765,0.274113
S014,Pop1,-0.280154,-0.573455
S015,Pop1,-1.605294,-0.526691
S016,Pop1,-0.705489,0.045050
S017,Pop1,-0.622580,0.252851
S018,Pop1,-0.926300,0.099413
S019,Pop1,-1.059416,0.303961
S020,Pop1,-1.395401,-0.147651
S021,Pop1,-0.914971,0.630497
S022,Pop1,-1.267562,-0.377671
S023,Pop1,-1.197151,0.339245
S024,Pop1,-1.082252,0.463521
S025,Pop1,-1.655385,0.394983
S026,Pop1,-0.637797,-0.496533
S027,Pop1,-0.946246,0.425515
S028,Pop1,-0.969228,0.349895
S029,Pop1,-0.168790,0.095876
S030,Pop1,-1.098134,-0.269868
S031,Pop1,-0.773177,-0.068856
S032,Pop1,-1.062561,-0.036841
S033,Pop1,-0.772546,-0.373219
S034,Pop1,-1.535457,-0.851857
S035,Pop1,-0.580465,0.025828
S036,Pop1,-0.471458,-0.003135
S037,Pop1,-1.259754,0.167275
S038,Pop1,-1.026806,-0.438965
S039,Pop1,-1.309773,0.618373
S040,Pop1,-0.875977,0.145735
S041,Pop2,0.889379,-0.075888
S042,Pop2,1.356662,0.158149
S043,Pop2,0.696357,0.146349
S044,Pop2,0.637758,0.276018
S045,Pop2,1.451691,-0.134434
S046,Pop2,1.571418,-0.067048
S047,Pop2,1.061365,-0.134555
S048,Pop2,0.911106,0.218962
S049,Pop2,0.826126,-0.081155
S050,Pop2,0.728846,-0.128464
S051,Pop2,0.371968,0.094812
S052,Pop2,1.160463,0.563361
S053,Pop2,1.258841,1.182935
S054,Pop2,1.127473,0.017466
S055,Pop2,1.748654,-0.218887
S056,Pop2,1.387391,-0.182058
S057,Pop2,1.141645,-0.587359
S058,Pop2,1.359709,0.136701
S059,Pop2,0.612927,0.871368
S060,Pop2,1.306142,0.218323
S061,Pop2,0.701823,0.182655
S062,Pop2,0.934428,0.489911
S063,Pop2,1.319230,-0.067103
S064,Pop2,0.780252,-0.012826
S065,Pop2,0.460273,-0.036630
S066,Pop2,0.963037,0.476381
S067,Pop2,1.528152,-0.123338
S068,Pop2,1.220391,0.022217
S069,Pop2,1.830075,0.180511
S070,Pop2,1.200851,-0.174465
S071,Pop2,0.675724,0.280678
S072,Pop2,0.846378,0.341315
S073,Pop2,0.375270,0.464802
S074,Pop2,0.640208,0.888969
S075,Pop2,0.884613,0.638906
S076,Pop2,0.442007,0.371578
S077,Pop2,0.644788,0.005244
S078,Pop2,1.009839,0.073170
S079,Pop2,1.105702,0.499062
S080,Pop2,1.261113,0.165007
S081,Pop3,-0.409029,0.958606
S082,Pop3,-0.058727,0.563452
S083,Pop3,0.225624,1.128109
S084,Pop3,-0.075396,1.484513
S085,Pop3,0.200373,1.266300
S086,Pop3,-0.300400,1.293126
S087,Pop3,0.103853,0.934568
S088,Pop3,0.312994,1.352366
S089,Pop3,-0.590887,1.236585
S090,Pop3,-0.379409,1.540895
S091,Pop3,0.242108,0.868923
S092,Pop3,-0.265462,1.230556
S093,Pop3,-0.071643,1.657561
S094,Pop3,0.222292,1.115272
S095,Pop3,0.173219,0.590316
S096,Pop3,0.092959,1.459922
S097,Pop3,-0.053686,0.986936
S098,Pop3,0.169750,1.787584
S099,Pop3,0.061461,0.863797
S100,Pop3,0.433741,0.636436
S101,Pop3,0.150961,1.025414
S102,Pop3,0.279180,0.945158
S103,Pop3,0.397154,1.290082
S104,Pop3,-0.518052,0.607856
S105,Pop3,-0.094829,1.588263
S106,Pop3,0.038109,1.220136
S107,Pop3,-0.070771,1.421370
S108,Pop3,0.113198,1.284104
S109,Pop3,-0.295417,1.556356
S110,Pop3,0.408924,0.809594
