"sample","group","taxon","abundance"
"S01","G1","T01",1.22520760933631
"S02","G1","T01",2.25835234526042
"S03","G1","T01",0.804300405317917
"S04","G1","T01",0.829597361385822
"S05","G1","T01",1.78617175732026
"S06","G1","T01",0.892782361967539
"S07","G1","T01",1.79238483752402
"S08","G1","T01",0.648222290515227
"S09","G1","T01",0.929982082219794
"S10","G1","T01",0.759829541440415
"S11","G1","T01",1.02809465418332
"S12","G1","T01",1.38639295896303
"S13","G2","T01",1.37926048226655
"S14","G2","T01",1.3082604277879
"S15","G2","T01",2.28039205135693
"S16","G2","T01",1.2190578848744
"S17","G2","T01",1.23412398202345
"S18","G2","T01",1.42627916648053
"S19","G2","T01",1.87595321468771
"S20","G2","T01",1.21720181730257
"S21","G2","T01",1.20915947708922
"S22","G2","T01",2.13574859123201
"S23","G2","T01",2.51183188793467
"S24","G2","T01",1.70253720458359
"S25","G3","T01",1.89925484126434
"S26","G3","T01",2.13465591215291
"S27","G3","T01",2.1111838273167
"S28","G3","T01",1.85385056305677
"S29","G3","T01",2.34966335527839
"S30","G3","T01",2.1114346739464
"S31","G3","T01",1.62046097684652
"S32","G3","T01",1.78108777897432
"S33","G3","T01",1.68936116551049
"S34","G3","T01",2.36399862329
"S35","G3","T01",2.19627086401121
"S36","G3","T01",2.59813927086526
"S01","G1","T02",1.33487630889513
"S02","G1","T02",1.00001640664414
"S03","G1","T02",0.981322874029917
"S04","G1","T02",1.18181553599425
"S05","G1","T02",0.959522136303976
"S06","G1","T02",1.50327243909933
"S07","G1","T02",2.48148251372584
"S08","G1","T02",1.10371075640433
"S09","G1","T02",0.981916735414416
"S10","G1","T02",1.97182724550822
"S11","G1","T02",1.02242210693657
"S12","G1","T02",1.49273686832244
"S13","G2","T02",2.36261925702439
"S14","G2","T02",1.7354417538736
"S15","G2","T02",3.10444897138466
"S16","G2","T02",1.86933996272273
"S17","G2","T02",1.67193522956222
"S18","G2","T02",2.01777285995899
"S19","G2","T02",2.50994954952495
"S20","G2","T02",2.70307827885732
"S21","G2","T02",2.16535662811012
"S22","G2","T02",2.13446373304114
"S23","G2","T02",2.39734325453698
"S24","G2","T02",1.94731265188398
"S25","G3","T02",1.57617236427259
"S26","G3","T02",1.05955507990085
"S27","G3","T02",1.66014317549062
"S28","G3","T02",1.23911967442837
"S29","G3","T02",1.24642679004948
"S30","G3","T02",1.3014991566306
