cell,dim1,dim2,pseudotime,branch
cell001,1.186,0.428,0.1286,trunk
cell002,8.231,-0.852,0.9646,fate-b
cell003,2.998,1.484,0.3631,trunk
cell004,8.58,-0.88,0.9665,fate-b
cell005,3.255,1.461,0.3443,trunk
cell006,8.13,0.047,0.8577,fate-b
cell007,4.077,1.684,0.3947,trunk
cell008,4.081,1.727,0.492,fate-a
cell009,7.213,2.875,0.9455,fate-a
cell010,2.979,1.648,0.3871,trunk
cell011,3.875,0.908,0.4017,trunk
cell012,4.828,1.013,0.5913,trunk
cell013,3.321,1.893,0.4166,trunk
cell014,4.205,1.272,0.4752,fate-a
cell015,4.859,2.364,0.6254,fate-a
cell016,4.45,1.76,0.4611,fate-b
cell017,5.741,0.885,0.6737,fate-b
cell018,1.544,1.036,0.2289,trunk
cell019,2.231,0.326,0.2173,trunk
cell020,1.389,0.538,0.1572,trunk
cell021,1.424,0.819,0.2061,trunk
cell022,6.046,0.062,0.7912,fate-b
cell023,7.378,0.087,0.8141,fate-b
cell024,2.874,1.381,0.3243,trunk
cell025,7.01,0.828,0.7775,fate-b
cell026,1.751,0.797,0.2723,trunk
cell027,7.455,-0.589,0.9059,fate-b
cell028,3.289,0.992,0.3659,fate-a
cell029,4.008,1.484,0.4935,fate-b
cell030,7.485,3.329,0.911,fate-a
cell031,3.137,1.326,0.3891,trunk
cell032,3.145,1.24,0.337,trunk
cell033,5.605,2.322,0.5848,fate-a
cell034,1.674,0.76,0.2077,trunk
cell035,2.352,1.22,0.3054,trunk
cell036,7.661,-0.522,0.9321,fate-b
cell037,0.966,0.875,0.0858,trunk
cell038,1.61,0.616,0.2101,trunk
cell039,2.475,1.066,0.2449,trunk
cell040,4.974,2.306,0.6511,fate-a
cell041,4.47,1.602,0.5398,fate-a
cell042,5.637,0.993,0.5579,fate-b
cell043,6.739,2.744,0.8379,fate-a
cell044,8.484,3.056,0.9981,fate-a
cell045,0.926,0.636,0.096,trunk
cell046,3.124,1.549,0.3715,trunk
cell047,1.38,0.846,0.1518,trunk
cell048,4.254,1.446,0.4503,trunk
cell049,5.59,0.929,0.6086,fate-b
cell050,2.591,1.382,0.3423,trunk
cell051,4.706,1.169,0.5016,fate-b
cell052,4.233,1.555,0.5087,fate-a
cell053,7.597,3.196,0.8893,fate-a
cell054,5.166,2.923,0.6443,fate-a
cell055,8.231,3.361,0.9913,fate-a
cell056,6.578,2.595,0.7011,fate-a
cell057,6.227,2.948,0.791,fate-a
cell058,6.969,-0.638,0.826,fate-b
cell059,0.348,0.084,0.094,trunk
cell060,6.751,2.471,0.7421,fate-a
cell061,2.391,1.198,0.3159,trunk
cell062,7.037,2.831,0.8097,fate-a
cell063,3.37,1.359,0.4303,trunk
cell064,6.761,3.237,0.7768,fate-a
cell065,4.105,1.76,0.5275,fate-a
cell066,3.029,1.29,0.33,trunk
cell067,1.632,0.748,0.21,trunk
cell068,6.7,-0.256,0.8145,fate-b
cell069,4.908,1.704,0.4971,fate-a
cell070,1.352,0.884,0.1526,trunk
cell071,4.208,2.36,0.5722,fate-a
cell072,6.402,2.174,0.6482,fate-a
cell073,8.819,2.734,0.9066,fate-a
cell074,2.797,1.774,0.4532,fate-b
cell075,5.045,0.772,0.6127,fate-b
cell076,7.114,-1.008,0.8998,fate-b
cell077,5.833,2.483,0.8065,fate-a
cell078,1.914,0.968,0.2204,trunk
cell079,4.54,2.136,0.5269,fate-a
cell080,2.926,1.813,0.3248,trunk
cell081,8.764,-0.983,0.9693,fate-b
cell082,1.362,0.491,0.1161,trunk
cell083,6.23,2.266,0.6739,fate-a
cell084,4.847,2.64,0.6639,fate-a
cell085,8.346,-0.738,0.9593,fate-b
cell086,7.672,2.698,0.8938,fate-a
cell087,4.844,2.305,0.5541,fate-a
cell088,7.511,-0.864,0.9379,fate-b
cell089,5.272,1.212,0.6373,fate-b
cell090,4.603,1.428,0.507,fate-b
cell091,0.979,0.84,0.1041,trunk
cell092,1.327,0.813,0.1568,trunk
cell093,1.936,1.067,0.2751,trunk
cell094,1.329,0.851,0.1487,trunk
cell095,5.668,0.474,0.6971,fate-b
cell096,3.233,1.241,0.3856,fate-b
cell097,7.187,0.033,0.8468,fate-b
cell098,5.355,1.083,0.559,fate-b
cell099,-0.166,-0.09,0.0102,trunk
cell100,6.95,0.025,0.884,fate-b
cell101,7.325,0.633,0.8188,fate-b
cell102,3.66,1.706,0.4199,trunk
cell103,4.87,1.703,0.5472,fate-a
cell104,1.578,0.91,0.1725,trunk
cell105,6.885,2.671,0.8119,fate-a
cell106,9.085,-0.717,0.9568,fate-b
cell107,5.458,1.886,0.5662,fate-a
cell108,4.021,1.43,0.4491,fate-a
cell109,2.045,1.366,0.2622,trunk
cell110,1.558,0.501,0.1308,trunk
cell111,4.868,0.86,0.5956,fate-b
cell112,2.943,0.92,0.3695,trunk
cell113,5.398,2.025,0.5797,fate-a
cell114,0.641,0.77,0.1188,trunk
cell115,4.252,1.298,0.5077,fate-b
cell116,2.401,1.454,0.261,trunk
cell117,2.899,0.927,0.3485,trunk
cell118,8.158,2.82,0.9275,fate-a
cell119,2.206,0.992,0.3272,trunk
cell120,5.138,2.026,0.5794,fate-a
cell121,4.936,0.79,0.6707,fate-b
cell122,6.89,0.35,0.7934,fate-b
cell123,6.184,0.146,0.74,fate-b
cell124,5.984,0.812,0.7361,fate-b
cell125,7.62,-1.395,0.9968,fate-b
cell126,3.043,1.454,0.3425,trunk
cell127,5.725,2.143,0.6439,fate-a
cell128,2.177,0.642,0.2435,trunk
cell129,3.113,1.536,0.2906,trunk
cell130,1.937,0.653,0.275,trunk
cell131,8.812,2.705,0.9982,fate-a
cell132,6.706,2.303,0.7442,fate-a
cell133,5.726,2.509,0.6119,fate-a
cell134,6.084,0.53,0.7322,fate-b
cell135,5.214,2.576,0.6623,fate-a
cell136,1.11,0.344,0.0972,trunk
cell137,8.659,-0.281,0.9563,fate-b
cell138,6.522,-0.596,0.861,fate-b
cell139,0.807,0.045,0.0646,trunk
cell140,4.17,1.301,0.4441,trunk
cell141,3.051,0.818,0.3239,trunk
cell142,2.334,1.042,0.2386,trunk
cell143,5.041,2.127,0.5893,fate-a
cell144,4.157,1.225,0.4285,trunk
cell145,5.48,2.279,0.6952,fate-a
cell146,7.325,0.392,0.8421,fate-b
cell147,4.327,1.48,0.553,fate-a
cell148,4.427,1.911,0.5144,fate-a
cell149,3.57,1.591,0.4588,fate-b
cell150,7.108,2.607,0.8764,fate-a
cell151,5.635,2.602,0.711,fate-a
cell152,5.511,1.998,0.6245,fate-a
cell153,5.015,2.43,0.64,fate-a
cell154,2.239,1.361,0.2595,trunk
cell155,4.511,1.78,0.4881,fate-a
cell156,2.297,1.08,0.2917,trunk
cell157,1.499,1.137,0.2123,trunk
cell158,3.987,1.561,0.4319,trunk
cell159,1.641,0.739,0.1674,trunk
cell160,5.865,1.154,0.663,fate-b
cell161,3.802,1.463,0.4989,fate-b
cell162,6.109,2.149,0.7408,fate-a
cell163,3.765,1.463,0.3913,trunk
cell164,2.373,1.181,0.265,trunk
cell165,5.781,0.338,0.744,fate-b
cell166,3.772,1.202,0.4071,trunk
cell167,5.42,1.039,0.6113,fate-b
cell168,2.783,0.907,0.2876,trunk
cell169,0.795,0.434,0.1379,trunk
cell170,3.118,1.581,0.4247,trunk
cell171,9.015,3.433,0.9894,fate-a
cell172,5.435,0.988,0.6718,fate-b
cell173,7.785,-0.89,0.9508,fate-b
cell174,2.603,1.175,0.3275,trunk
cell175,5.918,2.75,0.7374,fate-a
cell176,5.435,1.977,0.5792,fate-a
cell177,3.784,2.043,0.4263,trunk
cell178,7.204,2.565,0.8104,fate-a
cell179,3.373,1.162,0.3633,fate-a
cell180,6.815,2.65,0.9003,fate-a
cell181,7.582,0.075,0.838,fate-b
cell182,0.039,-0.043,0.0352,trunk
cell183,7.335,-0.763,0.9424,fate-b
cell184,8.023,-0.785,0.9575,fate-b
cell185,2.044,1.069,0.257,trunk
cell186,5.863,0.617,0.6856,fate-b
cell187,6.719,3,0.7998,fate-a
cell188,2.733,0.89,0.3395,trunk
cell189,2.827,0.902,0.3529,trunk
cell190,8.485,-0.641,0.9267,fate-b
cell191,8.405,3.099,0.8624,fate-a
cell192,6.723,2.938,0.7649,fate-a
cell193,4.016,1.859,0.4476,fate-a
cell194,5.93,2.867,0.7779,fate-a
cell195,4.347,2.211,0.5293,fate-a
cell196,7.791,2.475,0.8999,fate-a
cell197,6.345,2.734,0.702,fate-a
cell198,3.897,1.041,0.3784,fate-b
cell199,7.604,2.187,0.7376,fate-a
cell200,5.535,2.187,0.6194,fate-a
cell201,1.401,0.013,0.0904,trunk
cell202,5.469,0.153,0.7091,fate-b
cell203,5.695,2.792,0.698,fate-a
cell204,7.859,2.775,0.8343,fate-a
cell205,5.262,2.19,0.5768,fate-a
cell206,3.272,1.175,0.3168,trunk
cell207,4.121,1.78,0.4549,fate-a
cell208,2.546,1.1,0.3055,trunk
cell209,7.513,3.089,0.9242,fate-a
cell210,1.723,0.743,0.1885,trunk
cell211,5.372,0.875,0.7008,fate-b
cell212,7.07,2.913,0.8742,fate-a
cell213,1.707,0.525,0.2117,trunk
cell214,6.164,2.495,0.6861,fate-a
cell215,6.503,0.394,0.7349,fate-b
cell216,5.995,0.734,0.731,fate-b
cell217,8.175,2.978,0.9653,fate-a
cell218,4.357,1.305,0.4765,fate-a
cell219,4.195,1.892,0.5032,fate-b
cell220,5.351,2.432,0.661,fate-a
cell221,3.016,1.026,0.287,trunk
cell222,4.601,1.535,0.5161,fate-b
cell223,2.412,1.084,0.3016,trunk
cell224,3.574,1.427,0.4274,fate-b
cell225,3.244,1.514,0.413,trunk
cell226,2.253,0.912,0.2603,trunk
cell227,6,2.864,0.6516,fate-a
cell228,3.908,1.635,0.4374,trunk
cell229,6.635,2.654,0.7499,fate-a
cell230,6.195,0.355,0.7621,fate-b
cell231,2.84,1.447,0.3969,fate-b
cell232,4.099,1.494,0.4081,trunk
cell233,4.42,2.194,0.56,fate-a
cell234,1.488,0.514,0.1913,trunk
cell235,8.462,-0.551,0.9372,fate-b
cell236,1.377,0.204,0.1191,trunk
cell237,2.082,0.912,0.3171,trunk
cell238,3.676,1.775,0.4095,trunk
cell239,6.14,2.752,0.6891,fate-a
cell240,3.9,1.695,0.4148,trunk
cell241,1.275,0.242,0.1508,trunk
cell242,3.86,1.415,0.4152,trunk
cell243,7.315,0.662,0.8059,fate-b
cell244,4.008,1.718,0.4657,fate-b
cell245,6.526,0.09,0.8174,fate-b
cell246,3.615,1.101,0.465,fate-b
cell247,6.567,0.117,0.8054,fate-b
cell248,0.404,0.448,0.0724,trunk
cell249,4.092,2.064,0.5309,fate-a
cell250,5.427,0.419,0.7402,fate-b
cell251,1.644,0.493,0.1563,trunk
cell252,1.559,0.481,0.1843,trunk
cell253,3.509,1.343,0.4078,trunk
cell254,3.486,0.652,0.4095,trunk
cell255,3.606,1.467,0.387,trunk
cell256,7.485,2.842,0.7963,fate-a
cell257,5.622,2.402,0.7032,fate-a
cell258,6.2,2.637,0.7721,fate-a
cell259,7.747,3.257,0.8864,fate-a
cell260,2.322,0.766,0.2692,trunk
cell261,1.43,0.659,0.1458,trunk
cell262,5.562,2.259,0.6657,fate-a
cell263,3.629,1.621,0.4083,trunk
cell264,2.478,1.461,0.2934,trunk
cell265,1.951,1.136,0.2134,trunk
cell266,6.225,2.934,0.7656,fate-a
cell267,4.947,2.349,0.645,fate-a
cell268,6.916,-0.407,0.8563,fate-b
cell269,7.766,2.66,0.8309,fate-a
cell270,6.775,3.229,0.8245,fate-a
cell271,6.624,0.431,0.7053,fate-b
cell272,6.16,2.469,0.7148,fate-a
cell273,6.1,3.239,0.7846,fate-a
cell274,5.54,2.909,0.7599,fate-a
cell275,6.42,2.459,0.7235,fate-a
cell276,8.007,-0.308,0.8746,fate-b
cell277,3.52,1.352,0.451,trunk
cell278,5.017,1.714,0.5634,trunk
cell279,6.612,2.608,0.7201,fate-a
cell280,2.216,0.727,0.2677,trunk
cell281,3.546,1.272,0.4423,trunk
cell282,0.732,0.653,0.1144,trunk
cell283,8.409,-1.891,0.99,fate-b
cell284,4.048,1.428,0.4994,trunk
cell285,7.715,-0.149,0.8464,fate-b
cell286,7.306,2.833,0.846,fate-a
cell287,6.016,0.451,0.7173,fate-b
cell288,5.605,2.393,0.6501,fate-a
cell289,4.357,1.373,0.5496,fate-b
cell290,5.679,2.1,0.6134,fate-a
cell291,4.559,2.379,0.5868,fate-a
cell292,1.296,0.596,0.1624,trunk
cell293,6.902,3.149,0.8774,fate-a
cell294,3.951,1.761,0.3705,trunk
cell295,3.782,1.141,0.4092,fate-a
cell296,6.461,3.061,0.8316,fate-a
cell297,1.112,0.295,0.1467,trunk
cell298,9.029,-1.166,0.9944,fate-b
cell299,5.979,0.454,0.7656,fate-b
cell300,7.115,-0.29,0.8597,fate-b
