cell,cluster,dim1,dim2,method
cell001,C1,-2.79,-1.382,UMAP
cell002,C1,-2.35,-2.412,UMAP
cell003,C1,-3.513,-2.15,UMAP
cell004,C1,-2.007,-1.881,UMAP
cell005,C1,-3.295,-2.042,UMAP
cell006,C1,-2.527,-1.649,UMAP
cell007,C1,-2.176,-0.828,UMAP
cell008,C1,-1.983,-1.637,UMAP
cell009,C1,-1.375,-1.484,UMAP
cell010,C1,-2.645,-1.607,UMAP
cell011,C1,-3.484,-1.399,UMAP
cell012,C1,-3.195,-2.385,UMAP
cell013,C1,-2.217,-1.134,UMAP
cell014,C1,-1.522,-0.071,UMAP
cell015,C1,-3.137,-2.227,UMAP
cell016,C1,-3.476,-1.938,UMAP
cell017,C1,-2.325,-1.1,UMAP
cell018,C1,-1.842,-1.446,UMAP
cell019,C1,-1.862,-1.751,UMAP
cell020,C1,-2.885,-2.117,UMAP
cell021,C1,-2.154,-1.933,UMAP
cell022,C1,-2.208,-2.6,UMAP
cell023,C1,-2.831,-1.598,UMAP
cell024,C1,-1.597,-1.722,UMAP
cell025,C1,-2.501,-1.001,UMAP
cell026,C1,-1.781,-1.504,UMAP
cell027,C1,-1.749,-2.169,UMAP
cell028,C1,-2.851,-1.533,UMAP
cell029,C1,-2.664,-1.785,UMAP
cell030,C1,-1.736,-1.605,UMAP
cell031,C1,-1.627,-1.126,UMAP
cell032,C1,-3.486,-1.481,UMAP
cell033,C1,-2.213,-1.558,UMAP
cell034,C1,-3.419,-1.636,UMAP
cell035,C1,-1.039,-1.869,UMAP
cell036,C1,-2.934,-1.779,UMAP
cell037,C1,-1.087,-1.292,UMAP
cell038,C1,-2.504,-1.049,UMAP
cell039,C1,-1.925,-1.004,UMAP
cell040,C1,-2.912,-2.332,UMAP
cell041,C1,-2.811,-1.562,UMAP
cell042,C1,-3.724,-1.85,UMAP
cell043,C1,-1.743,-1.983,UMAP
cell044,C1,-2.219,-1.696,UMAP
cell045,C1,-1.611,-1.282,UMAP
cell046,C1,-2.424,-1.462,UMAP
cell047,C1,-2.222,-1.23,UMAP
cell048,C1,-2.889,-1.83,UMAP
cell049,C1,-2.479,-2.096,UMAP
cell050,C1,-1.917,-1.625,UMAP
cell051,C1,-2.375,-2.082,UMAP
cell052,C1,-2.943,-1.947,UMAP
cell053,C1,-3.185,-1.198,UMAP
cell054,C1,-1.835,-1.754,UMAP
cell055,C2,1.874,-2.216,UMAP
cell056,C2,1.942,-3.213,UMAP
cell057,C2,2.463,-1.087,UMAP
cell058,C2,3.023,-0.308,UMAP
cell059,C2,2.059,-1.792,UMAP
cell060,C2,2.236,-1.668,UMAP
cell061,C2,1.008,-3.631,UMAP
cell062,C2,2.776,-1.836,UMAP
cell063,C2,3.741,-2.657,UMAP
cell064,C2,3.137,-1.207,UMAP
cell065,C2,2.122,-1.574,UMAP
cell066,C2,1.48,-1.041,UMAP
cell067,C2,2.033,-1.948,UMAP
cell068,C2,2.597,-2.784,UMAP
cell069,C2,1.27,-2.534,UMAP
cell070,C2,2.771,-2.006,UMAP
cell071,C2,2.185,-2.014,UMAP
cell072,C2,1.115,-2.336,UMAP
cell073,C2,2.285,-1.548,UMAP
cell074,C2,3.034,-0.863,UMAP
cell075,C2,2.511,-1.561,UMAP
cell076,C2,1.813,-4.069,UMAP
cell077,C2,1.434,-2.551,UMAP
cell078,C2,1.342,-1.825,UMAP
cell079,C2,1.668,-2.505,UMAP
cell080,C2,2.204,-2.63,UMAP
cell081,C2,1.648,-2.876,UMAP
cell082,C2,1.734,-4.016,UMAP
cell083,C2,2.45,-1.894,UMAP
cell084,C2,3.104,-2.278,UMAP
cell085,C2,2.915,-2.374,UMAP
cell086,C2,2.368,-1.616,UMAP
cell087,C2,2.975,-2.861,UMAP
cell088,C2,2.339,-1.404,UMAP
cell089,C2,3.851,-1.158,UMAP
cell090,C2,2.001,-2.389,UMAP
cell091,C2,2.613,-1.866,UMAP
cell092,C2,2.046,-1.336,UMAP
cell093,C2,2.678,-1.777,UMAP
cell094,C2,2.734,-2.808,UMAP
cell095,C2,0.755,-2.546,UMAP
cell096,C2,1.491,-2.16,UMAP
cell097,C2,2.42,-2.016,UMAP
cell098,C2,3.69,-1.62,UMAP
cell099,C2,1.996,-3.214,UMAP
cell100,C2,2.024,-1.832,UMAP
cell101,C3,-1.057,2.182,UMAP
cell102,C3,-0.654,4.497,UMAP
cell103,C3,-0.773,2.924,UMAP
cell104,C3,-1.671,2.169,UMAP
cell105,C3,-1.351,2.291,UMAP
cell106,C3,-0.977,3.77,UMAP
cell107,C3,-1.174,2.988,UMAP
cell108,C3,-0.855,2.771,UMAP
cell109,C3,-1.34,2.538,UMAP
cell110,C3,-0.727,3.352,UMAP
cell111,C3,-0.588,3.302,UMAP
cell112,C3,-0.446,3.443,UMAP
cell113,C3,-1.541,2.869,UMAP
cell114,C3,-1.387,2.825,UMAP
cell115,C3,-1.349,1.817,UMAP
cell116,C3,-2.149,2.747,UMAP
cell117,C3,-1.29,2.678,UMAP
cell118,C3,-2.126,1.854,UMAP
cell119,C3,-2.283,2.278,UMAP
cell120,C3,-0.463,5.286,UMAP
cell121,C3,-2.404,1.902,UMAP
cell122,C3,-1.066,3.082,UMAP
cell123,C3,-1.801,2.222,UMAP
cell124,C3,-1.741,1.808,UMAP
cell125,C3,-1.236,3.479,UMAP
cell126,C3,-0.535,2.913,UMAP
cell127,C3,-0.899,2.655,UMAP
cell128,C3,-2.156,2.433,UMAP
cell129,C3,-0.816,2.368,UMAP
cell130,C3,-1.638,1.855,UMAP
cell131,C3,-2.792,2.019,UMAP
cell132,C3,-0.137,3.633,UMAP
cell133,C3,-1.443,1.858,UMAP
cell134,C3,-1.592,2.15,UMAP
cell135,C3,-1.733,1.881,UMAP
cell136,C3,-1.129,2.541,UMAP
cell137,C3,-0.948,3.686,UMAP
cell138,C3,-0.411,2.532,UMAP
cell139,C4,3.244,1.502,UMAP
cell140,C4,3.554,1.942,UMAP
cell141,C4,4.209,1.003,UMAP
cell142,C4,3.302,1.72,UMAP
cell143,C4,4.296,0.476,UMAP
cell144,C4,3.76,1.637,UMAP
cell145,C4,3.416,2.836,UMAP
cell146,C4,3.465,1.463,UMAP
cell147,C4,2.98,1.822,UMAP
cell148,C4,3.024,1.813,UMAP
cell149,C4,2.839,1.661,UMAP
cell150,C4,3.604,1.398,UMAP
cell151,C4,3.026,2.211,UMAP
cell152,C4,3.011,1.862,UMAP
cell153,C4,2.938,2.41,UMAP
cell154,C4,3.868,1.918,UMAP
cell155,C4,3.527,0.628,UMAP
cell156,C4,3.334,2.355,UMAP
cell157,C4,3.377,1.172,UMAP
cell158,C4,3.426,2.319,UMAP
cell159,C4,3.554,1.651,UMAP
cell160,C4,3.506,2.357,UMAP
cell161,C4,3.124,0.832,UMAP
cell162,C4,3.44,2.289,UMAP
cell163,C4,3.015,0.559,UMAP
cell164,C4,3.964,0.972,UMAP
cell165,C4,3.144,2.269,UMAP
cell166,C4,3.978,0.533,UMAP
cell167,C4,3.434,3.139,UMAP
cell168,C4,3.636,1.403,UMAP
cell169,C4,3.579,1.86,UMAP
cell170,C4,2.918,1.033,UMAP
cell171,C4,3.405,2.309,UMAP
cell172,C4,4.02,1.159,UMAP
cell173,C4,3.397,1.723,UMAP
cell174,C4,3.445,0.257,UMAP
cell175,C5,0.173,-0.197,UMAP
cell176,C5,1.156,-0.082,UMAP
cell177,C5,0.688,0.464,UMAP
cell178,C5,-1.439,0.178,UMAP
cell179,C5,-0.223,-0.236,UMAP
cell180,C5,0.268,-0.691,UMAP
cell181,C5,-0.098,-0.455,UMAP
cell182,C5,1.55,-0.383,UMAP
cell183,C5,-0.144,-0.244,UMAP
cell184,C5,0.699,-0.039,UMAP
cell185,C5,-0.28,0.576,UMAP
cell186,C5,0.325,0.043,UMAP
cell187,C5,0.382,-0.096,UMAP
cell188,C5,0.903,-0.498,UMAP
cell189,C5,0.007,0.036,UMAP
cell190,C5,0.318,-0.017,UMAP
cell191,C5,0.865,0.581,UMAP
cell192,C5,-0.368,0.823,UMAP
cell193,C5,0.62,0.951,UMAP
cell194,C5,1.414,0.401,UMAP
cell195,C5,-0.015,-0.353,UMAP
cell196,C5,0.705,0.437,UMAP
cell197,C5,-0.202,0.101,UMAP
cell198,C5,-0.115,1.346,UMAP
cell199,C5,-0.516,0.47,UMAP
cell200,C5,-0.015,0.689,UMAP
cell001,C1,-16.082,4.817,t-SNE
cell002,C1,-19.608,3.003,t-SNE
cell003,C1,-18.804,6.242,t-SNE
cell004,C1,-20.964,7.653,t-SNE
cell005,C1,-21.129,2.869,t-SNE
cell006,C1,-26.373,10.942,t-SNE
cell007,C1,-15.874,5.053,t-SNE
cell008,C1,-17.099,6.712,t-SNE
cell009,C1,-17.56,3.583,t-SNE
cell010,C1,-20.148,7.074,t-SNE
cell011,C1,-19.669,7.314,t-SNE
cell012,C1,-19.721,4.852,t-SNE
cell013,C1,-8.781,6.238,t-SNE
cell014,C1,-19.089,13.864,t-SNE
cell015,C1,-19.762,9.735,t-SNE
cell016,C1,-17.837,6.445,t-SNE
cell017,C1,-17.329,8.09,t-SNE
cell018,C1,-23.209,3.733,t-SNE
cell019,C1,-14.042,1.277,t-SNE
cell020,C1,-14.322,5.946,t-SNE
cell021,C1,-14.726,3.066,t-SNE
cell022,C1,-19.273,4.862,t-SNE
cell023,C1,-16.933,4.364,t-SNE
cell024,C1,-17.678,6.822,t-SNE
cell025,C1,-19.996,7.923,t-SNE
cell026,C1,-21.13,11.566,t-SNE
cell027,C1,-19.316,7.883,t-SNE
cell028,C1,-17.942,1.525,t-SNE
cell029,C1,-15.34,3.56,t-SNE
cell030,C1,-15.512,5.523,t-SNE
cell031,C1,-15.648,5.039,t-SNE
cell032,C1,-20.894,3.542,t-SNE
cell033,C1,-22.209,9.025,t-SNE
cell034,C1,-20.748,9.177,t-SNE
cell035,C1,-15.458,6.614,t-SNE
cell036,C1,-17.788,10.244,t-SNE
cell037,C1,-16.522,4.035,t-SNE
cell038,C1,-21.318,6.325,t-SNE
cell039,C1,-15.826,4.894,t-SNE
cell040,C1,-22.546,6.798,t-SNE
cell041,C1,-16.815,8.72,t-SNE
cell042,C1,-19.175,4.236,t-SNE
cell043,C1,-18.148,1.033,t-SNE
cell044,C1,-14.686,4.638,t-SNE
cell045,C1,-17.117,8.473,t-SNE
cell046,C1,-19.413,7.979,t-SNE
cell047,C1,-20.645,6.846,t-SNE
cell048,C1,-12.23,5.514,t-SNE
cell049,C1,-17.627,7.452,t-SNE
cell050,C1,-15.244,4.837,t-SNE
cell051,C1,-19.199,1.562,t-SNE
cell052,C1,-13.893,7.011,t-SNE
cell053,C1,-14.554,7.866,t-SNE
cell054,C1,-18.54,5.342,t-SNE
cell055,C2,12.358,18.933,t-SNE
cell056,C2,18.615,10.828,t-SNE
cell057,C2,16.416,16.799,t-SNE
cell058,C2,17.943,22.522,t-SNE
cell059,C2,10.791,21.276,t-SNE
cell060,C2,15.31,14.981,t-SNE
cell061,C2,12.83,19.524,t-SNE
cell062,C2,14.454,15.45,t-SNE
cell063,C2,9.912,19.155,t-SNE
cell064,C2,20.507,13.804,t-SNE
cell065,C2,20.458,14.622,t-SNE
cell066,C2,12.13,14.973,t-SNE
cell067,C2,18.281,12.836,t-SNE
cell068,C2,14.898,18.49,t-SNE
cell069,C2,9.455,17.516,t-SNE
cell070,C2,17.28,12.704,t-SNE
cell071,C2,10.044,19.157,t-SNE
cell072,C2,18.349,17.874,t-SNE
cell073,C2,10.569,16.005,t-SNE
cell074,C2,16.554,18.433,t-SNE
cell075,C2,14.822,15.782,t-SNE
cell076,C2,13.375,15.203,t-SNE
cell077,C2,14.023,16.025,t-SNE
cell078,C2,17.981,10.296,t-SNE
cell079,C2,7.408,19.981,t-SNE
cell080,C2,12.17,14.609,t-SNE
cell081,C2,20.433,6.401,t-SNE
cell082,C2,13.302,16.241,t-SNE
cell083,C2,13.478,12.246,t-SNE
cell084,C2,12.82,18.021,t-SNE
cell085,C2,11.599,15.373,t-SNE
cell086,C2,10.859,15.678,t-SNE
cell087,C2,14.096,13.968,t-SNE
cell088,C2,14.744,10.394,t-SNE
cell089,C2,12.531,14.88,t-SNE
cell090,C2,7.377,15.849,t-SNE
cell091,C2,16.987,11.453,t-SNE
cell092,C2,12.487,15.376,t-SNE
cell093,C2,11.031,13.664,t-SNE
cell094,C2,15.529,8.877,t-SNE
cell095,C2,13.906,14.132,t-SNE
cell096,C2,14.363,11.097,t-SNE
cell097,C2,9.328,19.519,t-SNE
cell098,C2,11.439,18.198,t-SNE
cell099,C2,15.867,16.507,t-SNE
cell100,C2,25.207,11.529,t-SNE
cell101,C3,-10.645,-17.412,t-SNE
cell102,C3,-7.814,-17.833,t-SNE
cell103,C3,-6.168,-21.137,t-SNE
cell104,C3,-0.774,-14.974,t-SNE
cell105,C3,-13.756,-15.934,t-SNE
cell106,C3,-10.172,-18.314,t-SNE
cell107,C3,-8.439,-15.576,t-SNE
cell108,C3,-6.113,-16.137,t-SNE
cell109,C3,-1.818,-10.031,t-SNE
cell110,C3,-6.468,-15.642,t-SNE
cell111,C3,0.158,-10.29,t-SNE
cell112,C3,-12.004,-16.962,t-SNE
cell113,C3,-16.161,-18.866,t-SNE
cell114,C3,-8.432,-14.525,t-SNE
cell115,C3,-5.814,-19.347,t-SNE
cell116,C3,-7.408,-20.687,t-SNE
cell117,C3,-10.024,-15.722,t-SNE
cell118,C3,-5.446,-18.933,t-SNE
cell119,C3,-8.873,-16.623,t-SNE
cell120,C3,-4.088,-12.883,t-SNE
cell121,C3,-5.326,-19.109,t-SNE
cell122,C3,-6.915,-17.102,t-SNE
cell123,C3,-7.24,-15.596,t-SNE
cell124,C3,-7.388,-22.333,t-SNE
cell125,C3,-5.513,-13.59,t-SNE
cell126,C3,-5.61,-14.92,t-SNE
cell127,C3,-6.97,-16.137,t-SNE
cell128,C3,-12.087,-17.58,t-SNE
cell129,C3,-7.34,-17.766,t-SNE
cell130,C3,-7.562,-15.951,t-SNE
cell131,C3,-2.012,-18.919,t-SNE
cell132,C3,-7.633,-17.956,t-SNE
cell133,C3,-8.312,-17.254,t-SNE
cell134,C3,-4.659,-18.679,t-SNE
cell135,C3,-15.91,-18.08,t-SNE
cell136,C3,-7.037,-20.187,t-SNE
cell137,C3,-4.699,-17.863,t-SNE
cell138,C3,-16.709,-17.917,t-SNE
cell139,C4,19.127,-6.848,t-SNE
cell140,C4,20.066,-7.279,t-SNE
cell141,C4,13.349,-11.663,t-SNE
cell142,C4,20.253,-12.547,t-SNE
cell143,C4,22.209,-11.302,t-SNE
cell144,C4,19.182,-6.931,t-SNE
cell145,C4,21.373,-7.83,t-SNE
cell146,C4,18.666,-10.352,t-SNE
cell147,C4,18.664,-9.634,t-SNE
cell148,C4,16.536,-5.266,t-SNE
cell149,C4,17.871,-11.462,t-SNE
cell150,C4,24.158,-4.74,t-SNE
cell151,C4,19.258,-10.129,t-SNE
cell152,C4,18.116,-10.934,t-SNE
cell153,C4,16.292,-12.242,t-SNE
cell154,C4,20.516,-6.86,t-SNE
cell155,C4,18.295,-6.079,t-SNE
cell156,C4,19.334,-10.767,t-SNE
cell157,C4,18.993,-6.941,t-SNE
cell158,C4,20.609,-7.825,t-SNE
cell159,C4,13.863,-13.685,t-SNE
cell160,C4,21.864,-12.41,t-SNE
cell161,C4,20.877,-4.039,t-SNE
cell162,C4,20.476,-6.798,t-SNE
cell163,C4,21.756,-6.935,t-SNE
cell164,C4,17.71,-5.376,t-SNE
cell165,C4,24.108,-8.394,t-SNE
cell166,C4,17.191,-7.598,t-SNE
cell167,C4,20.193,-2.325,t-SNE
cell168,C4,21.099,-6.002,t-SNE
cell169,C4,21.164,-6.778,t-SNE
cell170,C4,19.785,-12.344,t-SNE
cell171,C4,20.492,-7.82,t-SNE
cell172,C4,17.449,-8.693,t-SNE
cell173,C4,18.519,-7.908,t-SNE
cell174,C4,22.465,-4.416,t-SNE
cell175,C5,1.562,4.482,t-SNE
cell176,C5,6.586,6.518,t-SNE
cell177,C5,5.22,0.672,t-SNE
cell178,C5,0.935,6.137,t-SNE
cell179,C5,-0.319,4.648,t-SNE
cell180,C5,2.776,3.192,t-SNE
cell181,C5,1.768,3.168,t-SNE
cell182,C5,2.279,3.873,t-SNE
cell183,C5,4.058,4.228,t-SNE
cell184,C5,0.253,-1.738,t-SNE
cell185,C5,6.24,6.82,t-SNE
cell186,C5,2.608,5.766,t-SNE
cell187,C5,-1.331,4.001,t-SNE
cell188,C5,4.768,4.577,t-SNE
cell189,C5,0.261,-0.629,t-SNE
cell190,C5,1.818,4.722,t-SNE
cell191,C5,1.63,1.823,t-SNE
cell192,C5,-1.223,1.104,t-SNE
cell193,C5,4.245,6.164,t-SNE
cell194,C5,4.399,-1.161,t-SNE
cell195,C5,2.143,1.318,t-SNE
cell196,C5,6.072,-0.584,t-SNE
