"sample","group","value"
"S001","Ctrl",0.862346729984363
"S002","Ctrl",1.21788194872179
"S003","Ctrl",0.916851170561409
"S004","Ctrl",1.54536654226624
"S005","Ctrl",1.52402880909138
"S006","Ctrl",0.950804781860138
"S007","Ctrl",1.28735099698872
"S008","Ctrl",1.38066951227906
"S009","Ctrl",1.69379941488111
"S010","Ctrl",1.22897251052294
"S011","Ctrl",1.387022413934
"S012","Ctrl",1.85423604647907
"S013","Ctrl",0.53413893419121
"S014","Ctrl",1.03064951176338
"S015","Ctrl",1.08279538077493
"S016","Ctrl",0.855623880243991
"S017","Ctrl",1.16996925832735
"S018","Ctrl",1.32924408305241
"S019","Ctrl",1.02240440440072
"S020","Ctrl",1.2841364145122
"S021","Ctrl",1.01897492664149
"S022","Ctrl",0.899780511207289
"S023","Ctrl",1.1463741032205
"S024","Ctrl",1.66879428171455
"S025","Ctrl",1.04073451866805
"S026","Ctrl",0.874092813519608
"S027","Ctrl",1.02325321568175
"S028","Ctrl",1.29214615465722
"S029","Ctrl",0.7060522059445
"S030","Ctrl",1.38554952422879
"S031","Dose1",1.17837253460106
"S032","Dose1",1.56074479755001
"S033","Dose1",1.26715031745218
"S034","Dose1",1.28392291711313
"S035","Dose1",1.82905489616312
"S036","Dose1",0.49340842374053
"S037","Dose1",2.17957896213956
"S038","Dose1",1.33517171425478
"S039","Dose1",1.19401870236427
"S040","Dose1",2.24549188218748
"S041","Dose1",1.73391666210984
"S042","Dose1",1.70826354533888
"S043","Dose1",0.940111842957327
"S044","Dose1",1.4086986225505
"S045","Dose1",2.00954834268824
"S046","Dose1",1.31369086882861
"S047","Dose1",1.93791083090957
"S048","Dose1",0.639379373977673
"S049","Dose1",1.51552854532066
"S050","Dose1",1.18505612471443
"S051","Dose1",1.73705518426505
"S052","Dose1",1.3747931662295
"S053","Dose1",1.20734690011522
"S054","Dose1",1.61759380708283
"S055","Dose1",1.68363181968553
"S056","Dose1",1.26714549642856
"S057","Dose1",1.69223033126669
"S058","Dose1",1.25996004998906
"S059","Dose1",1.66561079993052
"S060","Dose1",1.20727262817759
"S061","Dose2",2.66485457918679
"S062","Dose2",2.77237062882324
"S063","Dose2",3.35219765697791
"S064","Dose2",2.34112248146577
"S065","Dose2",2.61370508089062
"S066","Dose2",3.36683852581905
"S067","Dose2",3.04772415545947
"S068","Dose2",2.67186328089049
"S069","Dose2",2.58214946665347
"S070","Dose2",2.55544954892914
"S071","Dose2",2.39061540720516
"S072","Dose2",2.29556696275543
"S073","Dose2",2.73175614948344
"S074","Dose2",2.43400483595038
"S075","Dose2",2.20706895923989
"S076","Dose2",2.32894173159003
"S077","Dose2",2.36156155105292
"S078","Dose2",2.08968455803144
"S079","Dose2",2.74021093072446
"S080","Dose2",2.11620784837226
"S081","Dose2",2.74561552539389
"S082","Dose2",2.6706118521726
"S083","Dose2",2.16170963173402
"S084","Dose2",2.37324464178496
"S085","Dose2",2.7779033559402
"S086","Dose2",1.80950384508261
"S087","Dose2",2.07981233498933
"S088","Dose2",2.20934009950833
"S089","Dose2",2.57003104616017
"S090","Dose2",2.69853509471108
"S091","Dose3",2.15559991100265
"S092","Dose3",2.88746883740549
"S093","Dose3",3.24659456295333
"S094","Dose3",3.04649775928355
"S095","Dose3",3.05316553694904
"S096","Dose3",2.64652703167709
"S097","Dose3",3.14516845123806
"S098","Dose3",3.20968557806042
"S099","Dose3",2.39217158649337
"S100","Dose3",3.05360282636994
"S101","Dose3",1.36948538638805
"S102","Dose3",4.02217121556493
"S103","Dose3",3.07458623277625
"S104","Dose3",3.59902843842129
"S105","Dose3",3.95918966094124
"S106","Dose3",3.48048525111398
"S107","Dose3",2.71926065604075
"S108","Dose3",2.61748375046537
"S109","Dose3",3.00846560370219
"S110","Dose3",2.7405719354558
"S111","Dose3",3.52171708185324
"S112","Dose3",3.46823089069755
"S113","Dose3",3.31300861316709
"S114","Dose3",2.90771032319504
"S115","Dose3",3.18738959176698
"S116","Dose3",2.90395289088385
"S117","Dose3",2.84405317746458
"S118","Dose3",2.75115670003928
"S119","Dose3",2.06895325534744
"S120","Dose3",1.82831726131033
