"sample","group","value"
"C01","Ctrl",2.6258025478016
"C02","Ctrl",1.81282676801364
"C03","Ctrl",2.20251393276168
"C04","Ctrl",2.31580229408364
"C05","Ctrl",2.21979269571922
"C06","Ctrl",2.00542770324158
"C07","Ctrl",2.68483923892435
"C08","Ctrl",2.0102432038665
"C09","Ctrl",2.89773795982836
"C10","Ctrl",2.02366007839798
"C11","Ctrl",2.59804525477386
"C12","Ctrl",3.01039106493446
"C13","Ctrl",1.46667850553282
"C14","Ctrl",1.9329087179367
"C15","Ctrl",1.99400503871466
"C16","Ctrl",2.31709916718943
"C17","Ctrl",1.93061377300525
"C18","Ctrl",0.934288723219994
"C19","Ctrl",1.02500388999828
"C20","Ctrl",2.60444760520668
"C21","Ctrl",1.92121179048704
"C22","Ctrl",1.3018504577284
"C23","Ctrl",1.97779471058096
"C24","Ctrl",2.56016337365249
"C25","Ctrl",2.84598125373128
"C26","Ctrl",1.8692029647254
"C27","Ctrl",1.94194685923705
"C28","Ctrl",1.30947150421819
"C29","Ctrl",2.24324088902913
"C30","Ctrl",1.78120215209675
"C31","Ctrl",2.24128905176131
"C32","Ctrl",2.3460316816361
"C33","Ctrl",2.48474347922737
"C34","Ctrl",1.79425092232897
"C35","Ctrl",2.26208115178515
"C36","Ctrl",1.3288563547892
"C37","Ctrl",1.72052721648061
"C38","Ctrl",1.69261881044586
"L01","Low",1.22218579252935
"L02","Low",2.56986743379074
"L03","Low",2.66329923011014
"L04","Low",2.35141848579823
"L05","Low",2.96698977963473
"L06","Low",2.15031234510788
"L07","Low",1.79744542556939
"L08","Low",2.78804991423879
"L09","Low",2.10373375309733
"L10","Low",3.34425569394669
"L11","Low",2.31270458856266
"L12","Low",2.91060633587121
"L13","Low",2.72705889586217
"L14","Low",2.11888858251579
"L15","Low",3.41665013588559
"L16","Low",2.90359461814452
"L17","Low",2.59936835562978
"L18","Low",2.7021029110103
"L19","Low",2.9236088488304
"L20","Low",2.59940808761849
"L21","Low",0.903800454265886
"L22","Low",2.70668562444186
"L23","Low",2.34802094649246
"L24","Low",2.65187681067609
"L25","Low",2.87000305005103
"L26","Low",3.31985525501097
"L27","Low",2.14998936728904
"L28","Low",3.26639844762428
"L29","Low",2.73471646586364
"L30","Low",3.12117835428369
"L31","Low",3.05640071255986
"L32","Low",2.94648298957677
"L33","Low",1.97628458378768
"L34","Low",2.50039748736411
"L35","Low",2.89293498909975
"L36","Low",2.02556215322521
"L37","Low",2.25144415198438
"L38","Low",2.86954807372493
"M01","Mid",3.82627081745745
"M02","Mid",3.6375359048949
"M03","Mid",2.800818695606
"M04","Mid",2.66813584283833
"M05","Mid",4.28787834607906
"M06","Mid",3.50991129126986
"M07","Mid",3.40483294207894
"M08","Mid",3.27504414672576
"M09","Mid",3.32516218980856
"M10","Mid",4.11796302039998
"M11","Mid",3.21537329563716
"M12","Mid",3.79913205745462
"M13","Mid",3.92867472371412
"M14","Mid",3.85949932851511
"M15","Mid",4.21311215307925
"M16","Mid",3.0547721677061
"M17","Mid",3.75321610765031
"M18","Mid",4.2124884829618
"M19","Mid",2.6613108947423
"M20","Mid",2.81630859613574
"M21","Mid",2.64832201787066
"M22","Mid",2.44528732030851
"M23","Mid",3.39958918300952
"M24","Mid",4.42886922676881
"M25","Mid",4.09459853287107
"M26","Mid",3.99774567404399
"M27","Mid",2.72801063895929
"M28","Mid",4.4960587790371
"M29","Mid",2.93660048657015
"M30","Mid",4.14804645281959
"M31","Mid",3.08820135324131
"M32","Mid",3.27414289338792
"M33","Mid",3.46667968139093
"M34","Mid",3.42387979395814
"M35","Mid",3.42866831299422
"M36","Mid",3.41700509132406
"M37","Mid",3.04903015377507
"H01","High",4.36662897460848
"H02","High",4.31716145148218
"H03","High",3.76541502106635
"H04","High",4.44867698037335
"H05","High",3.48324852288015
"H06","High",4.47388821508446
"H07","High",5.6387829463741
"H08","High",4.83477106972239
"H09","High",4.01706879239252
"H10","High",4.65735521745143
"H11","High",5.8618063489359
"H12","High",4.64819197199769
"H13","High",4.97447431996809
"H14","High",6.13629086890806
"H15","High",4.84594593204228
"H16","High",5.70836628910411
"H17","High",4.30836931443337
"H18","High",4.37658680750973
"H19","High",3.82023961534204
"H20","High",5.98195945681617
"H21","High",3.8357760334653
"H22","High",5.36715126993168
"H23","High",4.64747363769669
"H24","High",4.29227008515397
"H25","High",5.33694920133572
"H26","High",5.95664388928641
"H27","High",3.74430792071966
"H28","High",4.74352661445558
"H29","High",4.18169856623693
"H30","High",4.68376883286181
"H31","High",5.62551167301799
"H32","High",3.69528156073231
"H33","High",4.72323487190692
"H34","High",4.55647412694297
"H35","High",3.83388702716314
"H36","High",4.2603244720577
"H37","High",4.49699827117717
