"sample","group","facet","value"
"S001","Control","Adjacent",-0.110632202695039
"S002","Control","Adjacent",0.0842073246835829
"S003","Control","Adjacent",0.792534384534585
"S004","Control","Adjacent",0.244751604000386
"S005","Control","Adjacent",-0.61184447079216
"S006","Control","Adjacent",0.58018053315526
"S007","Control","Adjacent",0.499325738832011
"S008","Control","Adjacent",-0.409045305665192
"S009","Control","Adjacent",-0.313097039751446
"S010","Control","Adjacent",-0.655359337995968
"S011","Control","Adjacent",-0.949709030940627
"S012","Control","Adjacent",0.445347899052909
"S013","Control","Adjacent",-1.14248544717767
"S014","Control","Adjacent",0.0616862812141902
"S015","Control","Adjacent",-0.100849568747515
"S016","Control","Adjacent",-0.495961532673146
"S017","Control","Adjacent",-0.0953430541391691
"S018","Control","Adjacent",0.870218914988231
"S019","Control","Adjacent",0.617753550346107
"S020","Control","Adjacent",0.237194813464799
"S021","Control","Adjacent",0.386758963532571
"S022","Control","Adjacent",-0.726859035547259
"S023","Control","Adjacent",0.556959656224726
"S024","Control","Adjacent",-0.252291631131833
"S025","Control","Adjacent",-0.170627004855615
"S026","Control","Adjacent",0.441569804903116
"S027","Control","Adjacent",-0.300559859527473
"S028","Control","Adjacent",-0.773036063084495
"S029","Control","Adjacent",-0.61644615541393
"S030","Control","Adjacent",-0.683736121152019
"S031","Control","Adjacent",-1.14421821795438
"S032","Control","Adjacent",0.0595938496160841
"S033","Control","Adjacent",0.283971156531833
"S034","Control","Adjacent",0.614264066840979
"S035","Control","Adjacent",0.184048367901753
"S036","Control","Adjacent",-0.672401654353177
"S037","Control","Adjacent",0.699323820408494
"S038","Control","Adjacent",0.106763378963369
"S039","Control","Adjacent",0.327378045181296
"S040","Control","Adjacent",0.37566378139377
"S041","Control","Adjacent",0.0247021976064538
"S042","Control","Adjacent",-0.240215138427841
"S043","Control","Adjacent",0.399542425611894
"S044","Control","Adjacent",0.358812666598941
"S045","Control","Adjacent",0.317882720992533
"S046","Treated","Adjacent",1.04735768435995
"S047","Treated","Adjacent",1.11325364655701
"S048","Treated","Adjacent",0.956921117952426
"S049","Treated","Adjacent",0.0100369698820186
"S050","Treated","Adjacent",1.59257812462714
"S051","Treated","Adjacent",0.340658979068771
"S052","Treated","Adjacent",0.667416195682169
"S053","Treated","Adjacent",0.489801421387215
"S054","Treated","Adjacent",0.265160542147492
"S055","Treated","Adjacent",1.08799415788049
"S056","Treated","Adjacent",1.09474133656971
"S057","Treated","Adjacent",1.11084549870787
"S058","Treated","Adjacent",1.67356186131036
"S059","Treated","Adjacent",1.64206470396698
"S060","Treated","Adjacent",1.22632434653748
"S061","Treated","Adjacent",1.13074309654608
"S062","Treated","Adjacent",0.974095272058448
"S063","Treated","Adjacent",0.643673012443868
"S064","Treated","Adjacent",0.672234098558373
"S065","Treated","Adjacent",1.58175078971647
"S066","Treated","Adjacent",2.51127264689042
"S067","Treated","Adjacent",1.25654137513892
"S068","Treated","Adjacent",0.584440547719068
"S069","Treated","Adjacent",1.06821716503324
"S070","Treated","Adjacent",1.19308883751673
"S071","Treated","Adjacent",1.17832835684159
"S072","Treated","Adjacent",1.52390096340909
"S073","Treated","Adjacent",0.741447284897852
"S074","Treated","Adjacent",1.11433311699764
"S075","Treated","Adjacent",0.324558279618248
"S076","Treated","Adjacent",0.150025760176194
"S077","Treated","Adjacent",0.798023837726656
