"term","ontology","fold","p","count"
"inflammatory response","BP",2.95487606942517,0.0208117839329102,64
"cell cycle","BP",1.41230264722773,0.241892680841475,25
"apoptotic process","BP",1.15,0.0714213446953652,41
"immune response","BP",2.72334990240113,0.0180567383215148,60
"DNA repair","BP",2.00346589392623,0.157484481470377,35
"kinase activity","MF",3.38083475581044,0.0139398182941752,76
"DNA binding","MF",3.06181572911303,0.0853073901468898,63
"receptor binding","MF",2.49435142878223,0.149869282411699,65
"oxidoreductase activity","MF",2.72447927492097,0.0185348083270897,62
"TF binding","MF",4.14119146109816,0.0221883502440246,87
"nucleus","CC",4.53385356483995,0.00173109555728416,97
"extracellular region","CC",8.96075913051905,0.000189291091908057,167
"mitochondrion","CC",1.15,0.751628791632038,29
"plasma membrane","CC",2.14331791450531,0.485067784236009,44
"cytosol","CC",3.02918902464955,0.0410962555444449,50
