"term","ontology","ratio","count","p"
"response to cytokine","BP",0.0468352961550122,16,0.0370748208447543
"leukocyte activation","BP",0.33663269095146,67,0.000278841186830264
"mitotic cell cycle","BP",0.351054879337577,62,0.000234937237087596
"DNA replication","BP",0.0795437982045128,30,0.00426996914298024
"regulation of apoptosis","BP",0.42,75,0.000201573693734378
"vesicle transport","BP",0.326242932129196,54,0.0013242605988138
"protein phosphorylation","BP",0.319291124209767,51,0.000280882965929661
"RNA splicing","MF",0.0378825975781215,12,0.00516175233609851
"chromatin organization","MF",0.277864058939212,45,0.000965457692773816
"oxidative phosphorylation","MF",0.216214855489913,47,0.00075402242812376
"GTPase activity","MF",0.0878716423085752,24,0.00137818528518762
"transcription regulator activity","MF",0.307552198839115,42,0.000282718549910725
"calcium ion binding","MF",0.300601713853883,56,0.000301700796809077
"structural constituent of ribosome","CC",0.063316747428193,21,0.0112852802120375
"ATP binding","CC",0.03,7,0.0289114980744137
"endoplasmic reticulum","CC",0.279306189296686,60,0.000177504421656818
"Golgi apparatus","CC",0.355112015307599,67,8.55738567296873e-05
"lysosome","CC",0.238717353453279,51,0.00436773570938411
"cell junction","CC",0.102621280912226,29,0.00489620567806
"cytosolic ribosome","CC",0.03,6,0.00722355973555868
