"set","rank","es","hit","metric"
"Interferon response",1,-0.00218340611353712,0,2.5509356129574
"Interferon response",2,0.0448785456488506,1,2.53519453967277
"Interferon response",3,0.0426951395353135,0,2.4677030246899
"Interferon response",4,0.0405117334217764,0,2.4536798973936
"Interferon response",5,0.0383283273082393,0,2.43013155158731
"Interferon response",6,0.0361449211947022,0,2.40905771864146
"Interferon response",7,0.033961515081165,0,2.39795056919246
"Interferon response",8,0.0317781089676279,0,2.39248704798649
"Interferon response",9,0.0295947028540908,0,2.3608797638854
"Interferon response",10,0.0731720393835592,1,2.34748074582162
"Interferon response",11,0.0709886332700221,0,2.34423684893351
"Interferon response",12,0.068805227156485,0,2.33482670059735
"Interferon response",13,0.111993620204628,1,2.32652863157283
"Interferon response",14,0.109810214091091,0,2.32485143990085
"Interferon response",15,0.107626807977554,0,2.28530530252663
"Interferon response",16,0.149940840184957,1,2.27942742250395
"Interferon response",17,0.14775743407142,0,2.26240907867211
"Interferon response",18,0.145574027957882,0,2.26107652325282
"Interferon response",19,0.143390621844345,0,2.24667691019093
"Interferon response",20,0.141207215730808,0,2.24633339832409
"Interferon response",21,0.139023809617271,0,2.23139762882635
"Interferon response",22,0.136840403503734,0,2.18971437939238
"Interferon response",23,0.134656997390197,0,2.18896609627377
"Interferon response",24,0.13247359127666,0,2.1880777617207
"Interferon response",25,0.130290185163123,0,2.16536061980211
"Interferon response",26,0.128106779049585,0,2.15978836785008
"Interferon response",27,0.125923372936048,0,2.14943844765067
"Interferon response",28,0.123739966822511,0,2.14735778906677
"Interferon response",29,0.121556560708974,0,2.1470014052291
"Interferon response",30,0.119373154595437,0,2.13015993457395
"Interferon response",31,0.1171897484819,0,2.12497486627366
"Interferon response",32,0.156537107147683,1,2.1196147865623
"Interferon response",33,0.19579471385011,1,2.11477991085264
"Interferon response",34,0.193611307736572,0,2.11331159051858
"Interferon response",35,0.191427901623035,0,2.11072662988014
"Interferon response",36,0.189244495509498,0,2.10785764587914
"Interferon response",37,0.228296982754241,1,2.10373026863368
"Interferon response",38,0.226113576640704,0,2.0920381828799
"Interferon response",39,0.223930170527167,0,2.06391822498379
"Interferon response",40,0.22174676441363,0,2.0598557381544
"Interferon response",41,0.219563358300093,0,2.03202195457685
"Interferon response",42,0.217379952186556,0,2.02366919444397
"Interferon response",43,0.215196546073019,0,2.02163438228569
"Interferon response",44,0.213013139959481,0,2.01754650462517
"Interferon response",45,0.250301866345559,1,2.00871770050319
"Interferon response",46,0.248118460232022,0,2.00850174682704
"Interferon response",47,0.245935054118485,0,2.0048700252743
"Interferon response",48,0.283134513169031,1,2.00390893135666
"Interferon response",49,0.320132042950844,1,1.99303114239294
"Interferon response",50,0.317948636837306,0,1.99222105731608
"Interferon response",51,0.315765230723769,0,1.9788797702685
