"track","pos","value"
"Depth",10002000,39
"Depth",10006000,40.83
"Depth",10010000,35
"Depth",10014000,37.15
"Depth",10018000,39.04
"Depth",10022000,33.53
"Depth",10026000,38.03
"Depth",10030000,39.3
"Depth",10034000,34.86
"Depth",10038000,36.23
"Depth",10042000,35.8
"Depth",10046000,39.05
"Depth",10050000,41.36
"Depth",10054000,40.93
"Depth",10058000,42.89
"Depth",10062000,41.38
"Depth",10066000,42.2
"Depth",10070000,42.45
"Depth",10074000,41.36
"Depth",10078000,39.33
"Depth",10082000,36.52
"Depth",10086000,43.36
"Depth",10090000,42.22
"Depth",10094000,40.86
"Depth",10098000,37.04
"Depth",10102000,40.38
"Depth",10106000,41.95
"Depth",10110000,35.16
"Depth",10114000,43.24
"Depth",10118000,41.66
"Depth",10122000,43.01
"Depth",10126000,41.66
"Depth",10130000,39.11
"Depth",10134000,34.23
"Depth",10138000,38.17
"Depth",10142000,38.34
"Depth",10146000,42.38
"Depth",10150000,42.66
"Depth",10154000,34.64
"Depth",10158000,31.66
"Depth",10162000,43.68
"Depth",10166000,37.11
"Depth",10170000,39.78
"Depth",10174000,44.6
"Depth",10178000,37.77
"Depth",10182000,38.59
"Depth",10186000,37.22
"Depth",10190000,35.63
"Depth",10194000,40.73
"Depth",10198000,42.36
"Depth",10202000,38.7
"Depth",10206000,41.81
"Depth",10210000,38.84
"Depth",10214000,40.08
"Depth",10218000,34.65
"Depth",10222000,38.69
"Depth",10226000,41.62
"Depth",10230000,43.49
"Depth",10234000,44.08
"Depth",10238000,41
"Depth",10242000,38.49
"Depth",10246000,45.57
"Depth",10250000,40.17
"Depth",10254000,37.68
"Depth",10258000,41.64
"Depth",10262000,37.94
"Depth",10266000,38.9
"Depth",10270000,38.53
"Depth",10274000,39.39
"Depth",10278000,36.94
"Depth",10282000,37.79
"Depth",10286000,45.52
"Depth",10290000,38.02
"Depth",10294000,38.05
"Depth",10298000,41.17
"Depth",10302000,41.34
"Depth",10306000,41.91
"Depth",10310000,36.26
"Depth",10314000,41.52
"Depth",10318000,44.59
"Depth",10322000,38.6
"Depth",10326000,41.91
"Depth",10330000,38.86
"Depth",10334000,41.54
"Depth",10338000,46.95
"Depth",10342000,39.86
"Depth",10346000,35.55
"Depth",10350000,41.7
"Depth",10354000,37.9
"Depth",10358000,37.72
"Depth",10362000,42.98
"Depth",10366000,39.76
"Depth",10370000,41.64
"Depth",10374000,40.43
"Depth",10378000,41.51
"Depth",10382000,40.95
"Depth",10386000,43.86
"Depth",10390000,41.21
"Depth",10394000,38.11
"Depth",10398000,44.66
"Depth",10402000,38.83
"Depth",10406000,37.88
"Depth",10410000,41.7
"Depth",10414000,37.09
"Depth",10418000,35.55
"Depth",10422000,36.88
"Depth",10426000,38.76
"Depth",10430000,40.23
"Depth",10434000,38.19
"Depth",10438000,40.4
"Depth",10442000,38.97
"Depth",10446000,33.51
"Depth",10450000,41.88
"Depth",10454000,41.22
"Depth",10458000,45.18
