"library","length_bp"
"Ancient",93
"Ancient",46
"Ancient",33
"Ancient",31
"Ancient",42
"Ancient",76
"Ancient",53
"Ancient",75
"Ancient",52
"Ancient",65
"Ancient",122
"Ancient",42
"Ancient",43
"Ancient",42
"Ancient",46
"Ancient",66
"Ancient",58
"Ancient",36
"Ancient",102
"Ancient",32
"Ancient",32
"Ancient",95
"Ancient",39
"Ancient",68
"Ancient",51
"Ancient",50
"Ancient",64
"Ancient",43
"Ancient",51
"Ancient",107
"Ancient",56
"Ancient",90
"Ancient",51
"Ancient",42
"Ancient",51
"Ancient",41
"Ancient",60
"Ancient",38
"Ancient",84
"Ancient",47
"Ancient",69
"Ancient",41
"Ancient",44
"Ancient",46
"Ancient",62
"Ancient",76
"Ancient",40
"Ancient",51
"Ancient",45
"Ancient",52
"Ancient",53
"Ancient",82
"Ancient",89
"Ancient",33
"Ancient",63
"Ancient",45
"Ancient",78
"Ancient",38
"Ancient",46
"Ancient",42
"Ancient",60
"Ancient",71
"Ancient",63
"Ancient",43
"Ancient",39
"Ancient",58
"Ancient",48
"Ancient",47
"Ancient",85
"Ancient",42
"Ancient",54
"Ancient",83
"Ancient",56
"Ancient",34
"Ancient",71
"Ancient",47
"Ancient",64
"Ancient",49
"Ancient",35
"Ancient",67
"Ancient",58
"Ancient",37
"Ancient",38
"Ancient",70
"Ancient",57
"Ancient",34
"Ancient",126
"Ancient",92
"Ancient",58
"Ancient",53
"Ancient",48
"Ancient",100
"Ancient",101
"Ancient",42
"Ancient",49
"Ancient",45
"Ancient",45
"Ancient",50
"Ancient",110
"Ancient",63
"Ancient",41
"Ancient",41
"Ancient",62
"Ancient",62
"Ancient",68
"Ancient",45
"Ancient",75
"Ancient",50
"Ancient",39
"Ancient",51
"Ancient",54
"Ancient",54
"Ancient",34
"Ancient",69
"Ancient",31
"Ancient",53
"Ancient",93
"Ancient",34
"Ancient",41
"Ancient",30
"Ancient",48
"Ancient",89
"Ancient",43
"Ancient",61
"Ancient",38
"Ancient",32
"Ancient",50
"Ancient",43
"Ancient",33
"Ancient",51
"Ancient",30
"Ancient",63
"Ancient",86
"Ancient",33
"Ancient",30
"Ancient",84
"Ancient",73
"Ancient",59
"Ancient",54
"Ancient",68
"Ancient",50
"Ancient",70
"Ancient",47
"Ancient",43
"Ancient",44
"Ancient",45
"Ancient",35
"Ancient",40
"Ancient",33
"Ancient",33
"Ancient",53
"Ancient",66
"Ancient",73
"Ancient",63
"Ancient",55
"Ancient",50
"Ancient",64
"Ancient",78
"Ancient",33
"Ancient",44
"Ancient",77
"Ancient",37
"Ancient",46
"Ancient",60
"Ancient",57
"Ancient",37
"Ancient",56
"Ancient",69
"Ancient",76
"Ancient",47
"Ancient",59
"Ancient",51
"Ancient",44
"Ancient",95
"Ancient",82
"Ancient",58
"Ancient",39
"Ancient",45
"Ancient",72
"Ancient",49
"Ancient",75
"Ancient",57
"Ancient",68
"Ancient",63
"Ancient",41
"Ancient",51
"Ancient",44
"Ancient",31
"Ancient",41
"Ancient",50
"Ancient",39
"Ancient",42
"Ancient",58
"Ancient",45
"Ancient",51
"Ancient",48
"Ancient",46
"Ancient",43
"Ancient",36
"Ancient",41
"Ancient",46
"Ancient",76
"Ancient",84
"Ancient",72
"Ancient",54
"Ancient",51
"Ancient",39
"Ancient",73
"Ancient",36
"Ancient",68
"Ancient",37
"Ancient",47
"Ancient",32
"Ancient",87
"Ancient",48
"Ancient",60
"Ancient",47
"Ancient",94
"Ancient",47
"Ancient",37
"Ancient",81
"Ancient",61
"Ancient",49
"Ancient",92
"Ancient",66
"Ancient",66
"Ancient",40
"Ancient",36
"Ancient",73
"Ancient",43
"Ancient",48
"Ancient",49
"Ancient",64
"Ancient",42
"Ancient",39
"Ancient",51
"Ancient",73
"Ancient",34
"Ancient",58
"Ancient",51
"Ancient",64
"Ancient",46
"Ancient",80
"Ancient",61
"Ancient",51
"Ancient",70
"Ancient",39
"Ancient",35
"Ancient",46
"Ancient",39
"Ancient",57
"Ancient",35
"Ancient",72
"Ancient",64
"Ancient",77
"Ancient",40
"Ancient",37
"Ancient",32
"Ancient",56
"Ancient",47
"Ancient",50
"Ancient",70
"Ancient",78
"Ancient",39
"Ancient",47
"Ancient",60
"Ancient",80
"Ancient",41
"Ancient",62
"Ancient",67
"Ancient",51
"Ancient",32
"Ancient",135
"Ancient",35
"Ancient",55
"Ancient",39
"Ancient",110
"Ancient",81
"Ancient",39
"Ancient",44
"Ancient",77
"Ancient",53
"Ancient",49
"Ancient",32
"Ancient",33
"Ancient",51
"Ancient",40
"Ancient",48
"Ancient",55
"Ancient",74
"Ancient",48
"Ancient",55
"Ancient",44
"Ancient",76
"Ancient",38
"Ancient",65
"Ancient",30
"Ancient",47
"Ancient",83
"Ancient",49
"Ancient",40
"Ancient",54
"Ancient",71
"Ancient",46
"Ancient",72
"Ancient",48
"Ancient",33
"Ancient",33
"Ancient",70
"Ancient",96
"Ancient",96
"Ancient",55
"Ancient",36
"Ancient",63
"Ancient",49
"Ancient",39
"Ancient",34
"Ancient",38
"Ancient",47
"Ancient",40
"Ancient",38
"Ancient",66
"Ancient",38
"Ancient",46
"Ancient",41
"Ancient",54
"Ancient",37
"Ancient",57
"Ancient",41
"Ancient",49
"Ancient",57
"Ancient",56
"Ancient",53
"Ancient",35
"Ancient",42
"Ancient",55
"Ancient",52
"Ancient",52
"Ancient",44
"Ancient",55
"Ancient",51
"Ancient",56
"Ancient",55
"Ancient",36
"Ancient",65
"Ancient",51
"Ancient",76
"Ancient",79
"Ancient",55
"Ancient",58
"Ancient",56
"Ancient",36
"Ancient",53
"Ancient",41
"Ancient",50
"Ancient",38
"Ancient",70
"Ancient",31
"Ancient",39
"Ancient",51
"Ancient",86
"Ancient",40
"Ancient",46
"Ancient",52
"Ancient",53
"Ancient",48
"Ancient",64
"Ancient",55
"Ancient",48
"Ancient",35
"Ancient",76
"Ancient",32
"Ancient",95
"Ancient",60
"Ancient",66
"Ancient",40
"Ancient",63
"Ancient",41
"Ancient",58
"Ancient",51
"Ancient",41
"Ancient",47
"Ancient",37
"Ancient",57
"Ancient",76
"Ancient",71
"Ancient",64
"Ancient",95
"Ancient",65
"Ancient",33
"Ancient",34
"Ancient",75
"Ancient",41
"Ancient",49
"Ancient",35
"Ancient",69
"Ancient",55
"Ancient",63
"Ancient",63
"Ancient",70
"Ancient",60
"Ancient",62
"Ancient",42
"Ancient",47
"Ancient",31
"Ancient",42
"Ancient",62
"Ancient",44
"Ancient",98
"Ancient",31
"Ancient",67
"Ancient",44
"Ancient",49
"Ancient",42
"Ancient",71
"Ancient",31
"Ancient",32
"Ancient",41
"Ancient",67
"Ancient",76
"Ancient",49
"Ancient",39
"Ancient",123
"Ancient",51
"Ancient",32
"Ancient",37
"Ancient",45
"Ancient",49
"Ancient",50
"Ancient",85
"Ancient",72
"Ancient",49
"Ancient",71
"Ancient",55
"Ancient",40
"Ancient",81
"Ancient",35
"Ancient",59
"Ancient",30
"Ancient",48
"Ancient",55
