"gene","feature","start","end","strand"
"Gene1","utr",1,168,"+"
"Gene1","exon",169,321,"+"
"Gene1","exon",978,1375,"+"
"Gene1","exon",1790,2177,"+"
"Gene1","exon",3345,3792,"+"
"Gene1","exon",3905,4059,"+"
"Gene1","utr",4060,4200,"+"
"Gene1","domain",1867,2080,"+"
"Gene1","domain",3936,4021,"+"
"Gene1","mutation",268,268,"+"
"Gene1","mutation",4195,4195,"+"
"Gene2.1","utr",1,178,"+"
"Gene2.1","exon",179,468,"+"
"Gene2.1","exon",1446,1907,"+"
"Gene2.1","exon",2267,2628,"+"
"Gene2.1","exon",3480,3841,"+"
"Gene2.1","exon",4470,4706,"+"
"Gene2.1","exon",5170,5517,"+"
"Gene2.1","utr",5518,5600,"+"
"Gene2.1","domain",5239,5430,"+"
"Gene2.1","domain",3552,3751,"+"
"Gene2.1","mutation",2282,2282,"+"
"Gene2.1","mutation",2295,2295,"+"
"Gene2.1","mutation",218,218,"+"
"Gene3","exon",1,535,"-"
"Gene3","utr",536,660,"-"
"Gene3","exon",1147,1411,"-"
"Gene3","exon",1824,2281,"-"
"Gene3","utr",2579,2694,"-"
"Gene3","exon",2695,3100,"-"
"Gene3","domain",2776,2999,"-"
"Gene3","domain",1915,2167,"-"
"Gene3","mutation",148,148,"-"
"Gene3","mutation",1309,1309,"-"
"Gene4","utr",1,157,"+"
"Gene4","exon",158,298,"+"
"Gene4","exon",329,723,"+"
"Gene4","exon",1329,1852,"+"
"Gene4","exon",2753,3066,"+"
"Gene4","exon",4003,4458,"+"
"Gene4","exon",4607,5117,"+"
"Gene4","exon",5520,6050,"+"
"Gene4","exon",7235,7707,"+"
"Gene4","utr",7708,7800,"+"
"Gene4","domain",5626,5918,"+"
"Gene4","domain",2816,2988,"+"
"Gene4","mutation",2992,2992,"+"
"Gene4","mutation",217,217,"+"
"Gene4","mutation",438,438,"+"
"Gene5","exon",1,458,"-"
"Gene5","utr",459,554,"-"
"Gene5","exon",600,881,"-"
"Gene5","exon",932,1473,"-"
"Gene5","exon",1610,2071,"-"
"Gene5","exon",2250,3020,"-"
"Gene5","exon",3474,3864,"-"
"Gene5","utr",5755,5841,"-"
"Gene5","exon",5842,6400,"-"
"Gene5","domain",656,811,"-"
"Gene5","domain",1702,1956,"-"
"Gene5","mutation",2917,2917,"-"
"Gene5","mutation",2281,2281,"-"
"Gene5","mutation",6244,6244,"-"
"Gene6","utr",1,92,"+"
"Gene6","exon",93,278,"+"
"Gene6","exon",1697,2033,"+"
"Gene6","exon",3339,3682,"+"
"Gene6","exon",4048,4441,"+"
"Gene6","exon",4624,4800,"+"
"Gene6","domain",1764,1949,"+"
"Gene6","domain",3408,3596,"+"
"Gene6","mutation",4745,4745,"+"
"Gene6","mutation",3641,3641,"+"
"Gene2.2","utr",1,141,"+"
"Gene2.2","exon",142,468,"+"
"Gene2.2","exon",1446,1907,"+"
"Gene2.2","exon",3480,3841,"+"
"Gene2.2","exon",4470,4706,"+"
"Gene2.2","exon",5170,5479,"+"
"Gene2.2","utr",5480,5600,"+"
"Gene2.2","domain",3520,3801,"+"
"Gene2.2","mutation",1476,1476,"+"
