"library","multiplicity","count","model","lambda"
"High-het",1,6360218,6501256,26
"High-het",2,1971244,1866190,26
"High-het",3,532209,542399,26
"High-het",4,159208,169143,26
"High-het",5,71442,69622,26
"High-het",6,47857,49174,26
"High-het",7,52042,51165,26
"High-het",8,57590,58599,26
"High-het",9,67392,66066,26
"High-het",10,73461,71759,26
"High-het",11,75065,75165,26
"High-het",12,77950,76343,26
"High-het",13,74804,75634,26
"High-het",14,73672,73505,26
"High-het",15,69531,70436,26
"High-het",16,68029,66855,26
"High-het",17,60363,63099,26
"High-het",18,60876,59400,26
"High-het",19,54988,55893,26
"High-het",20,49529,52633,26
"High-het",21,49577,49616,26
"High-het",22,44580,46805,26
"High-het",23,44894,44144,26
"High-het",24,41969,41578,26
"High-het",25,41152,39060,26
"High-het",26,39514,36556,26
"High-het",27,33677,34051,26
"High-het",28,31098,31541,26
"High-het",29,29035,29035,26
"High-het",30,26553,26553,26
"High-het",31,24118,24118,26
"High-het",32,21755,21755,26
"High-het",33,19489,19489,26
"High-het",34,17343,17343,26
"High-het",35,15332,15332,26
"High-het",36,13472,13472,26
"High-het",37,11769,11769,26
"High-het",38,10227,10227,26
"High-het",39,8845,8845,26
"High-het",40,7617,7617,26
"High-het",41,6537,6537,26
"High-het",42,5594,5594,26
"High-het",43,4779,4779,26
"High-het",44,4078,4078,26
"High-het",45,3480,3480,26
"High-het",46,2972,2972,26
"High-het",47,2544,2544,26
"High-het",48,2185,2185,26
"High-het",49,1885,1885,26
"High-het",50,1634,1634,26
"High-het",51,1426,1426,26
"High-het",52,1253,1253,26
"High-het",53,1109,1109,26
"High-het",54,989,989,26
"High-het",55,888,888,26
"High-het",56,804,804,26
"High-het",57,732,732,26
"High-het",58,671,671,26
"High-het",59,618,618,26
"High-het",60,572,572,26
"High-het",61,532,532,26
"High-het",62,495,495,26
"High-het",63,463,463,26
"High-het",64,433,433,26
"High-het",65,405,405,26
"High-het",66,379,379,26
"High-het",67,355,355,26
"High-het",68,333,333,26
"High-het",69,312,312,26
"High-het",70,291,291,26
"High-het",71,272,272,26
"High-het",72,254,254,26
"High-het",73,237,237,26
"High-het",74,221,221,26
"High-het",75,205,205,26
"High-het",76,191,191,26
"High-het",77,177,177,26
"High-het",78,164,164,26
"Low-het",1,5455720,5500033,32
"Low-het",2,1625203,1575889,32
"Low-het",3,477264,451746,32
"Low-het",4,131790,129911,32
"Low-het",5,38717,38047,32
"Low-het",6,12030,12178,32
"Low-het",7,5187,5317,32
"Low-het",8,3915,3995,32
"Low-het",9,4414,4349,32
"Low-het",10,5386,5277,32
"Low-het",11,6237,6477,32
"Low-het",12,8104,7882,32
"Low-het",13,9749,9494,32
"Low-het",14,12027,11335,32
"Low-het",15,13121,13422,32
"Low-het",16,15726,15760,32
"Low-het",17,18525,18339,32
"Low-het",18,21728,21123,32
"Low-het",19,23695,24060,32
"Low-het",20,26944,27080,32
"Low-het",21,29863,30101,32
"Low-het",22,32492,33034,32
"Low-het",23,36713,35788,32
"Low-het",24,37655,38279,32
"Low-het",25,40602,40431,32
"Low-het",26,41826,42184,32
"Low-het",27,42109,43494,32
"Low-het",28,44469,44333,32
"Low-het",29,46500,44694,32
"Low-het",30,44833,44585,32
"Low-het",31,42456,44030,32
"Low-het",32,45473,43064,32
"Low-het",33,42448,41733,32
"Low-het",34,41646,40090,32
"Low-het",35,38191,38191,32
"Low-het",36,36092,36092,32
"Low-het",37,33852,33852,32
"Low-het",38,31522,31522,32
"Low-het",39,29153,29153,32
"Low-het",40,26787,26787,32
"Low-het",41,24463,24463,32
"Low-het",42,22213,22213,32
"Low-het",43,20060,20060,32
"Low-het",44,18024,18024,32
"Low-het",45,16120,16120,32
"Low-het",46,14354,14354,32
"Low-het",47,12732,12732,32
"Low-het",48,11254,11254,32
"Low-het",49,9917,9917,32
"Low-het",50,8717,8717,32
"Low-het",51,7646,7646,32
"Low-het",52,6697,6697,32
"Low-het",53,5860,5860,32
"Low-het",54,5126,5126,32
"Low-het",55,4486,4486,32
"Low-het",56,3930,3930,32
"Low-het",57,3448,3448,32
"Low-het",58,3034,3034,32
"Low-het",59,2677,2677,32
"Low-het",60,2372,2372,32
"Low-het",61,2110,2110,32
"Low-het",62,1887,1887,32
"Low-het",63,1696,1696,32
"Low-het",64,1533,1533,32
"Low-het",65,1393,1393,32
"Low-het",66,1274,1274,32
"Low-het",67,1171,1171,32
"Low-het",68,1082,1082,32
"Low-het",69,1004,1004,32
"Low-het",70,936,936,32
"Low-het",71,876,876,32
"Low-het",72,823,823,32
"Low-het",73,775,775,32
"Low-het",74,732,732,32
"Low-het",75,693,693,32
"Low-het",76,656,656,32
"Low-het",77,622,622,32
"Low-het",78,591,591,32
"Low-het",79,561,561,32
"Low-het",80,533,533,32
"Low-het",81,506,506,32
"Low-het",82,480,480,32
"Low-het",83,456,456,32
"Low-het",84,432,432,32
"Low-het",85,410,410,32
"Low-het",86,388,388,32
"Low-het",87,367,367,32
"Low-het",88,347,347,32
"Low-het",89,328,328,32
"Low-het",90,309,309,32
"Low-het",91,292,292,32
"Low-het",92,275,275,32
"Low-het",93,259,259,32
"Low-het",94,243,243,32
"Low-het",95,228,228,32
"Low-het",96,214,214,32
