"sample","gene","variant_class","cohort"
"S01","KRAS","Splice","A"
"S01","BRAF","Frameshift","A"
"S01","CDKN2A","Frameshift","A"
"S03","RB1","Missense_Tv","A"
"S03","NF1","Missense_Tv","A"
"S04","TP53","Frameshift","A"
"S04","KRAS","Missense_Ti","A"
"S04","FAT1","Missense_Ti","A"
"S07","APC","Frameshift","A"
"S09","TP53","Missense_Ti","A"
"S09","PIK3CA","Missense_Ti","A"
"S09","APC","Missense_Tv","A"
"S09","PTEN","Frameshift","A"
"S09","RB1","Missense_Ti","A"
"S10","PTEN","Missense_Ti","A"
"S10","KMT2D","Missense_Ti","A"
"S11","BRAF","Missense_Tv","A"
"S11","ARID1A","Missense_Ti","A"
"S13","KRAS","Missense_Ti","A"
"S13","NF1","Nonsense","A"
"S14","TP53","Missense_Ti","A"
"S14","APC","Frameshift","A"
"S15","TP53","Missense_Tv","A"
"S15","KRAS","Missense_Ti","A"
"S15","BRAF","Frameshift","A"
"S15","RB1","Frameshift","A"
"S16","TP53","Nonsense","A"
"S16","KRAS","Missense_Tv","A"
"S16","PIK3CA","Splice","A"
"S16","APC","Nonsense","A"
"S16","BRAF","Missense_Ti","A"
"S17","APC","Missense_Ti","A"
"S20","TP53","Frameshift","A"
"S20","KRAS","Missense_Ti","A"
"S20","PTEN","Splice","A"
"S20","EGFR","Nonsense","A"
"S20","RB1","Missense_Ti","A"
"S21","TP53","Missense_Ti","B"
"S21","KRAS","Missense_Tv","B"
"S21","PIK3CA","Nonsense","B"
"S21","APC","Missense_Ti","B"
"S21","BRAF","Missense_Ti","B"
"S21","RB1","Missense_Tv","B"
"S21","SMAD4","Missense_Tv","B"
"S21","ATM","Frameshift","B"
"S21","FAT1","Frameshift","B"
"S23","TP53","Missense_Ti","B"
"S24","PIK3CA","Missense_Ti","B"
"S24","APC","Frameshift","B"
"S24","BRAF","Missense_Ti","B"
"S25","NF1","Frameshift","B"
"S26","KRAS","Frameshift","B"
"S26","PIK3CA","Nonsense","B"
"S26","NF1","Missense_Ti","B"
"S26","ARID1A","Frameshift","B"
"S26","CDKN2A","Missense_Ti","B"
"S28","TP53","Missense_Ti","B"
"S28","PTEN","Missense_Ti","B"
"S28","ATM","Missense_Ti","B"
"S28","FAT1","Missense_Ti","B"
"S29","TP53","Missense_Tv","B"
"S29","KRAS","Frameshift","B"
"S29","APC","Missense_Ti","B"
"S29","RB1","Missense_Ti","B"
"S29","NF1","Frameshift","B"
"S30","TP53","Missense_Ti","B"
"S30","KRAS","Missense_Tv","B"
"S30","PIK3CA","Missense_Ti","B"
"S30","PTEN","Missense_Tv","B"
"S30","BRAF","Missense_Tv","B"
"S30","EGFR","Missense_Ti","B"
"S30","NF1","Missense_Ti","B"
"S30","ATM","Missense_Ti","B"
"S30","KMT2D","Missense_Ti","B"
"S31","TP53","Missense_Ti","B"
"S31","PIK3CA","Splice","B"
"S31","RB1","Frameshift","B"
"S31","KMT2D","Missense_Tv","B"
"S32","APC","Frameshift","B"
"S33","TP53","Missense_Ti","B"
"S33","KRAS","Missense_Ti","B"
"S33","APC","Missense_Tv","B"
"S34","TP53","Missense_Ti","B"
"S34","BRAF","Splice","B"
"S34","NF1","Missense_Ti","B"
"S35","TP53","Nonsense","B"
"S35","APC","Missense_Ti","B"
"S35","RB1","Missense_Tv","B"
"S36","TP53","Missense_Ti","B"
"S36","KRAS","Missense_Ti","B"
"S36","EGFR","Frameshift","B"
"S36","ARID1A","Missense_Ti","B"
"S36","SMAD4","Missense_Tv","B"
"S37","CDKN2A","Frameshift","B"
"S37","ATM","Missense_Ti","B"
"S38","TP53","Missense_Tv","B"
"S38","PIK3CA","Missense_Ti","B"
"S38","ATM","Nonsense","B"
"S38","FAT1","Missense_Tv","B"
"S39","BRAF","Nonsense","B"
"S40","TP53","Frameshift","B"
"S40","KRAS","Splice","B"
"S40","EGFR","Missense_Tv","B"
"S40","CDKN2A","Frameshift","B"
"S40","FAT1","Missense_Ti","B"
