"step","n_genomes","pan","core"
1,1,22000,22000
2,2,25107,19747
3,3,27189,18798
4,4,28266,18110
5,5,30118,17775
6,6,30704,17361
7,7,31758,17200
8,8,32660,17088
9,9,33391,16723
10,10,34062,16715
11,11,34671,16651
12,12,35508,16513
13,13,35519,16327
14,14,36759,16327
15,15,37143,16218
16,16,37143,16133
17,17,38078,15856
18,18,38124,15856
19,19,38926,15856
20,20,39169,15781
21,21,39169,15683
22,22,39497,15683
23,23,40057,15683
24,24,40342,15647
25,25,40713,15642
26,26,40713,15628
27,27,41609,15628
28,28,41688,15628
29,29,42248,15457
30,30,42260,15457
31,31,42260,15457
32,32,42267,15457
33,33,42808,15371
34,34,43531,15371
35,35,43531,15371
36,36,43531,15371
37,37,44176,15108
38,38,44176,15108
39,39,44176,15108
40,40,44658,15108
