"genome","family","present","compartment"
"G01","F001",1,"shell"
"G02","F001",1,"shell"
"G03","F001",0,"shell"
"G04","F001",1,"shell"
"G05","F001",1,"shell"
"G06","F001",0,"shell"
"G07","F001",0,"shell"
"G08","F001",0,"shell"
"G09","F001",0,"shell"
"G10","F001",0,"shell"
"G11","F001",0,"shell"
"G12","F001",0,"shell"
"G13","F001",0,"shell"
"G14","F001",0,"shell"
"G15","F001",1,"shell"
"G16","F001",0,"shell"
"G17","F001",0,"shell"
"G18","F001",0,"shell"
"G19","F001",0,"shell"
"G20","F001",0,"shell"
"G01","F002",1,"core"
"G02","F002",1,"core"
"G03","F002",1,"core"
"G04","F002",1,"core"
"G05","F002",1,"core"
"G06","F002",1,"core"
"G07","F002",0,"core"
"G08","F002",1,"core"
"G09","F002",1,"core"
"G10","F002",1,"core"
"G11","F002",1,"core"
"G12","F002",1,"core"
"G13","F002",1,"core"
"G14","F002",1,"core"
"G15","F002",1,"core"
"G16","F002",1,"core"
"G17","F002",1,"core"
"G18","F002",1,"core"
"G19","F002",0,"core"
"G20","F002",0,"core"
"G01","F003",1,"cloud"
"G02","F003",0,"cloud"
"G03","F003",0,"cloud"
"G04","F003",0,"cloud"
"G05","F003",0,"cloud"
"G06","F003",0,"cloud"
"G07","F003",0,"cloud"
"G08","F003",0,"cloud"
"G09","F003",0,"cloud"
"G10","F003",0,"cloud"
"G11","F003",0,"cloud"
"G12","F003",0,"cloud"
"G13","F003",0,"cloud"
"G14","F003",0,"cloud"
"G15","F003",0,"cloud"
"G16","F003",1,"cloud"
"G17","F003",1,"cloud"
"G18","F003",0,"cloud"
"G19","F003",0,"cloud"
"G20","F003",0,"cloud"
"G01","F004",1,"core"
"G02","F004",1,"core"
"G03","F004",1,"core"
"G04","F004",1,"core"
"G05","F004",0,"core"
"G06","F004",1,"core"
"G07","F004",1,"core"
"G08","F004",0,"core"
"G09","F004",1,"core"
"G10","F004",1,"core"
"G11","F004",1,"core"
"G12","F004",1,"core"
"G13","F004",1,"core"
"G14","F004",1,"core"
"G15","F004",1,"core"
"G16","F004",1,"core"
"G17","F004",1,"core"
"G18","F004",1,"core"
"G19","F004",1,"core"
"G20","F004",1,"core"
"G01","F005",0,"cloud"
"G02","F005",0,"cloud"
"G03","F005",0,"cloud"
"G04","F005",0,"cloud"
"G05","F005",0,"cloud"
"G06","F005",1,"cloud"
"G07","F005",1,"cloud"
"G08","F005",1,"cloud"
"G09","F005",1,"cloud"
"G10","F005",0,"cloud"
"G11","F005",0,"cloud"
"G12","F005",0,"cloud"
"G13","F005",1,"cloud"
"G14","F005",0,"cloud"
"G15","F005",0,"cloud"
"G16","F005",0,"cloud"
"G17","F005",0,"cloud"
"G18","F005",0,"cloud"
"G19","F005",0,"cloud"
"G20","F005",0,"cloud"
"G01","F006",0,"core"
"G02","F006",1,"core"
"G03","F006",1,"core"
"G04","F006",0,"core"
"G05","F006",1,"core"
"G06","F006",1,"core"
"G07","F006",1,"core"
"G08","F006",1,"core"
"G09","F006",1,"core"
"G10","F006",1,"core"
