"sv_type","size_bp"
"DEL",457
"DEL",4278
"DEL",7667
"DEL",132
"DEL",103
"DEL",269
"DEL",422
"DEL",564
"DEL",163
"DEL",113
"DEL",991
"DEL",90
"DEL",10571
"DEL",121
"DEL",131
"DEL",11036
"DEL",177
"DEL",10407
"DEL",10084
"DEL",654
"DEL",9780
"DEL",495
"DEL",161
"DEL",324
"DEL",6689
"DEL",377
"DEL",174
"DEL",384
"DEL",275
"DEL",528
"DEL",708
"DEL",551
"DEL",216
"DEL",695
"DEL",213
"DEL",289
"DEL",111
"DEL",431
"DEL",11322
"DEL",8330
"DEL",453
"DEL",230
"DEL",148
"DEL",4433
"DEL",168
"DEL",4568
"DEL",9822
"DEL",7421
"DEL",281
"DEL",277
"DEL",493
"DEL",348
"DEL",457
"DEL",304
"DEL",67
"DEL",318
"DEL",224
"DEL",290
"DEL",310
"DEL",148
"DEL",123
"DEL",406
"DEL",995
"DEL",350
"DEL",8073
"DEL",7609
"DEL",5406
"DEL",6858
"DEL",1490
"DEL",10714
"DEL",170
"DEL",216
"DEL",326
"DEL",8536
"DEL",434
"DEL",1099
"DEL",192
"DEL",455
"DEL",8055
"DEL",1380
"DEL",781
"DEL",155
"DEL",10953
"DEL",5501
"DEL",1518
"DEL",7198
"DEL",306
"DEL",642
"DEL",221
"DEL",476
"DEL",8523
"DEL",303
"DEL",9077
"DEL",291
"DEL",230
"DEL",167
"DEL",10992
"DEL",455
"DEL",320
"DEL",319
"DEL",6056
"DEL",130
"DEL",547
"DEL",5884
"DEL",518
"DEL",888
"DEL",1215
"DEL",7044
"DEL",165
"DEL",338
"DEL",748
"DEL",114
"DEL",12388
"DEL",4202
"DEL",568
"DEL",6375
"DEL",201
"DEL",216
"DEL",417
"DEL",595
"DEL",4803
"DEL",131
"DEL",125
"DEL",338
"DEL",133
"DEL",704
"DEL",823
"DEL",475
"DEL",335
"DEL",451
"DEL",478
"DEL",5314
"DEL",1312
"DEL",404
"DEL",299
"DEL",5690
