"genome","te_class","divergence","fraction"
"180 Mb","Gypsy",0,0.000198
"180 Mb","Gypsy",1,0.000814
"180 Mb","Gypsy",2,0.002013
"180 Mb","Gypsy",3,0.004679
"180 Mb","Gypsy",4,0.006237
"180 Mb","Gypsy",5,0.006416
"180 Mb","Gypsy",6,0.004831
"180 Mb","Gypsy",7,0.002485
"180 Mb","Gypsy",8,0.001355
"180 Mb","Gypsy",9,0.000987
"180 Mb","Gypsy",10,0.001105
"180 Mb","Gypsy",11,0.001406
"180 Mb","Gypsy",12,0.001623
"180 Mb","Gypsy",13,0.002074
"180 Mb","Gypsy",14,0.002167
"180 Mb","Gypsy",15,0.001962
"180 Mb","Gypsy",16,0.001985
"180 Mb","Gypsy",17,0.001851
"180 Mb","Gypsy",18,0.001582
"180 Mb","Gypsy",19,0.001371
"180 Mb","Gypsy",20,0.001087
"180 Mb","Gypsy",21,0.000817
"180 Mb","Gypsy",22,0.000526
"180 Mb","Gypsy",23,0.000371
"180 Mb","Gypsy",24,0.000206
"180 Mb","Gypsy",25,0.000123
"180 Mb","Gypsy",26,6.7e-05
"180 Mb","Gypsy",27,3.6e-05
"180 Mb","Gypsy",28,1.8e-05
"180 Mb","Gypsy",29,8e-06
"180 Mb","Copia",0,0.001919
"180 Mb","Copia",1,0.005339
"180 Mb","Copia",2,0.009227
"180 Mb","Copia",3,0.009155
"180 Mb","Copia",4,0.005551
"180 Mb","Copia",5,0.002214
"180 Mb","Copia",6,0.000935
"180 Mb","Copia",7,0.000814
"180 Mb","Copia",8,0.001107
"180 Mb","Copia",9,0.001328
"180 Mb","Copia",10,0.001478
"180 Mb","Copia",11,0.001559
"180 Mb","Copia",12,0.001464
"180 Mb","Copia",13,0.001352
"180 Mb","Copia",14,0.001179
"180 Mb","Copia",15,0.000829
"180 Mb","Copia",16,0.000567
"180 Mb","Copia",17,0.000354
"180 Mb","Copia",18,0.000203
"180 Mb","Copia",19,0.000126
"180 Mb","Copia",20,5.6e-05
"180 Mb","Copia",21,2.6e-05
"180 Mb","Copia",22,1.1e-05
"180 Mb","Copia",23,5e-06
"180 Mb","Copia",24,2e-06
"180 Mb","Copia",25,1e-06
"180 Mb","Copia",26,0
"180 Mb","Copia",27,0
"180 Mb","Copia",28,0
"180 Mb","Copia",29,0
"180 Mb","LINE",0,1.8e-05
"180 Mb","LINE",1,3.5e-05
"180 Mb","LINE",2,5.4e-05
"180 Mb","LINE",3,7.7e-05
"180 Mb","LINE",4,0.000126
"180 Mb","LINE",5,0.000173
"180 Mb","LINE",6,0.000246
"180 Mb","LINE",7,0.00035
"180 Mb","LINE",8,0.000442
"180 Mb","LINE",9,0.000563
"180 Mb","LINE",10,0.000777
"180 Mb","LINE",11,0.000973
"180 Mb","LINE",12,0.001103
"180 Mb","LINE",13,0.001244
"180 Mb","LINE",14,0.001472
"180 Mb","LINE",15,0.001695
"180 Mb","LINE",16,0.001625
"180 Mb","LINE",17,0.001908
"180 Mb","LINE",18,0.001949
"180 Mb","LINE",19,0.00184
"180 Mb","LINE",20,0.001726
"180 Mb","LINE",21,0.001606
"180 Mb","LINE",22,0.001522
"180 Mb","LINE",23,0.001228
"180 Mb","LINE",24,0.001107
"180 Mb","LINE",25,0.000945
"180 Mb","LINE",26,0.000749
"180 Mb","LINE",27,0.000634
"180 Mb","LINE",28,0.000465
"180 Mb","LINE",29,0.000348
"180 Mb","TIR",0,8.3e-05
"180 Mb","TIR",1,0.000264
"180 Mb","TIR",2,0.000622
"180 Mb","TIR",3,0.00133
"180 Mb","TIR",4,0.002251
"180 Mb","TIR",5,0.003013
"180 Mb","TIR",6,0.003466
"180 Mb","TIR",7,0.003695
"180 Mb","TIR",8,0.002998
"180 Mb","TIR",9,0.002621
"180 Mb","TIR",10,0.002458
"180 Mb","TIR",11,0.002353
"180 Mb","TIR",12,0.002515
"180 Mb","TIR",13,0.002521
"180 Mb","TIR",14,0.002461
"180 Mb","TIR",15,0.002034
"180 Mb","TIR",16,0.001871
"180 Mb","TIR",17,0.00162
"180 Mb","TIR",18,0.001144
"180 Mb","TIR",19,0.000795
"180 Mb","TIR",20,0.000526
"180 Mb","TIR",21,0.000341
"180 Mb","TIR",22,0.000203
"180 Mb","TIR",23,0.00011
"180 Mb","TIR",24,5.7e-05
"180 Mb","TIR",25,2.7e-05
"180 Mb","TIR",26,1.3e-05
"180 Mb","TIR",27,5e-06
"180 Mb","TIR",28,2e-06
"180 Mb","TIR",29,1e-06
"180 Mb","Helitron",0,0.000171
"180 Mb","Helitron",1,0.000234
"180 Mb","Helitron",2,0.00034
"180 Mb","Helitron",3,0.000457
"180 Mb","Helitron",4,0.000524
"180 Mb","Helitron",5,0.000676
"180 Mb","Helitron",6,0.00082
"180 Mb","Helitron",7,0.001074
"180 Mb","Helitron",8,0.001139
"180 Mb","Helitron",9,0.001163
"180 Mb","Helitron",10,0.001179
"180 Mb","Helitron",11,0.001217
"180 Mb","Helitron",12,0.001015
"180 Mb","Helitron",13,0.000945
"180 Mb","Helitron",14,0.000805
"180 Mb","Helitron",15,0.000665
"180 Mb","Helitron",16,0.000573
"180 Mb","Helitron",17,0.000433
"180 Mb","Helitron",18,0.000326
"180 Mb","Helitron",19,0.000236
"180 Mb","Helitron",20,0.000148
"180 Mb","Helitron",21,0.000106
"180 Mb","Helitron",22,6.5e-05
"180 Mb","Helitron",23,3.8e-05
"180 Mb","Helitron",24,2.3e-05
"180 Mb","Helitron",25,1.2e-05
"180 Mb","Helitron",26,7e-06
"180 Mb","Helitron",27,4e-06
"180 Mb","Helitron",28,2e-06
"180 Mb","Helitron",29,1e-06
"320 Mb","Gypsy",0,0.000414
"320 Mb","Gypsy",1,0.001708
"320 Mb","Gypsy",2,0.004625
"320 Mb","Gypsy",3,0.009855
"320 Mb","Gypsy",4,0.01277
"320 Mb","Gypsy",5,0.013325
"320 Mb","Gypsy",6,0.009632
"320 Mb","Gypsy",7,0.005247
"320 Mb","Gypsy",8,0.002671
"320 Mb","Gypsy",9,0.002097
"320 Mb","Gypsy",10,0.00235
"320 Mb","Gypsy",11,0.003032
"320 Mb","Gypsy",12,0.003394
"320 Mb","Gypsy",13,0.003889
"320 Mb","Gypsy",14,0.004286
"320 Mb","Gypsy",15,0.004556
"320 Mb","Gypsy",16,0.004415
"320 Mb","Gypsy",17,0.003869
"320 Mb","Gypsy",18,0.003514
"320 Mb","Gypsy",19,0.003012
"320 Mb","Gypsy",20,0.002106
"320 Mb","Gypsy",21,0.001711
"320 Mb","Gypsy",22,0.001153
"320 Mb","Gypsy",23,0.000729
"320 Mb","Gypsy",24,0.000484
"320 Mb","Gypsy",25,0.000275
"320 Mb","Gypsy",26,0.000147
"320 Mb","Gypsy",27,7.9e-05
"320 Mb","Gypsy",28,3.7e-05
"320 Mb","Gypsy",29,1.8e-05
"320 Mb","Copia",0,0.003106
"320 Mb","Copia",1,0.008608
"320 Mb","Copia",2,0.014195
"320 Mb","Copia",3,0.014055
"320 Mb","Copia",4,0.009179
"320 Mb","Copia",5,0.00381
"320 Mb","Copia",6,0.00153
"320 Mb","Copia",7,0.001374
"320 Mb","Copia",8,0.001721
"320 Mb","Copia",9,0.002033
"320 Mb","Copia",10,0.002359
"320 Mb","Copia",11,0.002498
"320 Mb","Copia",12,0.002309
"320 Mb","Copia",13,0.002157
"320 Mb","Copia",14,0.001932
"320 Mb","Copia",15,0.001316
"320 Mb","Copia",16,0.000861
"320 Mb","Copia",17,0.000634
"320 Mb","Copia",18,0.000353
"320 Mb","Copia",19,0.000199
"320 Mb","Copia",20,9.8e-05
