row,col,module,value
F01,S01,M1,3.125
F02,S01,M1,1.334
F03,S01,M1,1.505
F04,S01,M1,0.988
F05,S01,M1,0.882
F06,S01,M1,0.599
F07,S01,M1,0.507
F08,S01,M1,2.194
F09,S01,M1,0.999
F10,S01,M1,1.177
F11,S01,M2,-0.966
F12,S01,M2,-0.84
F13,S01,M2,-0.265
F14,S01,M2,-1.102
F15,S01,M2,-0.804
F16,S01,M2,0.156
F17,S01,M2,-0.248
F18,S01,M2,0.111
F19,S01,M2,0.089
F20,S01,M2,0.44
F21,S01,M3,-0.058
F22,S01,M3,0.056
F23,S01,M3,1.556
F24,S01,M3,-0.553
F25,S01,M3,-0.761
F26,S01,M3,-1.326
F27,S01,M3,0.298
F28,S01,M3,0.356
F29,S01,M3,-0.251
F30,S01,M3,-1.296
F01,S02,M1,2.74
F02,S02,M1,1.912
F03,S02,M1,0.849
F04,S02,M1,1.649
F05,S02,M1,0.287
F06,S02,M1,3.162
F07,S02,M1,0.809
F08,S02,M1,2.23
F09,S02,M1,1.218
F10,S02,M1,0.617
F11,S02,M2,-0.509
F12,S02,M2,-1.42
F13,S02,M2,1.267
F14,S02,M2,-0.447
F15,S02,M2,0.305
F16,S02,M2,-0.246
F17,S02,M2,-0.868
F18,S02,M2,-0.073
F19,S02,M2,-1.445
F20,S02,M2,-0.062
F21,S02,M3,-0.547
F22,S02,M3,-0.378
F23,S02,M3,-0.67
F24,S02,M3,1.338
F25,S02,M3,0.253
F26,S02,M3,1.143
F27,S02,M3,0.494
F28,S02,M3,0.361
F29,S02,M3,-0.73
F30,S02,M3,1.338
F01,S03,M1,1.019
F02,S03,M1,0.161
F03,S03,M1,0.934
F04,S03,M1,1.353
F05,S03,M1,0.223
F06,S03,M1,0.784
F07,S03,M1,0.588
F08,S03,M1,0.242
F09,S03,M1,0.717
F10,S03,M1,-0.61
F11,S03,M2,-0.323
F12,S03,M2,-0.576
F13,S03,M2,0.274
F14,S03,M2,0.817
F15,S03,M2,-0.027
F16,S03,M2,0.312
F17,S03,M2,1.514
F18,S03,M2,1.325
F19,S03,M2,0.932
F20,S03,M2,-0.787
F21,S03,M3,1.117
F22,S03,M3,-0.132
F23,S03,M3,-1.704
F24,S03,M3,-0.749
F25,S03,M3,0.575
F26,S03,M3,0.108
F27,S03,M3,0.629
F28,S03,M3,0.808
F29,S03,M3,-0.085
F30,S03,M3,1.012
F01,S04,M1,1.484
F02,S04,M1,0.217
F03,S04,M1,2.401
F04,S04,M1,1.97
F05,S04,M1,1.554
F06,S04,M1,1.475
F07,S04,M1,1.993
F08,S04,M1,2.26
F09,S04,M1,0.929
F10,S04,M1,2.207
F11,S04,M2,-0.659
F12,S04,M2,-0.105
F13,S04,M2,0.142
F14,S04,M2,0.476
F15,S04,M2,0.063
F16,S04,M2,0.925
F17,S04,M2,0.9
F18,S04,M2,-0.032
F19,S04,M2,-0.711
F20,S04,M2,-0.352
F21,S04,M3,0.486
F22,S04,M3,-0.009
F23,S04,M3,-0.055
F24,S04,M3,0.823
F25,S04,M3,-0.84
F26,S04,M3,-1.281
F27,S04,M3,-2.13
F28,S04,M3,0.073
F29,S04,M3,-0.21
F30,S04,M3,1.11
F01,S05,M1,0.444
F02,S05,M1,-0.368
F03,S05,M1,-1.044
F04,S05,M1,0.406
F05,S05,M1,1.105
F06,S05,M1,-0.9
F07,S05,M1,-0.403
F08,S05,M1,0.248
F09,S05,M1,0.353
F10,S05,M1,-0.79
F11,S05,M2,0.271
F12,S05,M2,-0.381
F13,S05,M2,2.643
F14,S05,M2,1.6
F15,S05,M2,1.901
F16,S05,M2,-0.612
F17,S05,M2,2.614
F18,S05,M2,1.775
F19,S05,M2,1.073
F20,S05,M2,0.351
F21,S05,M3,0.182
F22,S05,M3,-0.531
F23,S05,M3,0.413
F24,S05,M3,1.137
F25,S05,M3,-0.433
F26,S05,M3,0.4
F27,S05,M3,0.953
F28,S05,M3,-0.051
F29,S05,M3,-0.82
F30,S05,M3,-0.035
F01,S06,M1,-0.102
F02,S06,M1,-0.3
F03,S06,M1,0.59
F04,S06,M1,0.261
F05,S06,M1,-0.032
F06,S06,M1,-0.125
F07,S06,M1,0.962
F08,S06,M1,-0.234
F09,S06,M1,0.34
F10,S06,M1,-0.436
F11,S06,M2,-0.36
F12,S06,M2,1.239
F13,S06,M2,1.993
F14,S06,M2,1.05
F15,S06,M2,1.627
F16,S06,M2,0.724
F17,S06,M2,0.824
F18,S06,M2,-0.635
F19,S06,M2,1.14
F20,S06,M2,0.691
F21,S06,M3,-0.186
F22,S06,M3,-0.545
F23,S06,M3,0.28
F24,S06,M3,0.745
F25,S06,M3,-0.251
F26,S06,M3,0.491
F27,S06,M3,1.811
F28,S06,M3,0.675
F29,S06,M3,-0.329
F30,S06,M3,0.332
F01,S07,M1,-0.101
F02,S07,M1,-0.385
F03,S07,M1,0.12
F04,S07,M1,1.161
F05,S07,M1,0.446
F06,S07,M1,0.499
F07,S07,M1,0.058
F08,S07,M1,1.618
F09,S07,M1,-0.752
F10,S07,M1,0.301
F11,S07,M2,0.686
F12,S07,M2,0.084
F13,S07,M2,0.632
F14,S07,M2,0.717
F15,S07,M2,1.899
F16,S07,M2,0.69
F17,S07,M2,1.749
F18,S07,M2,0.193
F19,S07,M2,1.49
F20,S07,M2,1.194
F21,S07,M3,0.076
F22,S07,M3,-0.149
F23,S07,M3,0.861
F24,S07,M3,0.462
F25,S07,M3,-2.982
F26,S07,M3,-1.327
F27,S07,M3,-1.146
F28,S07,M3,-0.009
F29,S07,M3,1.111
F30,S07,M3,-0.558
F01,S08,M1,0.486
F02,S08,M1,0.115
F03,S08,M1,-0.134
F04,S08,M1,-1.329
F05,S08,M1,1.233
F06,S08,M1,1.58
F07,S08,M1,1.917
F08,S08,M1,-0.744
F09,S08,M1,0.212
F10,S08,M1,-0.395
F11,S08,M2,0.522
F12,S08,M2,0.364
F13,S08,M2,1.695
F14,S08,M2,1.194
F15,S08,M2,1.634
F16,S08,M2,0.602
F17,S08,M2,1.228
F18,S08,M2,1.205
F19,S08,M2,0.458
F20,S08,M2,2.058
F21,S08,M3,-0.271
F22,S08,M3,0.343
F23,S08,M3,-2.064
F24,S08,M3,-1.06
F25,S08,M3,0.763
F26,S08,M3,1.269
F27,S08,M3,-0.162
F28,S08,M3,2.789
F29,S08,M3,1.692
F30,S08,M3,0.453
F01,S09,M1,0.031
F02,S09,M1,0.395
F03,S09,M1,-0.189
F04,S09,M1,-0.744
F05,S09,M1,-0.545
F06,S09,M1,0.43
F07,S09,M1,0.203
F08,S09,M1,-0.194
F09,S09,M1,0.444
F10,S09,M1,-1.01
F11,S09,M2,-0.776
F12,S09,M2,0.614
F13,S09,M2,0.399
F14,S09,M2,-0.712
F15,S09,M2,-1.648
F16,S09,M2,0.884
F17,S09,M2,-0.815
F18,S09,M2,-0.449
F19,S09,M2,0.75
F20,S09,M2,-0.178
F21,S09,M3,2.551
F22,S09,M3,0.742
F23,S09,M3,2.563
F24,S09,M3,1.195
F25,S09,M3,1.052
F26,S09,M3,1.641
F27,S09,M3,-0.098
F28,S09,M3,1.269
F29,S09,M3,0.817
F30,S09,M3,1.145
F01,S10,M1,1.608
F02,S10,M1,-1.208
F03,S10,M1,0.351
F04,S10,M1,0.356
F05,S10,M1,-0.349
F06,S10,M1,-0.973
F07,S10,M1,-0.415
F08,S10,M1,0.401
F09,S10,M1,0.809
F10,S10,M1,-0.247
F11,S10,M2,1.19
F12,S10,M2,-1.14
F13,S10,M2,0.555
F14,S10,M2,0.672
F15,S10,M2,-0.239
F16,S10,M2,0.484
F17,S10,M2,0.775
F18,S10,M2,0.024
F19,S10,M2,0.072
F20,S10,M2,-0.871
F21,S10,M3,0.254
F22,S10,M3,0.331
F23,S10,M3,0.823
F24,S10,M3,2.249
F25,S10,M3,2.557
F26,S10,M3,1.228
F27,S10,M3,1.171
F28,S10,M3,0.987
F29,S10,M3,1.084
F30,S10,M3,2.13
F01,S11,M1,-0.882
F02,S11,M1,-1.055
F03,S11,M1,-1.83
F04,S11,M1,-1.069
F05,S11,M1,-1.081
F06,S11,M1,-0.829
F07,S11,M1,-0.009
F08,S11,M1,0.278
F09,S11,M1,1.609
F10,S11,M1,-0.661
F11,S11,M2,-0.95
F12,S11,M2,0.172
F13,S11,M2,-1.223
F14,S11,M2,-0.297
F15,S11,M2,0.584
F16,S11,M2,1.298
F17,S11,M2,-0.218
F18,S11,M2,0.074
F19,S11,M2,1.066
F20,S11,M2,0.115
F21,S11,M3,0.59
F22,S11,M3,1.694
F23,S11,M3,0.717
F24,S11,M3,1.805
F25,S11,M3,1.756
F26,S11,M3,-0.242
F27,S11,M3,1.259
F28,S11,M3,1.342
F29,S11,M3,0.45
F30,S11,M3,1.797
F01,S12,M1,0.255
F02,S12,M1,0.041
F03,S12,M1,0.204
F04,S12,M1,-0.161
F05,S12,M1,-0.152
F06,S12,M1,0.499
F07,S12,M1,-0.604
F08,S12,M1,0.838
F09,S12,M1,0.276
F10,S12,M1,0.313
F11,S12,M2,0.227
F12,S12,M2,0.678
F13,S12,M2,-0.1
F14,S12,M2,-0.13
F15,S12,M2,-0.863
F16,S12,M2,-0.037
F17,S12,M2,-0.089
F18,S12,M2,-1.798
F19,S12,M2,-1.193
F20,S12,M2,0.916
F21,S12,M3,1.62
F22,S12,M3,1.735
F23,S12,M3,1.564
F24,S12,M3,0.832
F25,S12,M3,1.144
F26,S12,M3,1.934
F27,S12,M3,0.662
F28,S12,M3,1.935
F29,S12,M3,1.187
F30,S12,M3,1.39
