"row","col","value","size"
"CD4 T","P01",-0.855445381366018,0.540316532756877
"CD8 T","P01",-0.312389600892592,0.825799447829447
"Treg","P01",-1.52720559463823,0.351719246943941
"NK","P01",-0.348911083730014,0.457706575536625
"B cell","P01",1.01090888236362,0.823862654842204
"Plasma","P01",0.433419197886353,0.466532093554209
"Mono","P01",0.847064420809089,0.189146662246683
"Macro","P01",1.12348321245455,0.785646019941028
"cDC","P01",0.434600425756173,0.326842983218884
"pDC","P01",-1.96882328341105,0.10526042703732
"Neutro","P01",1.03842483312981,0.145753752799142
"Mast","P01",0.183364591973395,0.396075836925919
"Fibro","P01",2.64262843421616,0.931467399541872
"Endo","P01",0.702603940042655,0.239906016706738
"Pericyte","P01",-0.318596712346747,0.274919526268768
"Epi","P01",-0.139887095770892,0.173409234333658
"Malig","P01",0.346417677042342,0.51640685942066
"Keratin","P01",0.0657508560303806,0.38580570768856
"Melano","P01",-1.43554579935461,0.163768055329812
"Schwann","P01",0.420794583947845,0.202790031616885
"CD4 T","P02",0.778042199115288,0.435366424956333
"CD8 T","P02",1.63579204730202,0.84950361868756
"Treg","P02",2.09302885447969,0.683143227641952
"NK","P02",1.14610707921683,0.627014648564389
"B cell","P02",-0.616651864773833,0.0426552662884402
"Plasma","P02",-0.0509371122126406,0.48307988514685
"Mono","P02",2.28448172851665,0.834458723436811
"Macro","P02",-1.39250628123911,0.0269770611149158
"cDC","P02",-0.14919200658133,0.316778767389258
"pDC","P02",0.180064499789007,0.520001252568375
"Neutro","P02",0.517634018804027,0.582897017984551
"Mast","P02",-0.677202444099289,0.262334212812136
"Fibro","P02",1.97323168581248,0.884798464424934
"Endo","P02",-0.718917403198939,0.40856547514596
"Pericyte","P02",-1.30521503218519,0.054113208673603
"Epi","P02",1.51015737301074,0.693660754306551
"Malig","P02",0.54720754853455,0.526046471737025
"Keratin","P02",-0.163649025813419,0.782019385827701
"Melano","P02",-0.939304799008341,0.627868005008512
"Schwann","P02",0.203073034316545,0.245795370034457
"CD4 T","P03",-0.676141428713583,0.22645298283998
"CD8 T","P03",0.416177402005724,0.539984437495311
"Treg","P03",0.131497182598666,0.642885824262076
"NK","P03",-1.94169565502479,0.236129924522887
"B cell","P03",1.18868981802219,0.605059796237986
"Plasma","P03",0.784293838734674,0.646236963729582
"Mono","P03",-0.491728045786383,0.550861514592528
"Macro","P03",0.0329052146933248,0.454726747613313
"cDC","P03",-1.37756776097238,0.0923261615681552
"pDC","P03",0.925940700853772,0.412842572303221
"Neutro","P03",-1.13640365153814,0.244101125755758
"Mast","P03",0.84585272897781,0.503143481461026
"Fibro","P03",0.888176910015731,0.0660489474915026
"Endo","P03",-2.24581212983986,0.33549868981897
"Pericyte","P03",-0.73029130357853,0.571212192844523
"Epi","P03",-0.964597315353088,0.335343390863737
"Malig","P03",-1.748667621999,0.0483558225421874
"Keratin","P03",-0.453766684368052,0.47747732550261
"Melano","P03",-1.16337721460769,0.221876499131163
"Schwann","P03",0.0819206537026342,0.269983078825452
"CD4 T","P04",-0.460225446969436,0.103968754529436
"CD8 T","P04",-1.51914359786054,0.614672862997941
"Treg","P04",-1.0496704836847,0.374406516540545
"NK","P04",1.87249026111101,0.471807159889202
"B cell","P04",0.280088590664459,0.35627826619805
"Plasma","P04",-0.599847132743052,0.160192957181788
"Mono","P04",-0.00903044841016065,0.149011292698935
"Macro","P04",0.39026536055802,0.451212659059707
"cDC","P04",-0.438747606837516,0.598835590095407
"pDC","P04",-0.132016734576246,0.231217955904068
"Neutro","P04",1.48277522703249,0.677991962412564
"Mast","P04",-1.09992698278042,0.291356070744465
"Fibro","P04",0.205144038101698,0.2148945367837
"Endo","P04",0.358358201565319,0.247922248078734
"Pericyte","P04",-0.886496324359488,0.608597109054383
"Epi","P04",-0.607510996303504,0.802944955910381
"Malig","P04",-0.984679042102398,0.127641991623489
"Keratin","P04",0.630096021378783,0.123641127312334
"Melano","P04",0.229694111806043,0.376733090455643
"Schwann","P04",0.480974617795026,0.128746614687751
"CD4 T","P05",1.40496611423894,0.135424398282783
"CD8 T","P05",-0.598843128972051,0.0772305432914819
"Treg","P05",-0.368333507793591,0.414188664063954
"NK","P05",-0.958372619581307,0.375446187811061
"B cell","P05",-0.668929668593923,0.233474418902818
"Plasma","P05",-0.905286924103685,0.217986994615779
"Mono","P05",1.49511613652654,0.524021625071217
"Macro","P05",0.20823484858368,0.118643268548975
"cDC","P05",-0.140445794203577,0.611205346828709
"pDC","P05",-0.896866910168791,0.258567775164234
"Neutro","P05",-0.140992229202795,0.676514450226208
"Mast","P05",-1.0485412713877,0.494045474005196
"Fibro","P05",-0.836384631128727,0.0697304549246184
"Endo","P05",1.19941892508686,0.662304839771463
"Pericyte","P05",-0.787984126881997,0.425038231889463
"Epi","P05",0.436171904816143,0.164274877502023
"Malig","P05",-0.214426636646108,0.692376450831782
"Keratin","P05",-0.587030593246481,0.330953240660182
"Melano","P05",0.0409462907082918,0.245774808493766
"Schwann","P05",-0.700957992598114,0.354774020946664
"CD4 T","P06",-0.915291751454975,0.0976151017742408
"CD8 T","P06",0.18472526062591,0.260987713783384
"Treg","P06",1.13914731426538,0.383168377707694
"NK","P06",0.255757189823162,0.93264566008119
"B cell","P06",0.628345237568508,0.160972130819898
"Plasma","P06",-1.42332139920807,0.743399504497355
"Mono","P06",0.0208585819031338,0.481382866449316
"Macro","P06",1.26336093960699,0.745740982781301
"cDC","P06",0.545186851480358,0.849225488066593
"pDC","P06",-0.00332196932653167,0.682015027038343
"Neutro","P06",-0.740904400676137,0.18072232812248
"Mast","P06",-1.03909818519899,0.257356566429327
"Fibro","P06",-0.615962704057882,0.366219508935502
"Endo","P06",-0.786979255261607,0.375767163251117
"Pericyte","P06",0.442140522635726,0.651002318101057
"Epi","P06",-0.36097338666604,0.0953890787352577
"Malig","P06",-0.0810355798810587,0.536551194677797
"Keratin","P06",-0.936381561880948,0.172547721779724
"Melano","P06",0.101846306930448,0.693979892745187
"Schwann","P06",0.815471508450037,0.571967908835671
"CD4 T","P07",-0.199185722158623,0.235225336210498
"CD8 T","P07",1.89312181064939,0.789884881106341
"Treg","P07",-0.046811786201732,0.391239893140791
"NK","P07",0.201108841723394,0.628810074359039
"B cell","P07",0.420283969084604,0.505949986117682
"Plasma","P07",0.442701765516555,0.705282168880125
"Mono","P07",-1.69246289557138,0.486368622306477
"Macro","P07",0.605322369220585,0.579334596243834
"cDC","P07",-0.615699881976525,0.0471261574270501
"pDC","P07",0.780158100142994,0.333011910231481
"Neutro","P07",1.74336102239855,0.841275969093498
"Mast","P07",-0.201221209019777,0.73262535770623
"Fibro","P07",0.0840268606313217,0.18862617104304
"Endo","P07",1.48316175078544,0.0148814072920443
"Pericyte","P07",-1.15720310490625,0.0453177822560649
"Epi","P07",1.0149535620941,0.302538161734057
"Malig","P07",-0.815835518676738,0.724768327900064
"Keratin","P07",-1.56865151730812,0.218220502402969
"Melano","P07",0.124691240813701,0.426068588012861
"Schwann","P07",0.931571363935696,0.678538846603297
"CD4 T","P08",-0.952436081753157,0.614836453585468
"CD8 T","P08",-0.0189014630356283,0.19470920220478
"Treg","P08",-0.207020943638229,0.189096164404038
"NK","P08",0.599960674606772,0.388552641768829
"B cell","P08",-1.31286973627354,0.413707838714257
"Plasma","P08",-0.586079716813693,0.555751207429098
"Mono","P08",-1.18208469533345,0.464631680513507
"Macro","P08",-0.938015394499676,0.130408570285514
"cDC","P08",-0.391788497069933,0.400508129466312
"pDC","P08",0.998814367200415,0.422166329942867
"Neutro","P08",-0.0207032001262407,0.135107141618522
"Mast","P08",-0.00315060924302624,0.2781499534984
"Fibro","P08",0.656459194500085,0.500445630020224
"Endo","P08",0.377154405281583,0.322956420790719
"Pericyte","P08",-0.09765290874443,0.692694907643449
"Epi","P08",0.655240838818705,0.450116762663713
"Malig","P08",-0.789022520040106,0.153597953070886
"Keratin","P08",-2.66199910358997,0.20343194012836
"Melano","P08",0.6954014560965,0.159408755235074
"Schwann","P08",1.72626887130796,0.671957573389415
"CD4 T","P09",-0.897816404059714,0.598605969220638
"CD8 T","P09",0.489165984224027,0.452084944906242
"Treg","P09",-0.779657958817957,0.281962095753961
"NK","P09",-2.7145892003426,0.119322408773048
"B cell","P09",-1.02720511756871,0.7069114005031
"Plasma","P09",0.630062713903339,0.705934700074881
"Mono","P09",-0.537238146920239,0.400751041945889
"Macro","P09",-0.506648630724925,0.289553462150893
"cDC","P09",-0.802599756838271,0.138895350010313
"pDC","P09",0.390917773648313,0.391650205228972
"Neutro","P09",-0.0660912475517123,0.06376691543119
"Mast","P09",-0.301324127466669,0.465947760841822
"Fibro","P09",-1.31606008319005,0.0525103008028046
"Endo","P09",-0.0544329452706371,0.647106010175501
"Pericyte","P09",0.11956489349958,0.768380328850392
"Epi","P09",0.141846069552887,0.705865819563648
"Malig","P09",0.831157243352611,0.116129462408012
"Keratin","P09",-1.78458432162548,0.162851960232443
"Melano","P09",-0.0910938912649976,0.203524577473012
"Schwann","P09",0.0456096066951757,0.473099785294983
"CD4 T","P10",-1.11481015181787,0.0941909308871166
"CD8 T","P10",0.94695620970335,0.710790554388085
"Treg","P10",1.29117021097941,0.674317885958984
"NK","P10",0.247941460254001,0.609732876076571
"B cell","P10",-0.581653780821411,0.648278684408166
"Plasma","P10",-1.43188521835907,0.06218445449977
"Mono","P10",0.193641700991376,0.183671269592681
"Macro","P10",-0.481217833243272,0.27684217786611
"cDC","P10",-0.552616127307184,0.563087195627375
"pDC","P10",-0.661837366599993,0.155590982762582
"Neutro","P10",-0.932512809660847,0.309563328906792
"Mast","P10",-0.489938118396783,0.165416458460689
"Fibro","P10",1.01111438528994,0.370005261846099
"Endo","P10",0.109459480490933,0.121975839798802
"Pericyte","P10",-0.650240641887011,0.59210820877787
"Epi","P10",0.65325261967248,0.78145445098849
"Malig","P10",0.27608036865815,0.54990631823056
"Keratin","P10",-0.433581498186044,0.227991142477995
"Melano","P10",0.170081224603545,0.431625366536335
"Schwann","P10",-1.2447505860157,0.472142998971184
"CD4 T","P11",-1.33342352821009,0.0563082316727073
"CD8 T","P11",1.03712335201291,0.630944374669383
"Treg","P11",-0.0599055470810986,0.648015443207975
"NK","P11",-0.661202440266456,0.225333207168985
