"row","col","Lymphoid","Myeloid","Stromal","size"
"CD4 T","P01",0.484561843515021,0.498375747434384,0.0170624090505954,0.540316532756877
"CD8 T","P01",0.27901240615777,0.20127988299354,0.51970771084869,0.825799447829447
"Treg","P01",0.658242815309201,0.0811931523026175,0.260564032388182,0.351719246943941
"NK","P01",0.020283114676741,0.871106346812273,0.108610538510985,0.457706575536625
"B cell","P01",0.583538057062503,0.390830120370951,0.0256318225665463,0.823862654842204
"Plasma","P01",0.666832055867854,0.17087639677497,0.162291547357176,0.466532093554209
"Mono","P01",0.548378398508237,0.372296957293319,0.0793246441984444,0.189146662246683
"Macro","P01",0.62336751667764,0.263213330942156,0.113419152380204,0.785646019941028
"cDC","P01",0.52902609588186,0.408846929391671,0.0621269747264688,0.326842983218884
"pDC","P01",0.506572791472563,0.365082163316989,0.128345045210448,0.10526042703732
"Neutro","P01",0.324522918058584,0.117430421226756,0.55804666071466,0.145753752799142
"Mast","P01",0.269125025060584,0.498276133067113,0.232598841872302,0.396075836925919
"Fibro","P01",0.224443363977807,0.691443295114616,0.0841133409075772,0.931467399541872
"Endo","P01",0.229067096081612,0.18787932464009,0.583053579278299,0.239906016706738
"Pericyte","P01",0.217117775605166,0.707867160962578,0.0750150634322561,0.274919526268768
"Epi","P01",0.305379856301046,0.195191767559295,0.499428376139659,0.173409234333658
"Malig","P01",0.660778815618111,0.285930061928439,0.05329112245345,0.51640685942066
"Keratin","P01",0.489566378883688,0.419405515111781,0.0910281060045313,0.38580570768856
"Melano","P01",0.363153581658751,0.454160029159273,0.182686389181976,0.163768055329812
"Schwann","P01",0.662428759117973,0.16108148771652,0.176489753165507,0.202790031616885
"CD4 T","P02",0.87663704483564,0.02325283008825,0.10011012507611,0.435366424956333
"CD8 T","P02",0.446621434744453,0.379858740648697,0.17351982460685,0.84950361868756
"Treg","P02",0.426388169081543,0.566529669138932,0.00708216177952476,0.683143227641952
"NK","P02",0.617313586777013,0.253833970716722,0.128852442506265,0.627014648564389
"B cell","P02",0.408080975861743,0.541806556724484,0.0501124674137733,0.0426552662884402
"Plasma","P02",0.476769637752961,0.135341069965054,0.387889292281985,0.48307988514685
"Mono","P02",0.243181214179345,0.522150062604376,0.234668723216279,0.834458723436811
"Macro","P02",0.624014833871055,0.0780645635961626,0.297920602532782,0.0269770611149158
"cDC","P02",0.545749575234856,0.299629125370985,0.154621299394158,0.316778767389258
"pDC","P02",0.515446165965978,0.120727045767131,0.363826788266891,0.520001252568375
"Neutro","P02",0.716255965360206,0.104505723671172,0.179238310968622,0.582897017984551
