"gene","sample","value","group"
"Gene01","S1",1.1591445192137,"A"
"Gene02","S1",3.38435934347858,"A"
"Gene03","S1",0.744508137372333,"A"
"Gene04","S1",2.07014276642733,"A"
"Gene05","S1",3.71144087270237,"A"
"Gene06","S1",1.39709201854533,"A"
"Gene07","S1",-0.472166385166945,"A"
"Gene08","S1",-0.635371312524283,"A"
"Gene09","S1",-0.285773634866154,"A"
"Gene10","S1",0.138108224803923,"A"
"Gene11","S1",1.22763034385346,"A"
"Gene12","S1",-0.801779454652824,"A"
"Gene13","S1",-1.08039260002739,"A"
"Gene14","S1",-0.157534356106882,"A"
"Gene15","S1",-1.07176003987792,"A"
"Gene16","S1",-0.138986140549846,"A"
"Gene17","S1",-0.597313094712925,"A"
"Gene18","S1",-2.18396676009159,"A"
"Gene19","S1",0.240817255936695,"A"
"Gene20","S1",-0.25935540673425,"A"
"Gene01","S2",2.90051194533325,"A"
"Gene02","S2",2.94186939386774,"A"
"Gene03","S2",3.4679619034197,"A"
"Gene04","S2",2.70676108955791,"A"
"Gene05","S2",2.81900893026215,"A"
"Gene06","S2",1.70651815129755,"A"
"Gene07","S2",1.41858907248595,"A"
"Gene08","S2",1.49877382740649,"A"
"Gene09","S2",-0.657082094485664,"A"
"Gene10","S2",-0.852795440002,"A"
"Gene11","S2",0.315915038361467,"A"
"Gene12","S2",1.10969416765886,"A"
"Gene13","S2",2.21546057167805,"A"
"Gene14","S2",1.21710363895734,"A"
"Gene15","S2",1.47922178663827,"A"
"Gene16","S2",0.951573832417858,"A"
"Gene17","S2",-1.00953264596257,"A"
"Gene18","S2",-2.00047273863795,"A"
"Gene19","S2",-1.76218587245206,"A"
"Gene20","S2",-0.14260812595506,"A"
"Gene01","S3",3.55006036948313,"A"
"Gene02","S3",1.19757681828523,"A"
"Gene03","S3",1.92542108011733,"A"
"Gene04","S3",3.89566795472246,"A"
"Gene05","S3",1.54343105907957,"A"
"Gene06","S3",2.56222336264302,"A"
"Gene07","S3",-0.887008511511427,"A"
"Gene08","S3",-0.460244576195178,"A"
"Gene09","S3",-0.724328486067471,"A"
"Gene10","S3",-0.0692111558341109,"A"
"Gene11","S3",1.46324856294868,"A"
"Gene12","S3",0.187726097433136,"A"
"Gene13","S3",1.02202286133084,"A"
"Gene14","S3",-0.591834832951038,"A"
"Gene15","S3",-0.112200655036137,"A"
"Gene16","S3",-0.924953085865683,"A"
"Gene17","S3",0.753304798295517,"A"
"Gene18","S3",-0.112609070203049,"A"
"Gene19","S3",-0.0640909282197963,"A"
"Gene20","S3",0.233275293545762,"A"
"Gene01","S4",0.863417196851508,"A"
"Gene02","S4",2.85483042312846,"A"
"Gene03","S4",1.42162958103815,"A"
"Gene04","S4",2.49636153903015,"A"
"Gene05","S4",1.23994206938821,"A"
"Gene06","S4",1.65861372960057,"A"
"Gene07","S4",-2.1023291204778,"A"
"Gene08","S4",-0.301702281368895,"A"
"Gene09","S4",-1.2723834421812,"A"
"Gene10","S4",-0.279666109809229,"A"
"Gene11","S4",-0.204097320819576,"A"
"Gene12","S4",-0.225614185517355,"A"
"Gene13","S4",0.347028452022099,"A"
"Gene14","S4",0.0323678425979233,"A"
"Gene15","S4",0.413531289671798,"A"
"Gene16","S4",-0.155348476625379,"A"
"Gene17","S4",0.973485392483047,"A"
"Gene18","S4",0.121090142773478,"A"
"Gene19","S4",0.189173691477455,"A"
"Gene20","S4",-0.562885069825959,"A"
"Gene01","S5",0.498416165001331,"B"
"Gene02","S5",-1.74230249336309,"B"
"Gene03","S5",0.975529097203687,"B"
"Gene04","S5",-0.0240828727364371,"B"
"Gene05","S5",0.675684475314084,"B"
"Gene06","S5",-0.710309605053391,"B"
"Gene07","S5",2.38723264637739,"B"
"Gene08","S5",-0.473432012196463,"B"
"Gene09","S5",-0.0757725566667704,"B"
"Gene10","S5",-0.521840056478283,"B"
"Gene11","S5",0.926047134562351,"B"
"Gene12","S5",-1.06241117161421,"B"
"Gene13","S5",0.557033866297959,"B"
"Gene14","S5",0.900730584912171,"B"
"Gene15","S5",0.989945683688183,"B"
"Gene16","S5",0.383608087579678,"B"
"Gene17","S5",-0.346583813698718,"B"
"Gene18","S5",-0.540189250004419,"B"
"Gene19","S5",-0.182555593266753,"B"
"Gene20","S5",-0.0592996499937566,"B"
"Gene01","S6",-1.99538696782384,"B"
"Gene02","S6",1.13531128117098,"B"
"Gene03","S6",0.675794565753826,"B"
"Gene04","S6",0.208483263107273,"B"
"Gene05","S6",-0.0578456420850543,"B"
"Gene06","S6",0.893811414102594,"B"
"Gene07","S6",-0.228865380775571,"B"
"Gene08","S6",-1.96565264964054,"B"
"Gene09","S6",-0.753510445823568,"B"
"Gene10","S6",1.28015162444013,"B"
"Gene11","S6",-0.952904959742162,"B"
"Gene12","S6",1.62237939300938,"B"
"Gene13","S6",2.60014202012244,"B"
"Gene14","S6",0.139648505121955,"B"
"Gene15","S6",-1.35071967312748,"B"
"Gene16","S6",0.798931017947904,"B"
"Gene17","S6",-1.55499584044527,"B"
"Gene18","S6",0.463720056793994,"B"
"Gene19","S6",0.0524295645731926,"B"
"Gene20","S6",-0.202031800720549,"B"
"Gene01","S7",1.170856422007,"B"
"Gene02","S7",0.884844855572036,"B"
"Gene03","S7",-1.31788860387717,"B"
"Gene04","S7",-1.64325093560507,"B"
"Gene05","S7",1.0592503872462,"B"
"Gene06","S7",0.290083581388744,"B"
"Gene07","S7",-0.400033498893936,"B"
"Gene08","S7",1.24309577806468,"B"
"Gene09","S7",-1.36641051800538,"B"
"Gene10","S7",-1.44141330181324,"B"
"Gene11","S7",1.34854905502778,"B"
"Gene12","S7",-1.97852833969393,"B"
"Gene13","S7",-1.24095058404706,"B"
"Gene14","S7",-0.104039127810068,"B"
"Gene15","S7",0.732972958643441,"B"
"Gene16","S7",0.455679623259831,"B"
"Gene17","S7",0.288079547542953,"B"
"Gene18","S7",-1.07369091067627,"B"
"Gene19","S7",0.648742539463705,"B"
"Gene20","S7",0.299162278550541,"B"
"Gene01","S8",-0.795994993036327,"B"
"Gene02","S8",-0.0293533971599339,"B"
"Gene03","S8",2.18023570119832,"B"
"Gene04","S8",0.95741846863436,"B"
"Gene05","S8",-0.305048634884937,"B"
"Gene06","S8",-0.418403338888872,"B"
"Gene07","S8",0.099954049003644,"B"
"Gene08","S8",-0.229809618161776,"B"
"Gene09","S8",-1.4152148761828,"B"
"Gene10","S8",-0.392598862309439,"B"
"Gene11","S8",0.946088549949595,"B"
"Gene12","S8",0.751770872113376,"B"
"Gene13","S8",-0.517376848489059,"B"
"Gene14","S8",0.808335978394552,"B"
"Gene15","S8",-0.614535223332354,"B"
"Gene16","S8",1.23825892826958,"B"
"Gene17","S8",-0.338095142470524,"B"
"Gene18","S8",1.19636636309019,"B"
"Gene19","S8",-0.443318378624522,"B"
"Gene20","S8",0.186114897250295,"B"
