"feature","sample","value","group"
"p53 pathway","S01",0.754835307076366,"Tumor"
"Cell cycle","S01",-0.181393759941362,"Tumor"
"Interferon","S01",-0.536875832978056,"Tumor"
"Glycolysis","S01",-0.0895605627366376,"Tumor"
"p53 pathway","S02",0.69544588701611,"Tumor"
"Cell cycle","S02",-0.352041592376949,"Tumor"
"Interferon","S02",-0.269026715474151,"Tumor"
"Glycolysis","S02",0.0687165507048877,"Tumor"
"p53 pathway","S03",0.832939285995765,"Tumor"
"Cell cycle","S03",-0.160385917862978,"Tumor"
"Interferon","S03",0.101664490190096,"Tumor"
"Glycolysis","S03",0.5717560888286,"Tumor"
"p53 pathway","S04",1.5912634588446,"Tumor"
"Cell cycle","S04",-0.690707753101136,"Tumor"
"Interferon","S04",0.375518903970555,"Tumor"
"Glycolysis","S04",-0.482743329783388,"Tumor"
"p53 pathway","S05",0.644082189696516,"Tumor"
"Cell cycle","S05",-0.445183762495776,"Tumor"
"Interferon","S05",-0.251679313085163,"Tumor"
"Glycolysis","S05",-0.258157378313839,"Tumor"
"p53 pathway","S06",-0.724646525572778,"Adjacent"
"Cell cycle","S06",0.657459780446813,"Adjacent"
"Interferon","S06",-0.556278346072019,"Adjacent"
"Glycolysis","S06",0.268701332524533,"Adjacent"
"p53 pathway","S07",0.135275692435063,"Adjacent"
"Cell cycle","S07",0.702940412086142,"Adjacent"
"Interferon","S07",-0.192360775064329,"Adjacent"
"Glycolysis","S07",0.105068128188095,"Adjacent"
"p53 pathway","S08",-0.35939792309678,"Adjacent"
"Cell cycle","S08",1.18797055110948,"Adjacent"
"Interferon","S08",-0.368857772263287,"Adjacent"
"Glycolysis","S08",-0.16086175178814,"Adjacent"
"p53 pathway","S09",-0.231522014631689,"Adjacent"
"Cell cycle","S09",1.05719993175221,"Adjacent"
"Interferon","S09",-0.189606065417438,"Adjacent"
"Glycolysis","S09",0.707386286037591,"Adjacent"
"p53 pathway","S10",-0.0896228121327096,"Adjacent"
"Cell cycle","S10",0.737855157020122,"Adjacent"
"Interferon","S10",-0.197632556278753,"Adjacent"
"Glycolysis","S10",-0.625923082236956,"Adjacent"
"p53 pathway","S11",-0.506030512307362,"Normal"
"Cell cycle","S11",0.862247380178642,"Normal"
"Interferon","S11",1.62107812579606,"Normal"
"Glycolysis","S11",-0.0886948484946971,"Normal"
"p53 pathway","S12",0.2747845145427,"Normal"
"Cell cycle","S12",-0.403682467134375,"Normal"
"Interferon","S12",0.583490083575549,"Normal"
"Glycolysis","S12",-0.200932416844123,"Normal"
"p53 pathway","S13",0.525899954690267,"Normal"
"Cell cycle","S13",0.300654342321432,"Normal"
"Interferon","S13",1.4238466508322,"Normal"
"Glycolysis","S13",-0.209987603046905,"Normal"
"p53 pathway","S14",-0.626754811986534,"Normal"
"Cell cycle","S14",-0.0875655301690565,"Normal"
"Interferon","S14",1.16215708866047,"Normal"
"Glycolysis","S14",-0.23489356683728,"Normal"
"p53 pathway","S15",-0.652094653509508,"Normal"
"Cell cycle","S15",-0.00821900623746009,"Normal"
"Interferon","S15",0.606884233622395,"Normal"
"Glycolysis","S15",-0.286042950036402,"Normal"
"p53 pathway","S16",-0.0502131727286725,"Treated"
"Cell cycle","S16",-0.812320375192169,"Treated"
"Interferon","S16",0.304856191904076,"Treated"
"Glycolysis","S16",0.480510635061958,"Treated"
"p53 pathway","S17",-0.623259989369644,"Treated"
"Cell cycle","S17",0.318011368110284,"Treated"
"Interferon","S17",0.141283379212418,"Treated"
"Glycolysis","S17",0.396640016190458,"Treated"
"p53 pathway","S18",0.449310639368975,"Treated"
"Cell cycle","S18",-0.438884558831784,"Treated"
"Interferon","S18",-0.4626732581673,"Treated"
"Glycolysis","S18",0.513647343139079,"Treated"
"p53 pathway","S19",-0.136249974369939,"Treated"
"Cell cycle","S19",0.0776336126507492,"Treated"
"Interferon","S19",0.439721242814447,"Treated"
"Glycolysis","S19",1.09785772265089,"Treated"
"p53 pathway","S20",0.222694594033728,"Treated"
"Cell cycle","S20",-0.286326199766325,"Treated"
"Interferon","S20",-0.0396475363218465,"Treated"
"Glycolysis","S20",1.17323156382965,"Treated"
