"module","trait","r"
"M1","Stage",0.46034520588085
"M2","Stage",0.225809229125454
"M3","Stage",-0.0431223755067742
"M4","Stage",0.297276999674682
"M1","Grade",-0.262897844387151
"M2","Grade",0.706975104005869
"M3","Grade",-0.319457448953283
"M4","Grade",-0.836964399757268
"M1","Ki67",-0.341846945404671
"M2","Ki67",0.0850376645500345
"M3","Ki67",-0.17121110334226
"M4","Ki67",0.0870004151610561
"M1","Size",0.517651597011285
"M2","Size",0.0161142650295121
"M3","Size",-0.012180828098811
"M4","Size",0.185821832707493
