"var_a","var_b","r","p","mantel_r"
"pH","pH",1,2.23e-170,NA
"pH","SOC",0.837,3.45e-07,NA
"pH","TN",0.741,3.5e-05,NA
"pH","TP",0.422,0.04,NA
"pH","Moisture",-0.016,0.941,NA
"pH","Temp",-0.002,0.993,NA
"pH","NH4",-0.416,0.0432,NA
"pH","NO3",0.328,0.118,NA
"pH","Salinity",0.115,0.594,NA
"pH","Clay",0.271,0.201,NA
"pH","NPP",0.524,0.00863,NA
"pH","Elevation",-0.065,0.762,NA
"SOC","SOC",1,0,NA
"SOC","TN",0.757,1.82e-05,NA
"SOC","TP",0.436,0.033,NA
"SOC","Moisture",0.023,0.914,NA
"SOC","Temp",0.033,0.878,NA
"SOC","NH4",-0.22,0.301,NA
"SOC","NO3",0.29,0.17,NA
"SOC","Salinity",0.314,0.135,NA
"SOC","Clay",0.225,0.29,NA
"SOC","NPP",0.524,0.00864,NA
"SOC","Elevation",-0.074,0.732,NA
"TN","TN",1,0,NA
"TN","TP",0.207,0.331,NA
"TN","Moisture",0.079,0.715,NA
"TN","Temp",-0.149,0.487,NA
"TN","NH4",-0.12,0.577,NA
"TN","NO3",0.147,0.494,NA
"TN","Salinity",0.091,0.671,NA
"TN","Clay",-0.122,0.57,NA
"TN","NPP",0.549,0.00544,NA
"TN","Elevation",-0.29,0.169,NA
"TP","TP",1,0,NA
"TP","Moisture",0.248,0.242,NA
"TP","Temp",-0.02,0.926,NA
"TP","NH4",-0.181,0.398,NA
"TP","NO3",0.296,0.161,NA
"TP","Salinity",0.199,0.352,NA
"TP","Clay",0.301,0.153,NA
"TP","NPP",0.274,0.195,NA
"TP","Elevation",-0.138,0.52,NA
"Moisture","Moisture",1,0,NA
"Moisture","Temp",-0.674,0.000308,NA
"Moisture","NH4",0.533,0.00737,NA
"Moisture","NO3",-0.241,0.257,NA
"Moisture","Salinity",-0.337,0.108,NA
"Moisture","Clay",-0.299,0.156,NA
"Moisture","NPP",0.647,0.000637,NA
"Moisture","Elevation",-0.512,0.0106,NA
"Temp","Temp",1,0,NA
"Temp","NH4",-0.493,0.0144,NA
"Temp","NO3",-0.039,0.855,NA
"Temp","Salinity",0.491,0.0149,NA
"Temp","Clay",0.211,0.322,NA
"Temp","NPP",-0.48,0.0177,NA
"Temp","Elevation",0.422,0.0402,NA
"NH4","NH4",1,0,NA
"NH4","NO3",-0.049,0.82,NA
"NH4","Salinity",-0.027,0.901,NA
"NH4","Clay",-0.259,0.221,NA
"NH4","NPP",0.208,0.33,NA
"NH4","Elevation",-0.351,0.0923,NA
"NO3","NO3",1,0,NA
"NO3","Salinity",0.173,0.42,NA
