"sample","group","depth","richness"
"Gr_1","Grassland",100,40.14
"Gr_1","Grassland",126,43.42
"Gr_1","Grassland",159,46.26
"Gr_1","Grassland",200,48.53
"Gr_1","Grassland",252,50.28
"Gr_1","Grassland",317,51.49
"Gr_1","Grassland",399,52.27
"Gr_1","Grassland",503,52.7
"Gr_1","Grassland",633,52.9
"Gr_1","Grassland",797,52.98
"Gr_1","Grassland",1004,53
"Gr_1","Grassland",1264,53
"Gr_1","Grassland",1592,53
"Gr_1","Grassland",2005,53
"Gr_1","Grassland",2525,53
"Gr_1","Grassland",3180,53
"Gr_1","Grassland",4005,53
"Gr_1","Grassland",5044,53
"Gr_1","Grassland",6352,53
"Gr_1","Grassland",8000,53
"Gr_2","Grassland",100,41.02
"Gr_2","Grassland",126,44.64
"Gr_2","Grassland",159,47.9
"Gr_2","Grassland",200,50.65
"Gr_2","Grassland",252,52.89
"Gr_2","Grassland",317,54.56
"Gr_2","Grassland",399,55.71
"Gr_2","Grassland",503,56.42
"Gr_2","Grassland",633,56.78
"Gr_2","Grassland",797,56.94
"Gr_2","Grassland",1004,56.99
"Gr_2","Grassland",1264,57
"Gr_2","Grassland",1592,57
"Gr_2","Grassland",2005,57
"Gr_2","Grassland",2525,57
"Gr_2","Grassland",3180,57
"Gr_2","Grassland",4005,57
"Gr_2","Grassland",5044,57
"Gr_2","Grassland",6352,57
"Gr_2","Grassland",8000,57
"Gr_3","Grassland",100,42.05
"Gr_3","Grassland",126,45.68
"Gr_3","Grassland",159,48.92
"Gr_3","Grassland",200,51.63
"Gr_3","Grassland",252,53.82
"Gr_3","Grassland",317,55.47
"Gr_3","Grassland",399,56.61
"Gr_3","Grassland",503,57.34
"Gr_3","Grassland",633,57.74
"Gr_3","Grassland",797,57.92
"Gr_3","Grassland",1004,57.98
"Gr_3","Grassland",1264,58
"Gr_3","Grassland",1592,58
"Gr_3","Grassland",2005,58
"Gr_3","Grassland",2525,58
"Gr_3","Grassland",3180,58
"Gr_3","Grassland",4005,58
