"taxon","diff","low","high","p"
"Bacteroides",0.0365,0.0039,0.0692,0.0241
"Prevotella",0.0679,0.0166,0.1191,0.0104
"Faecalibacterium",0.1112,0.0669,0.1554,1e-04
"Lachnospira",-0.0335,-0.0722,0.0052,0.0934
"Roseburia",-0.0044,-0.0493,0.0405,0.924
"Blautia",-0.0467,-0.0788,-0.0145,0.00497
"Ruminococcus",-0.04,-0.0578,-0.0221,1e-04
"Alistipes",0.0023,-0.0466,0.0513,0.898
"Bifidobacterium",-0.018,-0.052,0.0161,0.281
"Akkermansia",-0.0812,-0.1109,-0.0516,1e-04
"Escherichia",0.1153,0.0811,0.1496,1e-04
"Clostridium",-0.0339,-0.0591,-0.0088,0.00624
"Dialister",0.0516,-0.0033,0.1064,0.0834
"Parabacteroides",-0.0324,-0.081,0.0161,0.26
"Coprococcus",-0.0213,-0.0622,0.0196,0.362
"Subdoligranulum",0.0306,-0.007,0.0682,0.125
"Phascolarctobacterium",0.0406,-0.0051,0.0863,0.101
"Sutterella",-0.1054,-0.1499,-0.061,1e-04
"Oscillospira",0.0395,0.0013,0.0776,0.0463
"Dorea",-0.0876,-0.1359,-0.0392,0.000377
"Streptococcus",-0.0284,-0.0714,0.0146,0.24
"Veillonella",0.0446,0.0025,0.0866,0.0298
"Megamonas",-0.0227,-0.0748,0.0295,0.371
"Collinsella",-0.0177,-0.0487,0.0134,0.331
"Holdemanella",0.0205,-6e-04,0.0417,0.0523
