"sample","group","taxon","abundance","tip"
"S01","Gut","Bacteroides",33.002,"S01"
"S01","Gut","Prevotella",12.009,"S01"
"S01","Gut","Streptococcus",7.271,"S01"
"S01","Gut","Staphylococcus",2.012,"S01"
"S01","Gut","Corynebacterium",1.003,"S01"
"S01","Gut","Lactobacillus",21.26,"S01"
"S01","Gut","Faecalibacterium",26.488,"S01"
"S01","Gut","Veillonella",1.976,"S01"
"S01","Gut","Pseudomonas",2.756,"S01"
"S01","Gut","Bacillus",2.234,"S01"
"S01","Gut","Cutibacterium",0.965,"S01"
"S01","Gut","Haemophilus",2.739,"S01"
"S01","Gut","Neisseria",3.541,"S01"
"S01","Gut","Bifidobacterium",45.588,"S01"
"S01","Gut","Rothia",5.359,"S01"
"S02","Gut","Bacteroides",8.917,"S02"
"S02","Gut","Prevotella",9.58,"S02"
"S02","Gut","Streptococcus",7.101,"S02"
"S02","Gut","Staphylococcus",2.411,"S02"
"S02","Gut","Corynebacterium",1.51,"S02"
"S02","Gut","Lactobacillus",9.789,"S02"
"S02","Gut","Faecalibacterium",15.25,"S02"
"S02","Gut","Veillonella",3.272,"S02"
"S02","Gut","Pseudomonas",6.481,"S02"
"S02","Gut","Bacillus",3.174,"S02"
"S02","Gut","Cutibacterium",3.999,"S02"
"S02","Gut","Haemophilus",2.804,"S02"
"S02","Gut","Neisseria",2.665,"S02"
"S02","Gut","Bifidobacterium",15.126,"S02"
"S02","Gut","Rothia",1.131,"S02"
"S03","Gut","Bacteroides",54.029,"S03"
"S03","Gut","Prevotella",17.11,"S03"
"S03","Gut","Streptococcus",4.384,"S03"
"S03","Gut","Staphylococcus",2.554,"S03"
"S03","Gut","Corynebacterium",1.061,"S03"
"S03","Gut","Lactobacillus",11.144,"S03"
"S03","Gut","Faecalibacterium",33.6,"S03"
"S03","Gut","Veillonella",1.084,"S03"
"S03","Gut","Pseudomonas",1.962,"S03"
"S03","Gut","Bacillus",3.692,"S03"
"S03","Gut","Cutibacterium",2.615,"S03"
"S03","Gut","Haemophilus",1.914,"S03"
"S03","Gut","Neisseria",10.581,"S03"
"S03","Gut","Bifidobacterium",14.985,"S03"
"S03","Gut","Rothia",2.281,"S03"
"S04","Gut","Bacteroides",26.159,"S04"
"S04","Gut","Prevotella",8.727,"S04"
"S04","Gut","Streptococcus",0.31,"S04"
"S04","Gut","Staphylococcus",1.901,"S04"
"S04","Gut","Corynebacterium",0.891,"S04"
"S04","Gut","Lactobacillus",19.538,"S04"
"S04","Gut","Faecalibacterium",13.678,"S04"
"S04","Gut","Veillonella",2.314,"S04"
"S04","Gut","Pseudomonas",3.102,"S04"
"S04","Gut","Bacillus",5.629,"S04"
"S04","Gut","Cutibacterium",6.623,"S04"
"S04","Gut","Haemophilus",4.772,"S04"
"S04","Gut","Neisseria",3.956,"S04"
"S04","Gut","Bifidobacterium",16.516,"S04"
"S04","Gut","Rothia",1.551,"S04"
"S05","Gut","Bacteroides",19.358,"S05"
"S05","Gut","Prevotella",6.654,"S05"
"S05","Gut","Streptococcus",5.843,"S05"
"S05","Gut","Staphylococcus",3.246,"S05"
"S05","Gut","Corynebacterium",5.366,"S05"
"S05","Gut","Lactobacillus",11.674,"S05"
"S05","Gut","Faecalibacterium",56.396,"S05"
"S05","Gut","Veillonella",3.559,"S05"
"S05","Gut","Pseudomonas",1.203,"S05"
"S05","Gut","Bacillus",2.857,"S05"
"S05","Gut","Cutibacterium",3.715,"S05"
"S05","Gut","Haemophilus",8.714,"S05"
"S05","Gut","Neisseria",4.431,"S05"
"S05","Gut","Bifidobacterium",11.698,"S05"
"S05","Gut","Rothia",1.767,"S05"
"S06","Oral","Bacteroides",3.293,"S06"
"S06","Oral","Prevotella",15.468,"S06"
"S06","Oral","Streptococcus",79.319,"S06"
"S06","Oral","Staphylococcus",2.461,"S06"
"S06","Oral","Corynebacterium",3.159,"S06"
"S06","Oral","Lactobacillus",9.985,"S06"
"S06","Oral","Faecalibacterium",1.865,"S06"
"S06","Oral","Veillonella",9.45,"S06"
"S06","Oral","Pseudomonas",2.257,"S06"
"S06","Oral","Bacillus",1.355,"S06"
"S06","Oral","Cutibacterium",0.224,"S06"
"S06","Oral","Haemophilus",66.02,"S06"
"S06","Oral","Neisseria",16.871,"S06"
"S06","Oral","Bifidobacterium",4.294,"S06"
"S06","Oral","Rothia",16.282,"S06"
"S07","Oral","Bacteroides",6.815,"S07"
"S07","Oral","Prevotella",9.091,"S07"
"S07","Oral","Streptococcus",44.407,"S07"
"S07","Oral","Staphylococcus",5.448,"S07"
"S07","Oral","Corynebacterium",5.089,"S07"
"S07","Oral","Lactobacillus",5.283,"S07"
"S07","Oral","Faecalibacterium",0.86,"S07"
"S07","Oral","Veillonella",22.371,"S07"
"S07","Oral","Pseudomonas",2.761,"S07"
"S07","Oral","Bacillus",2.67,"S07"
"S07","Oral","Cutibacterium",2.449,"S07"
"S07","Oral","Haemophilus",10.709,"S07"
"S07","Oral","Neisseria",9.763,"S07"
"S07","Oral","Bifidobacterium",5.035,"S07"
"S07","Oral","Rothia",4.821,"S07"
"S08","Oral","Bacteroides",7.236,"S08"
"S08","Oral","Prevotella",14.989,"S08"
"S08","Oral","Streptococcus",50.063,"S08"
"S08","Oral","Staphylococcus",3.287,"S08"
"S08","Oral","Corynebacterium",6.912,"S08"
"S08","Oral","Lactobacillus",2.492,"S08"
"S08","Oral","Faecalibacterium",1.57,"S08"
"S08","Oral","Veillonella",25.31,"S08"
"S08","Oral","Pseudomonas",2.395,"S08"
"S08","Oral","Bacillus",6.236,"S08"
"S08","Oral","Cutibacterium",3.072,"S08"
"S08","Oral","Haemophilus",10.811,"S08"
"S08","Oral","Neisseria",22.859,"S08"
"S08","Oral","Bifidobacterium",2.265,"S08"
"S08","Oral","Rothia",5.547,"S08"
"S09","Oral","Bacteroides",17.489,"S09"
"S09","Oral","Prevotella",2.759,"S09"
"S09","Oral","Streptococcus",32.556,"S09"
"S09","Oral","Staphylococcus",1.957,"S09"
"S09","Oral","Corynebacterium",2.645,"S09"
"S09","Oral","Lactobacillus",10.182,"S09"
"S09","Oral","Faecalibacterium",1.073,"S09"
"S09","Oral","Veillonella",16.995,"S09"
"S09","Oral","Pseudomonas",6.877,"S09"
"S09","Oral","Bacillus",1.954,"S09"
"S09","Oral","Cutibacterium",3.875,"S09"
"S09","Oral","Haemophilus",27.242,"S09"
"S09","Oral","Neisseria",44.555,"S09"
"S09","Oral","Bifidobacterium",10.073,"S09"
"S09","Oral","Rothia",6.77,"S09"
"S10","Oral","Bacteroides",4.669,"S10"
"S10","Oral","Prevotella",14.478,"S10"
"S10","Oral","Streptococcus",15.509,"S10"
"S10","Oral","Staphylococcus",0.61,"S10"
"S10","Oral","Corynebacterium",2.268,"S10"
"S10","Oral","Lactobacillus",14.321,"S10"
"S10","Oral","Faecalibacterium",1.527,"S10"
"S10","Oral","Veillonella",29.544,"S10"
"S10","Oral","Pseudomonas",1.011,"S10"
"S10","Oral","Bacillus",0.737,"S10"
"S10","Oral","Cutibacterium",2.306,"S10"
"S10","Oral","Haemophilus",23.192,"S10"
"S10","Oral","Neisseria",7.3,"S10"
"S10","Oral","Bifidobacterium",5.334,"S10"
"S10","Oral","Rothia",26.792,"S10"
"S11","Skin","Bacteroides",1.847,"S11"
"S11","Skin","Prevotella",4.818,"S11"
"S11","Skin","Streptococcus",3.724,"S11"
"S11","Skin","Staphylococcus",22.803,"S11"
"S11","Skin","Corynebacterium",28.493,"S11"
"S11","Skin","Lactobacillus",1.997,"S11"
"S11","Skin","Faecalibacterium",1.238,"S11"
"S11","Skin","Veillonella",1.811,"S11"
"S11","Skin","Pseudomonas",4.465,"S11"
"S11","Skin","Bacillus",4.369,"S11"
