"source","target","value"
"Mac","Bcell",8.26
"Neutro","Bcell",0.64
"Tcell","Bcell",4.88
"Bcell","DC",0.58
"Mono","DC",15.42
"NK","DC",6.93
"Stroma","DC",9.22
"Tcell","DC",6.87
"Neutro","Mac",14.76
"Stroma","Mac",5.45
"Bcell","Mono",1.39
"DC","Mono",10.13
"Mac","Mono",8.48
"NK","Mono",11.66
"Stroma","Mono",1.92
"Tcell","Mono",3.55
"Stroma","Neutro",5.55
"Mac","NK",33.83
"Mono","NK",5.32
"Tcell","NK",1.47
"Bcell","Stroma",6.53
"Mac","Stroma",3.73
"Neutro","Stroma",4.65
"NK","Stroma",11.11
"Bcell","Tcell",14.37
"DC","Tcell",11.85
"Neutro","Tcell",0.26
"NK","Tcell",0.56
