"from","to","weight","community"
"N01","N36",0.641,"C2"
"N01","N38",0.08,"C2"
"N02","N03",0.784,"C1"
"N02","N05",0.894,"C1"
"N02","N10",0.76,"C1"
"N02","N15",0.702,"C1"
"N03","N11",0.703,"C1"
"N03","N23",0.91,"C1"
"N03","N25",0.631,"C1"
"N04","N16",0.933,"C2"
"N04","N23",0.21,"C2"
"N04","N36",0.894,"C2"
"N05","N17",0.794,"C1"
"N06","N26",0.165,"C3"
"N06","N27",0.506,"C3"
"N06","N30",0.656,"C3"
"N07","N26",0.594,"C4"
"N08","N16",0.587,"C2"
"N08","N28",0.819,"C2"
"N08","N33",0.947,"C2"
"N09","N10",0.63,"C1"
"N09","N15",0.889,"C1"
"N09","N25",0.912,"C1"
"N10","N17",0.944,"C1"
"N11","N12",0.08,"C1"
"N11","N15",0.679,"C1"
"N13","N14",0.635,"C2"
"N13","N21",0.855,"C2"
"N13","N40",0.827,"C2"
"N14","N33",0.497,"C2"
"N14","N34",0.593,"C2"
"N14","N37",0.635,"C2"
"N15","N23",0.65,"C1"
"N16","N21",0.947,"C2"
"N16","N22",0.391,"C2"
"N16","N33",0.738,"C2"
"N17","N23",0.746,"C1"
"N17","N27",0.333,"C1"
"N18","N22",0.329,"C3"
"N18","N24",0.403,"C3"
"N18","N37",0.267,"C3"
"N19","N26",0.573,"C4"
"N19","N29",0.756,"C4"
"N19","N31",0.443,"C4"
"N19","N35",0.839,"C4"
"N21","N33",0.734,"C2"
"N22","N23",0.149,"C2"
"N22","N27",0.415,"C2"
"N26","N29",0.734,"C4"
"N26","N31",0.947,"C4"
"N28","N39",0.08,"C2"
"N30","N39",0.528,"C3"
"N31","N38",0.835,"C4"
"N32","N36",0.08,"C3"
"N32","N39",0.879,"C3"
"N33","N36",0.632,"C2"
"N34","N36",0.83,"C2"
"N34","N37",0.742,"C2"
"N20","N32",0.535,"C3"
