"tip","parent","length","group","bootstrap"
"N42","N41",0.1,NA,98
"N43","N42",0.1,NA,91
"N47","N43",0.32457,NA,84
"N49","N47",0.45805,NA,99
"N50","N49",0.03591,NA,92
"N51","N50",0.01299,NA,88
"T04","N51",0.00164,"North",NA
"T02","N51",0.00164,"North",NA
"T07","N50",0.01463,"North",NA
"T08","N49",0.05054,"North",NA
"N48","N47",0.35495,NA,84
"T03","N48",0.15364,"North",NA
"T05","N48",0.15364,"North",NA
"N44","N43",0.67634,NA,92
"N45","N44",0.14415,NA,89
"N46","N45",0.01266,NA,87
"T10","N46",2e-05,"North",NA
"T01","N46",2e-05,"North",NA
"T09","N45",0.01268,"North",NA
"T06","N44",0.15683,"North",NA
"N52","N42",0.16,NA,89
"N53","N52",0.12671,NA,98
"N54","N53",0.06438,NA,94
"N55","N54",0.01177,NA,100
"N56","N55",0.03776,NA,96
"T18","N56",0.00235,"South",NA
"T13","N56",0.00235,"South",NA
"T20","N55",0.04012,"South",NA
"T19","N54",0.05188,"South",NA
"N57","N53",0.0833,NA,93
"N58","N57",0.00281,NA,93
"T14","N58",0.03014,"South",NA
"T12","N58",0.03014,"South",NA
"T11","N57",0.03296,"South",NA
"N59","N52",0.2014,NA,93
"N60","N59",0.00798,NA,91
"T15","N60",0.03359,"South",NA
"T16","N60",0.03359,"South",NA
"T17","N59",0.04157,"South",NA
"N61","N41",0.16,NA,89
"N62","N61",0.07,NA,96
"N63","N62",0.08821,NA,98
"N64","N63",0.12369,NA,97
"N66","N64",0.00737,NA,95
"N67","N66",0.05049,NA,90
"N68","N67",0.00516,NA,85
"T29","N68",0.0305,"East",NA
"T22","N68",0.0305,"East",NA
"T21","N67",0.03566,"East",NA
"T30","N66",0.08614,"East",NA
"N65","N64",0.01291,NA,94
"T26","N65",0.08061,"East",NA
"T24","N65",0.08061,"East",NA
"T27","N63",0.21721,"East",NA
"N69","N62",0.10416,NA,99
"N70","N69",0.14515,NA,97
"T28","N70",0.05611,"East",NA
"T25","N70",0.05611,"East",NA
"T23","N69",0.20126,"East",NA
"N71","N61",0.07,NA,97
"N72","N71",0.36901,NA,98
"N73","N72",0.00769,NA,95
"N75","N73",0.29602,NA,95
"N77","N75",0.13779,NA,90
"N78","N77",0.08188,NA,93
"T33","N78",0.01431,"West",NA
"T34","N78",0.01431,"West",NA
"T36","N77",0.09619,"West",NA
"N76","N75",0.16324,NA,95
"T37","N76",0.07074,"West",NA
"T38","N76",0.07074,"West",NA
"N74","N73",0.49257,NA,94
"T32","N74",0.03744,"West",NA
"T35","N74",0.03744,"West",NA
"T31","N72",0.53769,"West",NA
"N79","N71",0.8231,NA,92
"T39","N79",0.0836,"West",NA
"T40","N79",0.0836,"West",NA
