"tip","parent","length","trait","value"
"N32","N31",0.85343,"",NA
"N33","N32",0.36562,"",NA
"N34","N33",0.14441,"",NA
"N36","N34",0.10981,"",NA
"N43","N36",0.236,"",NA
"N44","N43",0.00654,"",NA
"N57","N44",0.06821,"",NA
"S26","N57",0.00221,"",NA
"S10","N57",0.00221,"",NA
"S20","N44",0.07042,"",NA
"S09","N43",0.07697,"",NA
"N48","N36",0.28205,"",NA
"S18","N48",0.03092,"",NA
"S28","N48",0.03092,"",NA
"S19","N34",0.42279,"",NA
"N38","N33",0.34768,"",NA
"N39","N38",0.01704,"",NA
"N45","N39",0.13951,"",NA
"N56","N45",0.05937,"",NA
"N58","N56",0.00176,"",NA
"S07","N58",0.00183,"",NA
"S25","N58",0.00183,"",NA
"S17","N56",0.0036,"",NA
"S29","N45",0.06296,"",NA
"S15","N39",0.20248,"",NA
"N49","N38",0.19614,"",NA
"S12","N49",0.02338,"",NA
"S27","N49",0.02338,"",NA
"N37","N32",0.66947,"",NA
"N42","N37",0.13645,"",NA
"N50","N42",0.10643,"",NA
"N51","N50",0.00261,"",NA
"S03","N51",0.01785,"",NA
"S08","N51",0.01785,"",NA
"S16","N50",0.02047,"",NA
"N52","N42",0.11913,"",NA
"S30","N52",0.00778,"",NA
"S02","N52",0.00778,"",NA
"S11","N37",0.26335,"",NA
"N35","N31",1.37656,"",NA
"N40","N35",0.22645,"",NA
"N46","N40",0.13624,"",NA
"N53","N46",0.0413,"",NA
"N54","N53",1e-04,"",NA
"N59","N54",0.00423,"",NA
"S22","N59",0.00138,"",NA
"S06","N59",0.00138,"",NA
"S14","N54",0.00561,"",NA
"S24","N53",0.00571,"",NA
"N47","N46",0.0158,"",NA
"N55","N47",0.02669,"",NA
"S21","N55",0.00452,"",NA
"S13","N55",0.00452,"",NA
"S04","N47",0.03121,"",NA
"N41","N40",0.04392,"",NA
"S05","N41",0.13933,"",NA
"S23","N41",0.13933,"",NA
"S01","N35",0.4097,"",NA
"S09","",NA,"T01",0.702
"S26","",NA,"T01",0.095
"S10","",NA,"T01",0.237
"S20","",NA,"T01",0.111
"S18","",NA,"T01",1.196
"S28","",NA,"T01",0.231
"S19","",NA,"T01",-0.776
"S12","",NA,"T01",-0.863
"S27","",NA,"T01",-0.565
"S15","",NA,"T01",-0.481
"S17","",NA,"T01",-1.118
"S07","",NA,"T01",-1.421
"S25","",NA,"T01",-1.089
"S29","",NA,"T01",-0.773
"S11","",NA,"T01",-1.344
"S30","",NA,"T01",-1.446
"S02","",NA,"T01",-1.204
"S16","",NA,"T01",-0.757
"S03","",NA,"T01",-0.972
"S08","",NA,"T01",-0.566
"S01","",NA,"T01",0.169
"S05","",NA,"T01",1.134
"S23","",NA,"T01",0.399
"S24","",NA,"T01",0.985
"S22","",NA,"T01",1.015
"S06","",NA,"T01",1.025
"S14","",NA,"T01",1.278
"S21","",NA,"T01",1.582
