"sample","pop","k","ancestry","q"
"WN_01","Wild N",2,"A1",0.875414153007892
"WN_01","Wild N",2,"A2",0.124585846992108
"WN_02","Wild N",2,"A1",0.91636356580955
"WN_02","Wild N",2,"A2",0.0836364341904498
"WN_03","Wild N",2,"A1",0.889361944960934
"WN_03","Wild N",2,"A2",0.110638055039066
"WN_04","Wild N",2,"A1",0.890048892964179
"WN_04","Wild N",2,"A2",0.109951107035821
"WN_05","Wild N",2,"A1",0.874932618014747
"WN_05","Wild N",2,"A2",0.125067381985253
"WN_06","Wild N",2,"A1",0.945849588754142
"WN_06","Wild N",2,"A2",0.0541504112458576
"WN_07","Wild N",2,"A1",0.92428916280336
"WN_07","Wild N",2,"A2",0.0757108371966398
"WN_08","Wild N",2,"A1",0.953143523620681
"WN_08","Wild N",2,"A2",0.046856476379319
"WN_09","Wild N",2,"A1",0.884395336168735
"WN_09","Wild N",2,"A2",0.115604663831265
"WN_10","Wild N",2,"A1",0.92771175134433
"WN_10","Wild N",2,"A2",0.0722882486556706
"WN_11","Wild N",2,"A1",0.905051297786499
"WN_11","Wild N",2,"A2",0.0949487022135012
"WN_12","Wild N",2,"A1",0.824668205132848
"WN_12","Wild N",2,"A2",0.175331794867152
"WN_13","Wild N",2,"A1",0.880783247770242
"WN_13","Wild N",2,"A2",0.119216752229758
"WN_14","Wild N",2,"A1",0.878001244114548
"WN_14","Wild N",2,"A2",0.121998755885451
"WN_15","Wild N",2,"A1",0.687206268372193
"WN_15","Wild N",2,"A2",0.312793731627807
"WN_16","Wild N",2,"A1",0.95012085095783
"WN_16","Wild N",2,"A2",0.0498791490421701
"WN_17","Wild N",2,"A1",0.832231395012718
"WN_17","Wild N",2,"A2",0.167768604987282
"WN_18","Wild N",2,"A1",0.956773691025842
"WN_18","Wild N",2,"A2",0.0432263089741582
"WN_19","Wild N",2,"A1",0.95289429912434
"WN_19","Wild N",2,"A2",0.0471057008756605
"WN_20","Wild N",2,"A1",0.977741832835936
"WN_20","Wild N",2,"A2",0.0222581671640636
"WS_01","Wild S",2,"A1",0.614056395376207
"WS_01","Wild S",2,"A2",0.385943604623793
"WS_02","Wild S",2,"A1",0.869576258628081
"WS_02","Wild S",2,"A2",0.130423741371919
"WS_03","Wild S",2,"A1",0.821424686737757
"WS_03","Wild S",2,"A2",0.178575313262243
"WS_04","Wild S",2,"A1",0.762854505440032
