"pop_a","pop_b","fst"
"WN1","WN1",0
"WN1","WN2",0.017
"WN2","WN2",0
"WN1","WS1",0.052
"WN2","WS1",0.06
"WS1","WS1",0
"WN1","WS2",0.045
"WN2","WS2",0.046
"WS1","WS2",0.024
"WS2","WS2",0
"WN1","LE1",0.085
"WN2","LE1",0.094
"WS1","LE1",0.057
"WS2","LE1",0.055
"LE1","LE1",0
"WN1","LE2",0.087
"WN2","LE2",0.089
"WS1","LE2",0.053
"WS2","LE2",0.055
"LE1","LE2",0.027
"LE2","LE2",0
"WN1","LW1",0.13
"WN2","LW1",0.125
"WS1","LW1",0.103
"WS2","LW1",0.094
"LE1","LW1",0.065
"LE2","LW1",0.054
"LW1","LW1",0
"WN1","LW2",0.123
"WN2","LW2",0.132
"WS1","LW2",0.093
"WS2","LW2",0.081
"LE1","LW2",0.051
"LE2","LW2",0.061
"LW1","LW2",0.014
"LW2","LW2",0
"WN1","CA1",0.221
"WN2","CA1",0.225
"WS1","CA1",0.192
"WS2","CA1",0.186
"LE1","CA1",0.09
"LE2","CA1",0.095
"LW1","CA1",0.054
"LW2","CA1",0.043
"CA1","CA1",0
"WN1","CA2",0.218
"WN2","CA2",0.231
"WS1","CA2",0.172
"WS2","CA2",0.186
"LE1","CA2",0.095
"LE2","CA2",0.092
"LW1","CA2",0.048
"LW2","CA2",0.053
"CA1","CA2",0.025
"CA2","CA2",0
"WN1","CB1",0.268
"WN2","CB1",0.271
"WS1","CB1",0.223
"WS2","CB1",0.227
"LE1","CB1",0.122
"LE2","CB1",0.134
"LW1","CB1",0.089
"LW2","CB1",0.087
"CA1","CB1",0.056
"CA2","CB1",0.062
"CB1","CB1",0
"WN1","CB2",0.274
"WN2","CB2",0.262
"WS1","CB2",0.234
"WS2","CB2",0.235
"LE1","CB2",0.126
"LE2","CB2",0.133
"LW1","CB2",0.09
"LW2","CB2",0.087
"CA1","CB2",0.051
"CA2","CB2",0.062
"CB1","CB2",0.025
"CB2","CB2",0
