"test","estimate","low","high","z"
"D(WN, CA; LE, OG)",0.04714,0.0327,0.06157,6.4
"D(WN, CA; LW, OG)",0.03678,0.02265,0.05092,5.1
"D(WS, CB; LE, OG)",0.03245,0.01862,0.04627,4.6
"D(WS, CA; LW, OG)",0.03037,0.01471,0.04604,3.8
"D(WN, LE; LW, OG)",0.02365,0.00916,0.03813,3.2
"D(CA, CB; LE, OG)",-0.02671,-0.0386,-0.01481,-4.4
"D(WN, WS; CA, OG)",0.00302,-0.01177,0.0178,0.4
"D(WN, WS; LE, OG)",-0.00536,-0.01849,0.00777,-0.8
"D(LE, LW; CA, OG)",0.00825,-0.00645,0.02296,1.1
"D(LE, LW; WN, OG)",-0.01039,-0.02493,0.00415,-1.4
"D(CA, WN; WS, OG)",0.01911,0.00208,0.03613,2.2
"D(CB, WS; WN, OG)",-0.01701,-0.03091,-0.00312,-2.4
"D(CA, LE; WN, OG)",0.04574,0.02973,0.06174,5.6
"D(CB, LW; WS, OG)",0.03444,0.01798,0.05091,4.1
"D(WN, LW; CA, OG)",-0.0275,-0.0429,-0.0121,-3.5
"D(WS, LE; CB, OG)",0.0242,0.00983,0.03858,3.3
"D(CA, CB; WN, OG)",0.00507,-0.0115,0.02164,0.6
"D(CA, CB; WS, OG)",-0.00211,-0.01588,0.01167,-0.3
"D(LE, CA; WS, OG)",0.01286,-0.00197,0.02769,1.7
"D(LW, CB; WN, OG)",-0.02947,-0.04151,-0.01744,-4.8
"D(WN, CB; LW, OG)",0.01722,0.00424,0.03021,2.6
"D(WS, CA; WN, OG)",-0.00882,-0.02453,0.00689,-1.1
"D(LE, WS; CA, OG)",0.00787,-0.00927,0.02502,0.9
"D(LW, WN; CB, OG)",-0.02423,-0.03742,-0.01104,-3.6
"D(CA, WS; LW, OG)",0.00909,-0.00461,0.02279,1.3
