"dist_km","fst_linear","region"
627.6,0.0528,"North"
1478.4,0.1721,"North"
1587.3,0.1834,"North"
1564.5,0.1865,"North"
408.6,0.053,"North"
207,0.0564,"North"
101.1,0.0203,"North"
1175.7,0.1101,"North"
243.2,0.035,"North"
663.9,0.1358,"North"
408,0.0544,"North"
581.6,0.0914,"North"
1451.7,0.1026,"North"
1026.4,0.1429,"North"
1092,0.1454,"North"
1553.3,0.1539,"North"
914.3,0.1039,"North"
906.3,0.0845,"North"
1199.5,0.127,"North"
617.4,0.031,"North"
307.9,0.0294,"North"
1123.9,0.0876,"North"
261.6,0.0356,"North"
166.2,0.0016,"North"
711,0.0592,"North"
166.6,0.0157,"North"
1552.3,0.136,"North"
819.6,0.0631,"North"
515.7,0.0946,"North"
1459.7,0.1653,"North"
1482.9,0.1588,"North"
1145.6,0.0974,"North"
1405.9,0.1199,"North"
534.5,0.0656,"North"
724,0.0906,"North"
150.2,0.0509,"North"
660.1,0.1153,"North"
1187.6,0.155,"North"
1102.8,0.0532,"North"
95.3,0.043,"North"
973.3,0.0788,"North"
1474.1,0.1065,"North"
1583.3,0.156,"North"
1499.3,0.1789,"North"
1030,0.1133,"North"
662.6,0.0754,"North"
144.7,0.007,"North"
269.1,0.0306,"North"
474.3,0.0642,"North"
1360.9,0.1072,"North"
475.8,0.0855,"North"
670.7,0.0702,"North"
244.7,0.1041,"North"
1421.4,0.1648,"North"
1114.3,0.146,"North"
1425.6,0.1584,"North"
1430.2,0.1337,"North"
1105.8,0.0846,"North"
1129,0.1183,"North"
1186,0.1166,"North"
1525.2,0.1686,"North"
870.7,0.0651,"North"
914.3,0.0776,"North"
788.8,0.0535,"North"
1457.6,0.1413,"North"
834.4,0.1182,"North"
749.7,0.0816,"North"
1479,0.1676,"North"
998.5,0.082,"North"
211.1,0.0441,"North"
989.9,0.1594,"Central"
526,0.0802,"Central"
657.2,0.1115,"Central"
1408.8,0.2097,"Central"
471.7,0.0822,"Central"
1006.7,0.0993,"Central"
1295.8,0.1516,"Central"
1134.9,0.1368,"Central"
611.4,0.0844,"Central"
455.9,0.0481,"Central"
1340,0.1559,"Central"
224.2,0.0504,"Central"
804.9,0.0925,"Central"
347.8,0.0862,"Central"
1357.3,0.1697,"Central"
1124,0.1373,"Central"
528.7,0.0704,"Central"
525.6,0.0767,"Central"
445.6,0.0645,"Central"
1062,0.1304,"Central"
338.8,0.0772,"Central"
1100.9,0.1398,"Central"
1294.4,0.1591,"Central"
822.2,0.0891,"Central"
1447.1,0.1958,"Central"
1551,0.2001,"Central"
71.9,0.0029,"Central"
777.1,0.0804,"Central"
832.2,0.1126,"Central"
760.5,0.1063,"Central"
282.6,0.0082,"Central"
1025.2,0.1219,"Central"
1573.1,0.1997,"Central"
659,0.0644,"Central"
740.1,0.0772,"Central"
1332.8,0.0977,"Central"
1404.3,0.1121,"Central"
1469.4,0.1899,"Central"
523.5,0.0693,"Central"
406.2,0.0129,"Central"
227.9,0.0093,"Central"
201.8,0.0191,"Central"
744.1,0.0783,"Central"
1220.2,0.1404,"Central"
73,0.0214,"Central"
1518.1,0.1989,"Central"
490.3,0.0529,"Central"
718.7,0.0758,"Central"
533.2,0.022,"Central"
689,0.1537,"Central"
1287.4,0.1495,"Central"
453.9,0.0338,"Central"
617.4,0.0698,"Central"
552.7,0.0778,"Central"
238.2,0.0744,"Central"
72.3,0.001,"Central"
1285.4,0.1481,"Central"
1150.4,0.1802,"Central"
696.7,0.0799,"Central"
1111.7,0.1445,"Central"
830.1,0.078,"Central"
1584.4,0.1686,"Central"
59.7,0.0152,"Central"
520.2,0.0653,"Central"
541,0.14,"Central"
245,0.0663,"Central"
1113.1,0.1013,"Central"
708.9,0.0271,"Central"
1293.5,0.1326,"Central"
1111.3,0.1559,"Central"
240.2,0.0098,"South"
437,0.0726,"South"
646.7,0.1409,"South"
771.6,0.1457,"South"
255.2,0.0821,"South"
287.4,0.037,"South"
602.7,0.1344,"South"
395,0.0588,"South"
720.9,0.0927,"South"
668.2,0.104,"South"
747.7,0.1061,"South"
170.7,0.0313,"South"
448.4,0.0651,"South"
29.4,0.001,"South"
385.9,0.1244,"South"
395,0.101,"South"
218.9,0.0308,"South"
59.1,0.0386,"South"
814.8,0.1676,"South"
703.6,0.142,"South"
64.9,0.0292,"South"
575.4,0.1022,"South"
368.5,0.0191,"South"
499.6,0.1034,"South"
838.3,0.2043,"South"
398.7,0.0596,"South"
152.2,0.0295,"South"
766.8,0.0792,"South"
640.3,0.0933,"South"
91.9,0.001,"South"
750.8,0.1266,"South"
257.1,0.0022,"South"
135.8,0.0257,"South"
854,0.1421,"South"
382.9,0.0262,"South"
66.5,0.0431,"South"
712.3,0.1661,"South"
616.1,0.1023,"South"
532.9,0.0969,"South"
215.7,0.0505,"South"
528.7,0.1188,"South"
423,0.1496,"South"
589.8,0.0975,"South"
467.3,0.0738,"South"
624.1,0.1136,"South"
83.9,0.001,"South"
652.9,0.1023,"South"
60.9,0.0292,"South"
510.7,0.0939,"South"
806.1,0.1247,"South"
475.1,0.0492,"South"
573.2,0.0838,"South"
247,0.0751,"South"
796.6,0.1887,"South"
692.2,0.1462,"South"
794.9,0.1113,"South"
375.3,0.1093,"South"
381.6,0.0686,"South"
588.3,0.1096,"South"
479,0.0511,"South"
