"pop","dist_kb","r2"
"Wild N",1,0.4524
"Wild N",1.2,0.4468
"Wild N",1.5,0.4379
"Wild N",1.9,0.4262
"Wild N",2.3,0.3982
"Wild N",2.8,0.3869
"Wild N",3.5,0.3409
"Wild N",4.2,0.3398
"Wild N",5.2,0.3159
"Wild N",6.4,0.2601
"Wild N",7.9,0.193
"Wild N",9.7,0.1884
"Wild N",11.9,0.1609
"Wild N",14.7,0.1016
"Wild N",18,0.0884
"Wild N",22.2,0.0586
"Wild N",27.3,0.0638
"Wild N",33.5,0.0441
"Wild N",41.2,0.037
"Wild N",50.7,0.0467
"Wild N",62.3,0.0487
"Wild N",76.6,0.0413
"Wild N",94.2,0.0389
"Wild N",115.8,0.034
"Wild N",142.4,0.025
"Wild N",175,0.0538
"Wild N",215.2,0.0496
"Wild N",264.6,0.0366
"Wild N",325.3,0.0336
"Wild N",400,0.0404
"Landrace E",1,0.5602
"Landrace E",1.2,0.5727
"Landrace E",1.5,0.5764
"Landrace E",1.9,0.5654
"Landrace E",2.3,0.5514
"Landrace E",2.8,0.5436
"Landrace E",3.5,0.5313
"Landrace E",4.2,0.5358
"Landrace E",5.2,0.5003
"Landrace E",6.4,0.4796
"Landrace E",7.9,0.4648
"Landrace E",9.7,0.4352
"Landrace E",11.9,0.4217
"Landrace E",14.7,0.3954
"Landrace E",18,0.3488
"Landrace E",22.2,0.301
"Landrace E",27.3,0.2764
"Landrace E",33.5,0.2417
"Landrace E",41.2,0.1937
"Landrace E",50.7,0.1629
"Landrace E",62.3,0.1072
"Landrace E",76.6,0.1209
"Landrace E",94.2,0.0901
"Landrace E",115.8,0.0878
"Landrace E",142.4,0.0622
"Landrace E",175,0.073
"Landrace E",215.2,0.0657
"Landrace E",264.6,0.0934
"Landrace E",325.3,0.0794
"Landrace E",400,0.084
"Cultivar A",1,0.6885
"Cultivar A",1.2,0.6678
"Cultivar A",1.5,0.648
"Cultivar A",1.9,0.6567
"Cultivar A",2.3,0.6534
"Cultivar A",2.8,0.6622
"Cultivar A",3.5,0.6696
"Cultivar A",4.2,0.6478
"Cultivar A",5.2,0.6365
"Cultivar A",6.4,0.6328
"Cultivar A",7.9,0.6238
"Cultivar A",9.7,0.588
"Cultivar A",11.9,0.5989
"Cultivar A",14.7,0.5984
"Cultivar A",18,0.5571
"Cultivar A",22.2,0.5282
"Cultivar A",27.3,0.5023
"Cultivar A",33.5,0.4392
"Cultivar A",41.2,0.4252
"Cultivar A",50.7,0.3928
"Cultivar A",62.3,0.3559
"Cultivar A",76.6,0.2952
"Cultivar A",94.2,0.2452
"Cultivar A",115.8,0.2523
"Cultivar A",142.4,0.1714
"Cultivar A",175,0.154
"Cultivar A",215.2,0.1201
"Cultivar A",264.6,0.1106
"Cultivar A",325.3,0.1143
"Cultivar A",400,0.0871
"Cultivar B",1,0.7312
"Cultivar B",1.2,0.7359
"Cultivar B",1.5,0.7346
"Cultivar B",1.9,0.7211
"Cultivar B",2.3,0.7343
"Cultivar B",2.8,0.719
"Cultivar B",3.5,0.7028
"Cultivar B",4.2,0.7288
"Cultivar B",5.2,0.7105
"Cultivar B",6.4,0.6957
"Cultivar B",7.9,0.7132
"Cultivar B",9.7,0.696
"Cultivar B",11.9,0.7029
"Cultivar B",14.7,0.657
"Cultivar B",18,0.6658
"Cultivar B",22.2,0.6183
"Cultivar B",27.3,0.5925
"Cultivar B",33.5,0.6016
"Cultivar B",41.2,0.5359
"Cultivar B",50.7,0.5094
"Cultivar B",62.3,0.4729
"Cultivar B",76.6,0.4452
"Cultivar B",94.2,0.389
"Cultivar B",115.8,0.3521
"Cultivar B",142.4,0.3071
"Cultivar B",175,0.2603
"Cultivar B",215.2,0.2219
"Cultivar B",264.6,0.1976
"Cultivar B",325.3,0.1782
"Cultivar B",400,0.1659
