"sample","pop","PC1","PC2","PC3","var_explained"
"WN_01","Wild N",4.96525372682892,2.05916408545459,0.73641205247117,26.3
"WN_02","Wild N",5.59777253590178,2.28012842597233,0.758657606393858,26.3
"WN_03","Wild N",4.7140404323518,1.54238871666516,1.04435478438909,26.3
"WN_04","Wild N",5.35433881051127,2.38839680160502,0.600989437417895,26.3
"WN_05","Wild N",5.42375383646579,1.77840349470905,1.12566334022625,26.3
"WN_06","Wild N",6.04525572704514,1.07735509085301,-1.09263667321313,26.3
"WN_07","Wild N",5.6455286960507,2.31575452933738,1.25669443632365,26.3
"WN_08","Wild N",5.11883129337697,2.78578530300568,-0.121549437226381,26.3
"WN_09","Wild N",5.86026036844915,2.30513211728398,0.520948316091193,26.3
"WN_10","Wild N",5.03925325746837,1.19775231013338,1.06264131417821,26.3
"WN_11","Wild N",5.57904263118902,2.94970658182694,-0.803555464656501,26.3
"WN_12","Wild N",4.62771200650116,1.11283267162661,0.7228977301223,26.3
"WN_13","Wild N",6.22798399217179,2.94468387398251,0.747370343098311,26.3
"WN_14","Wild N",4.14388982020231,1.89725646852083,0.945913923327282,26.3
"WS_01","Wild S",2.04453810482601,-3.02433387205163,2.00791795049502,26.3
"WS_02","Wild S",3.53239617584308,-1.8064338508509,2.09594960635194,26.3
"WS_03","Wild S",3.01569306641658,-1.92631410868645,1.72252653358784,26.3
"WS_04","Wild S",4.22234261872504,-2.84558779986283,0.73791712364108,26.3
"WS_05","Wild S",4.35514793427524,-2.67129730598901,-0.655147600638377,26.3
"WS_06","Wild S",3.33513337405631,-3.89839842270846,-0.0299556661888527,26.3
"WS_07","Wild S",3.66792749934755,-3.18270779346105,1.04199379651499,26.3
"WS_08","Wild S",2.71289754271555,-2.86616472986338,-0.222356933797115,26.3
"WS_09","Wild S",2.97979577499091,-2.53797780259188,0.910671238067978,26.3
"WS_10","Wild S",3.68042307054683,-2.35640484586341,0.759212700991155,26.3
"WS_11","Wild S",4.36232080228894,-3.01154242017893,2.28171805994418,26.3
"WS_12","Wild S",2.78247788273838,-2.81613464424808,1.68934021563026,26.3
"WS_13","Wild S",4.49924617293182,-2.46634594690645,0.390899742587328,26.3
"WS_14","Wild S",3.05905064246164,-2.91214349919942,0.364895116946192,26.3
"LE_01","Landrace E",-0.368199278835572,1.78811464579447,-1.18790912906295,26.3
"LE_02","Landrace E",0.863619741812723,1.42302389607268,-0.20274423363633,26.3
"LE_03","Landrace E",0.603016788416196,1.95102190537972,-0.66955394280076,26.3
"LE_04","Landrace E",1.35490563990954,1.69483503781533,-1.53211243955924,26.3
"LE_05","Landrace E",1.00549415944765,3.1164006078939,-1.45318191054032,26.3
"LE_06","Landrace E",1.46942753221105,2.71756751316476,-1.56495713353629,26.3
"LE_07","Landrace E",1.34226310576445,2.4408650857148,-1.43102313342786,26.3
"LE_08","Landrace E",0.580811548203809,1.66515859623589,-0.550592172213368,26.3
"LE_09","Landrace E",0.397832497311654,1.78850190246093,-1.47049894891542,26.3
"LE_10","Landrace E",0.196707363507344,0.456117988608401,-1.53255390430978,26.3
"LE_11","Landrace E",0.757928362685801,1.58606482055464,-2.23034514143619,26.3
"LE_12","Landrace E",0.157305628404279,2.61132919778793,-1.39880783791436,26.3
"LE_13","Landrace E",0.350853451591941,1.40722031695172,-0.856552133166189,26.3
"LE_14","Landrace E",1.36439617485207,2.00314276370441,-1.53185371166038,26.3
"LW_01","Landrace W",-1.06744330979025,-1.97620469655332,0.932911731495745,26.3
"LW_02","Landrace W",-0.785601847217787,-2.21949306119965,1.85401164857125,26.3
"LW_03","Landrace W",0.43165918432704,-1.50012059133571,1.15039623807988,26.3
"LW_04","Landrace W",-1.37148449840826,-2.70681313137797,-0.350260073561521,26.3
"LW_05","Landrace W",-1.08554331193165,-1.61078640331402,1.6870437729937,26.3
"LW_06","Landrace W",-0.448205054315129,-1.13898329058807,2.72237923016058,26.3
"LW_07","Landrace W",-0.689210044487877,-1.80523582781408,1.23229825377797,26.3
"LW_08","Landrace W",-1.59735147850597,-1.60823727640042,1.55408571642774,26.3
"LW_09","Landrace W",-0.0100204174828143,-1.71445041019195,1.42363221429502,26.3
"LW_10","Landrace W",-1.7278616485047,-2.08670336433621,1.64432274892391,26.3
"LW_11","Landrace W",0.505876457181144,-1.54566380569703,0.467467177458904,26.3
"LW_12","Landrace W",0.57002640341548,-1.63266646656046,0.416127707468684,26.3
"LW_13","Landrace W",0.324245642127859,-1.16588921545919,0.825186792422279,26.3
"CA_01","Cultivar A",-4.15161694730735,0.972509922161074,-0.135950151195897,26.3
"CA_02","Cultivar A",-4.64981902079754,0.119179495294016,0.164768003835823,26.3
"CA_03","Cultivar A",-4.8091414477057,0.670193640941041,-0.18356305114451,26.3
"CA_04","Cultivar A",-4.40045700103209,0.19927474751528,-0.58027166286851,26.3
"CA_05","Cultivar A",-4.99231299961692,0.35818604236857,-0.304659434589144,26.3
"CA_06","Cultivar A",-4.25551829281786,0.720308550110826,-0.531837812757478,26.3
"CA_07","Cultivar A",-4.53854305748211,0.628594510990086,0.330198430235841,26.3
"CA_08","Cultivar A",-4.17164707221948,0.28890191371361,-0.471648776624316,26.3
"CA_09","Cultivar A",-4.09257744951983,0.532434997814636,-0.308394348807368,26.3
"CA_10","Cultivar A",-4.27790873288623,0.468240023960843,-0.352490353083674,26.3
