"pop","years_ago","ne","ne_low","ne_high"
"Wild N",2000,75000,57851,92149
"Wild N",2388,72016,56034,87998
"Wild N",2850,68493,53753,83233
"Wild N",3403,66623,52735,80511
"Wild N",4062,64960,51856,78065
"Wild N",4849,62516,50325,74707
"Wild N",5789,61110,49604,72615
"Wild N",6910,61943,50698,73188
"Wild N",8249,64125,52915,75335
"Wild N",9848,60676,50477,70874
"Wild N",11756,53284,44686,61881
"Wild N",14034,48384,40903,55865
"Wild N",16754,46061,39249,52873
"Wild N",20000,43617,37460,49773
"Wild N",23876,50687,43873,57500
"Wild N",28502,58739,51238,66239
"Wild N",34025,65092,57218,72967
"Wild N",40618,70693,62618,78769
"Wild N",48489,82653,73767,91539
"Wild N",57885,98094,88209,107980
"Wild N",69102,102791,93124,112458
"Wild N",82493,102887,93904,111871
"Wild N",98478,102647,94375,110918
"Wild N",117560,108986,99597,118375
"Wild N",140341,122266,110911,133622
"Wild N",167536,117973,106222,129725
"Wild N",2e+05,102760,91832,113687
"Wild N",238755,85114,75491,94738
"Wild N",285021,69504,61177,77830
"Wild N",340251,58965,51504,66426
"Wild N",406184,51742,44847,58638
"Wild N",484892,49589,42647,56531
"Wild N",578853,46576,39743,53410
"Wild N",691021,40864,34593,47135
"Wild N",824925,36763,30874,42652
"Wild N",984777,33742,28109,39374
"Wild N",1175603,30806,25456,36155
"Wild N",1403408,28433,23304,33562
"Wild N",1675355,25933,21081,30785
"Wild N",2e+06,24000,19348,28652
"Cultivar A",2000,5500,4242,6758
"Cultivar A",2388,5911,4599,7223
"Cultivar A",2850,6338,4974,7703
"Cultivar A",3403,6724,5322,8125
"Cultivar A",4062,7098,5666,8530
"Cultivar A",4849,7416,5970,8862
"Cultivar A",5789,7872,6390,9354
"Cultivar A",6910,8329,6817,9841
"Cultivar A",8249,9042,7461,10623
"Cultivar A",9848,11257,9365,13150
"Cultivar A",11756,13745,11527,15963
"Cultivar A",14034,16178,13677,18680
"Cultivar A",16754,18838,16052,21624
"Cultivar A",20000,22400,19238,25562
"Cultivar A",23876,27863,24118,31609
"Cultivar A",28502,33296,29044,37548
"Cultivar A",34025,38179,33560,42797
"Cultivar A",40618,46479,41170,51789
"Cultivar A",48489,55436,49476,61396
"Cultivar A",57885,66853,60116,73591
"Cultivar A",69102,77851,70530,85173
"Cultivar A",82493,87252,79633,94870
"Cultivar A",98478,97300,89459,105140
"Cultivar A",117560,105888,96766,115010
"Cultivar A",140341,112554,102101,123008
"Cultivar A",167536,105339,94847,115832
"Cultivar A",2e+05,96238,86004,106472
"Cultivar A",238755,85304,75659,94950
"Cultivar A",285021,70241,61826,78656
"Cultivar A",340251,60299,52669,67929
"Cultivar A",406184,53415,46296,60533
"Cultivar A",484892,45533,39158,51907
"Cultivar A",578853,37301,31828,42774
"Cultivar A",691021,34685,29363,40008
"Cultivar A",824925,34604,29061,40147
"Cultivar A",984777,33423,27844,39001
"Cultivar A",1175603,31560,26080,37041
"Cultivar A",1403408,27670,22679,32661
"Cultivar A",1675355,24821,20177,29465
"Cultivar A",2e+06,24000,19348,28652
