"pop","kind","length_mb"
"Wild N","ROH",1.25
"Wild N","ROH",2.475
"Wild N","ROH",1.754
"Wild N","ROH",0.57
"Wild N","ROH",0.854
"Wild N","ROH",0.448
"Wild N","ROH",0.591
"Wild N","ROH",1.202
"Wild N","ROH",0.955
"Wild N","ROH",0.997
"Wild N","ROH",3.326
"Wild N","ROH",0.761
"Wild N","ROH",1.914
"Wild N","ROH",0.889
"Wild N","ROH",1.383
"Wild N","ROH",0.793
"Wild N","ROH",1.748
"Wild N","ROH",1.617
"Wild N","ROH",1.085
"Wild N","ROH",2.15
"Wild N","ROH",1.358
"Wild N","ROH",3.038
"Wild N","ROH",2.245
"Wild N","ROH",0.966
"Wild N","ROH",1.903
"Wild N","ROH",3.104
"Wild N","ROH",1.61
"Wild N","ROH",0.395
"Wild N","ROH",2.014
"Wild N","ROH",1.019
"Wild N","ROH",0.528
"Wild N","ROH",1.38
"Wild N","ROH",1.386
"Wild N","ROH",1.501
"Wild N","ROH",0.86
"Wild N","ROH",2.255
"Wild N","ROH",0.486
"Wild N","ROH",1.56
"Wild N","ROH",3.501
"Wild N","ROH",0.875
"Wild N","ROH",1.177
"Wild N","ROH",4.569
"Wild N","ROH",1.158
"Wild N","ROH",1.171
"Wild N","ROH",0.708
"Wild N","ROH",2.76
"Wild N","ROH",1.158
"Wild N","ROH",0.686
"Wild N","ROH",2.118
"Wild N","ROH",1.962
"Wild N","ROH",0.641
"Wild N","ROH",1.573
"Wild N","ROH",0.809
"Wild N","ROH",1.719
"Wild N","ROH",1.817
"Wild N","ROH",1.946
"Wild N","ROH",0.827
"Wild N","ROH",0.67
"Wild N","ROH",2.767
"Wild N","ROH",0.904
"Wild N","ROH",2.447
"Wild N","ROH",0.868
"Wild N","ROH",1.743
"Wild N","ROH",0.302
"Wild N","ROH",1.167
"Wild N","ROH",1.406
"Wild N","ROH",1.444
"Wild N","ROH",0.25
"Wild N","ROH",0.949
"Wild N","ROH",3.077
"Wild N","ROH",1.021
"Wild N","ROH",0.863
"Wild N","ROH",0.455
"Wild N","ROH",0.904
"Wild N","ROH",0.913
"Wild N","ROH",0.955
"Wild N","ROH",2.534
"Wild N","ROH",1.229
"Wild N","ROH",2.823
"Wild N","ROH",1.577
"Wild N","ROH",3.384
"Wild N","ROH",0.551
"Wild N","ROH",0.487
"Wild N","ROH",0.415
"Wild N","ROH",0.826
"Wild N","ROH",1.635
"Wild N","ROH",1.301
"Wild N","ROH",1.498
"Wild N","ROH",2.378
"Wild N","ROH",1.347
"Wild N","ROH",0.734
"Wild N","ROH",0.915
"Wild N","ROH",1.204
"Wild N","ROH",0.834
"Wild N","ROH",0.387
"Wild N","ROH",1.449
"Wild N","ROH",0.461
"Wild N","ROH",2.07
"Wild N","ROH",0.781
"Wild N","ROH",1.84
"Wild N","ROH",0.813
"Wild N","ROH",1.28
"Wild N","ROH",1.039
"Wild N","ROH",1.203
"Wild N","ROH",1.172
"Wild N","ROH",2.222
"Wild N","ROH",0.784
"Wild N","ROH",1.426
"Wild N","ROH",0.858
"Wild N","ROH",0.718
"Wild N","ROH",1.789
"Wild N","ROH",1.35
"Wild N","ROH",1.165
"Wild N","ROH",1.557
"Wild N","ROH",0.485
"Wild N","ROH",1.288
"Wild N","ROH",1.368
"Wild N","ROH",1.193
"Wild N","ROH",1.145
"Wild N","ROH",0.311
"Wild N","ROH",0.758
"Wild N","ROH",1.37
"Wild N","ROH",1.74
"Wild N","ROH",0.514
"Wild N","ROH",1.092
"Wild N","ROH",0.498
"Wild N","ROH",1.001
"Wild N","ROH",0.343
"Wild N","ROH",0.712
"Wild N","ROH",0.57
"Wild N","ROH",2.144
"Wild N","ROH",0.759
"Wild N","ROH",0.502
"Wild N","ROH",0.857
"Wild N","ROH",0.555
"Wild N","ROH",0.676
"Wild N","ROH",0.914
"Wild N","ROH",1.091
"Wild N","ROH",1.6
"Wild N","ROH",1.49
"Wild N","ROH",0.831
"Wild N","ROH",1.092
"Wild N","ROH",1.352
"Wild N","ROH",0.9
"Wild N","ROH",1.384
"Wild N","ROH",0.929
"Wild N","ROH",0.719
"Wild N","ROH",1.184
"Wild N","ROH",1.536
"Wild N","ROH",1.385
"Wild N","IBD",1.076
"Wild N","IBD",2.055
"Wild N","IBD",0.603
"Wild N","IBD",2.164
"Wild N","IBD",0.554
"Wild N","IBD",0.871
"Wild N","IBD",0.423
"Wild N","IBD",1.016
"Wild N","IBD",0.375
"Wild N","IBD",0.561
"Wild N","IBD",0.984
"Wild N","IBD",1.211
"Wild N","IBD",0.578
"Wild N","IBD",0.387
"Wild N","IBD",1.575
"Wild N","IBD",0.335
"Wild N","IBD",1.381
"Wild N","IBD",0.313
"Wild N","IBD",0.726
"Wild N","IBD",1.259
"Wild N","IBD",0.646
"Wild N","IBD",0.804
"Wild N","IBD",0.8
"Wild N","IBD",0.862
"Wild N","IBD",1.168
"Wild N","IBD",0.671
"Wild N","IBD",0.984
"Wild N","IBD",0.557
"Wild N","IBD",0.828
"Wild N","IBD",0.885
"Wild N","IBD",1.913
"Wild N","IBD",1.613
"Wild N","IBD",0.597
"Wild N","IBD",0.452
"Wild N","IBD",2.06
"Wild N","IBD",2.267
"Wild N","IBD",0.59
"Wild N","IBD",0.663
"Wild N","IBD",0.847
"Wild N","IBD",1.103
"Wild N","IBD",0.892
"Wild N","IBD",0.708
"Wild N","IBD",0.723
"Wild N","IBD",0.425
"Wild N","IBD",1.201
"Wild N","IBD",0.886
"Wild N","IBD",0.753
"Wild N","IBD",0.764
"Wild N","IBD",1.509
"Wild N","IBD",0.452
"Wild N","IBD",0.289
"Wild N","IBD",0.52
"Wild N","IBD",0.633
"Wild N","IBD",0.48
"Wild N","IBD",0.726
"Wild N","IBD",0.5
"Wild N","IBD",1.346
"Wild N","IBD",0.669
"Wild N","IBD",0.25
"Wild N","IBD",0.372
"Wild N","IBD",1.277
"Wild N","IBD",1.015
"Wild N","IBD",0.674
"Wild N","IBD",3.61
"Wild N","IBD",0.49
"Wild N","IBD",0.6
"Wild N","IBD",0.611
"Wild N","IBD",1.045
"Wild N","IBD",0.774
"Wild N","IBD",1.495
"Wild N","IBD",1.401
"Wild N","IBD",1.412
"Wild N","IBD",0.287
"Wild N","IBD",0.649
"Wild N","IBD",1.506
"Wild N","IBD",1.39
"Wild N","IBD",0.508
"Wild N","IBD",0.929
"Wild N","IBD",0.452
"Wild N","IBD",0.487
"Wild N","IBD",0.46
"Wild N","IBD",0.958
"Wild N","IBD",0.433
"Wild N","IBD",0.885
"Wild N","IBD",0.739
"Wild N","IBD",0.758
"Wild N","IBD",1.276
"Wild N","IBD",1.561
"Wild N","IBD",0.89
"Wild N","IBD",0.418
"Wild N","IBD",0.881
"Wild N","IBD",0.751
"Wild N","IBD",0.851
"Wild N","IBD",1.416
"Wild N","IBD",0.698
"Wild N","IBD",0.33
"Wild N","IBD",0.639
"Wild N","IBD",0.424
"Wild N","IBD",0.28
"Wild N","IBD",0.68
