"site","pop","x","y","n"
"WN1","Wild N",114.264987666349,38.805556119749,24
"WN2","Wild N",115.263865477924,38.4739044161922,20
"WN3","Wild N",114.590599125808,39.368381823041,20
"WN4","Wild N",115.344867117006,37.5692585193861,8
"WN5","Wild N",114.399235311831,38.6319994642705,24
"WS1","Wild S",109.26456743564,26.0514503509749,16
"WS2","Wild S",111.866929906727,23.6763633979841,12
"WS3","Wild S",110.21653825706,25.2624792621314,20
"WS4","Wild S",108.376372848923,23.9849764197361,8
"WS5","Wild S",110.678507596975,25.5660208854609,8
"LE1","Landrace E",117.118820307622,32.7772954199117,24
"LE2","Landrace E",116.987539658478,32.2339675313235,20
"LE3","Landrace E",118.114040606184,31.9216868112105,16
"LE4","Landrace E",118.199209529533,31.8524122292591,16
"LE5","Landrace E",118.741824784517,32.6782302779961,32
"LW1","Landrace W",106.928738481414,32.9084918144921,12
"LW2","Landrace W",106.94639153875,32.851118241364,16
"LW3","Landrace W",106.07379675304,32.1046128114687,8
"LW4","Landrace W",106.65956362193,33.0951489297665,24
"LW5","Landrace W",104.774589326001,32.6757893673409,12
"CA1","Cultivar A",113.59453072419,34.2809276938923,24
"CA2","Cultivar A",114.413261585847,33.9824841448595,12
"CA3","Cultivar A",113.94741866803,33.0224239110429,32
"CA4","Cultivar A",113.779210035127,32.5204247063627,24
"CA5","Cultivar A",114.067826080481,34.409782851237,16
"CB1","Cultivar B",116.826303236507,29.6959222656035,24
"CB2","Cultivar B",117.259722332697,30.6096426580383,20
"CB3","Cultivar B",116.311186014882,30.1345924310638,20
"CB4","Cultivar B",115.335577112228,29.4711654781664,24
"CB5","Cultivar B",116.415451510374,30.1981156418471,16
