"pop","bin","count","folded"
"Wild N",1,13109,1
"Wild N",2,5871,1
"Wild N",3,3657,1
"Wild N",4,2415,1
"Wild N",5,1933,1
"Wild N",6,1594,1
"Wild N",7,1290,1
"Wild N",8,1157,1
"Wild N",9,1032,1
"Wild N",10,938,1
"Wild N",11,843,1
"Wild N",12,810,1
"Wild N",13,763,1
"Wild N",14,696,1
"Wild N",15,650,1
"Wild N",16,670,1
"Wild N",17,650,1
"Wild N",18,639,1
"Wild N",19,605,1
"Wild N",20,678,1
"Wild N",1,10270,0
"Wild N",2,5090,0
"Wild N",3,3398,0
"Wild N",4,2525,0
"Wild N",5,2034,0
"Wild N",6,1662,0
"Wild N",7,1509,0
"Wild N",8,1301,0
"Wild N",9,1154,0
"Wild N",10,1064,0
"Wild N",11,843,0
"Wild N",12,852,0
"Wild N",13,821,0
"Wild N",14,825,0
"Wild N",15,986,0
"Wild N",16,1032,0
"Wild N",17,1232,0
"Wild N",18,1263,0
"Wild N",19,1179,0
"Wild N",20,960,0
"Landrace E",1,10640,1
"Landrace E",2,5133,1
"Landrace E",3,3312,1
"Landrace E",4,2555,1
"Landrace E",5,2132,1
"Landrace E",6,1833,1
"Landrace E",7,1804,1
"Landrace E",8,1640,1
"Landrace E",9,1399,1
"Landrace E",10,1165,1
"Landrace E",11,1108,1
"Landrace E",12,961,1
"Landrace E",13,926,1
"Landrace E",14,842,1
"Landrace E",15,790,1
"Landrace E",16,770,1
"Landrace E",17,737,1
"Landrace E",18,756,1
"Landrace E",19,778,1
"Landrace E",20,719,1
"Landrace E",1,9100,0
"Landrace E",2,4488,0
"Landrace E",3,3158,0
"Landrace E",4,2345,0
"Landrace E",5,1867,0
"Landrace E",6,1495,0
"Landrace E",7,1306,0
"Landrace E",8,1155,0
"Landrace E",9,1043,0
"Landrace E",10,914,0
"Landrace E",11,858,0
"Landrace E",12,778,0
"Landrace E",13,772,0
"Landrace E",14,842,0
"Landrace E",15,1080,0
"Landrace E",16,1515,0
"Landrace E",17,1995,0
"Landrace E",18,2078,0
"Landrace E",19,1822,0
"Landrace E",20,1389,0
"Cultivar A",1,8192,1
"Cultivar A",2,4259,1
"Cultivar A",3,3181,1
"Cultivar A",4,2709,1
"Cultivar A",5,2515,1
"Cultivar A",6,2372,1
"Cultivar A",7,2369,1
"Cultivar A",8,2122,1
"Cultivar A",9,1906,1
"Cultivar A",10,1609,1
"Cultivar A",11,1446,1
"Cultivar A",12,1118,1
"Cultivar A",13,962,1
"Cultivar A",14,822,1
"Cultivar A",15,772,1
"Cultivar A",16,771,1
"Cultivar A",17,771,1
"Cultivar A",18,724,1
"Cultivar A",19,675,1
"Cultivar A",20,705,1
"Cultivar A",1,7171,0
"Cultivar A",2,3570,0
"Cultivar A",3,2291,0
"Cultivar A",4,1804,0
"Cultivar A",5,1387,0
"Cultivar A",6,1215,0
"Cultivar A",7,1043,0
"Cultivar A",8,915,0
"Cultivar A",9,766,0
"Cultivar A",10,704,0
"Cultivar A",11,668,0
"Cultivar A",12,636,0
"Cultivar A",13,673,0
"Cultivar A",14,937,0
"Cultivar A",15,1515,0
"Cultivar A",16,2356,0
"Cultivar A",17,3242,0
"Cultivar A",18,3542,0
"Cultivar A",19,3254,0
"Cultivar A",20,2311,0
