"pop","parent","drift","mig_from","mig_to","weight"
"N12","N11",1.4389,"","",NA
"N13","N12",0.1835,"","",NA
"N15","N13",0.8785,"","",NA
"N18","N15",0.1115,"","",NA
"N19","N18",0.034,"","",NA
"P6","N19",0.0446,"","",NA
"P2","N19",0.0243,"","",NA
"P9","N18",0.0928,"","",NA
"P1","N15",0.227,"","",NA
"P7","N13",1.8045,"","",NA
"N14","N12",1.5475,"","",NA
"N16","N14",0.1112,"","",NA
"P8","N16",0.1201,"","",NA
"P4","N16",0.1858,"","",NA
"P5","N14",0.2288,"","",NA
"N17","N11",4.0059,"","",NA
"P10","N17",0.0632,"","",NA
"P3","N17",0.0782,"","",NA
"","",NA,"P7","P10",0.423
"","",NA,"P1","P8",0.283
"","",NA,"P2","P3",0.161
"","",NA,"P6","P5",0.104
